,content,mark
3416706,先看到六块,-99
1550713,下周一涨停 牛逼义庄特此公告,-99
3681981,就这成交量，1年也收不到筹码，看看路畅科技，,-99
882996,怎么没大有人买卖呢？,-99
4499664,今天好歹是中元节，该表现一下了！,-99
2346954,为什么午后跳水？,-99
3481419,真心希望再现闪崩出现,-99
3562884,5.04,-99
3255964,主力忠言……你有你的坚持，我有我的手段！,-99
198374,难道这就是传说中的揉搓线？,-99
1189872,中油工程我,-99
1362742,好消息！新能源！铁证如山！！！,-99
4310790,说那么多没有用，大家好好想想如果是你自己不看,-99
949772,恶心的开开,-99
4130562,603027:千禾味业关于董事、高级管理人员减持股,-99
3393956,实际上南京银行大股东把10%给社保后，大股东地,-99
2777914,中国招标网搜索浙大网新12.18号,-99
3573696,出利好连个冲高都没有。,-99
4582639,杭州园林涨停[大笑][大笑][大笑][大笑][大笑][,-99
4810548,我们的人生既然从开始到未来的年老都需,-99
3058366,再次提醒，是逢低买入，而不是追着价格往上买入,-99
1061430,上海家化 回购后涨得真牛逼，还好海南已清仓了,-99
3152051,新海宜拉升了,-99
165951,三江购物，阿里巴巴入股，涨翻天了！,-99
2751389,方大股价7元 丢人公司n,-99
5462381,参考乐心医疗走势，这波可能3-4个板才会打开,-99
91064,从现在开始到12月18日，只买不卖，一定要坚持住,-99
832547,卧槽.真的在增持,-99
4111975,吸血房地产全民负债！万科姚减狂跌！全仓广发证,-99
5222981,最可怜的一批次新股 同美诺华，利群股份，新凤,-99
3834907,郑煤机(601717)融资融券信息(09-19),-99
1536159,股价回到原地只是时间,-99
3989350,真是反向指标,-99
1197170,优源控股：下半年纸价续看升,-99
4760839,世界上竟有如此失真的指数,-99
3230083,房子是用来住的、不是用来炒的,-99
3073153,电视。大力,-99
302947,看看600191华资实业分红10派0.1，呵呵，可笑,-99
2241948,两市探底回升翻红 关注市场表现,-99
194123,煤改电，煤改气.结果气疯了,-99
5302902,不良厂家上市圈钱，请问你们骗小散的钱用的安心,-99
4463200,业绩亮瞎眼，长势瞎蒙我,-99
4146190,要破产了吗？,-99
3166480,再见了大盘，强弩之末，11月再来会你。,-99
4984323,明天开始买回拉芳，唱多了，大盘3300支撑不住，,-99
5178295,昨日你我你,-99
