{'短评内容': '不错房间很大， 卫生不错还蛮干净。 老宾馆了现在在装潢相信会更好！', '短评打分': 5}
{'短评内容': '不错，性价比都行，下次还会考虑入住的      。', '短评打分': 5}
{'短评内容': '地理位置不错 去景点也近 房间非常干净，宽敞明亮。客房服务也非常到位，这个价位能住到这种品质，我感觉挺超值的，老公说睡觉时会感觉到旁边disco的音乐震动，但是我没任何感觉，觉得房间很安静，24小时都很安静，隔音很好，是双层窗户来的。', '短评打分': 5}
{'短评内容': '什么都好，就是离火车站远了点。还有就是没有厕所沐浴露了。', '短评打分': 5}
{'短评内容': '还行对得起这个价 就是借不到吹风机', '短评打分': 3}
{'短评内容': '总体来说还可以一般般，旧了点就是，房间还算大', '短评打分': 5}
{'短评内容': '酒店也一般，很多相关用品还是后来要求才放上去的，比如洗发液，订了二天的酒店只住了一天就退房了。', '短评打分': 3}
{'短评内容': '很不错的，不过就是酒店的前台对业务不是很熟悉，等的时间比较长', '短评打分': 5}
{'短评内容': '卫生差，卧具质量差，空调老基本不运行。请加强对酒店的评估，而不是让旅客事后评判', '短评打分': 3}
{'短评内容': '离景区什么的比较远，但是环境OK，服务态度蛮好的。淋浴卫生间不错。', '短评打分': 5}
{'短评内容': '终于找到酒店了', '短评打分': 3}
{'短评内容': '住在靠近KTV这头，晚上吵死了，到半夜还是音乐的声音，根本没办法睡觉，睡了两天就赶紧退房了', '短评打分': 1}
{'短评内容': '1.这价位相对附近的酒店算是便宜的，毕竟附近也没有更多酒店可以选择；\n2.但是设施比较久，特别要说的是，清洁卫生的阿姨整理的不是很好，要么沐浴液没有添加，就是洗头液没有；\n', '短评打分': 5}
{'短评内容': '连洗发水也要收费,还有炒死了,下面就是KTV', '短评打分': 3}
{'短评内容': '房子挺好的', '短评打分': 3}
{'短评内容': '较偏，但离市区近，打车不方便！价格一般！', '短评打分': 5}
{'短评内容': '酒店设施一般，有些陈旧。离西湖景区远，交通不方便', '短评打分': 1}
{'短评内容': '价格不高，房间还比较大，环境还可以，比较静，地势偏了一点，电视有点老，不太好用。', '短评打分': 5}
{'短评内容': '不错，酒店装修还比较新，性价比还比较高的。', '短评打分': 5}
{'短评内容': '非常好，住的非常舒服，下次来还住，必须推荐给朋友来住', '短评打分': 5}
{'短评内容': '说这酒店好的都瞎掰：谈谈我的经历吧，我是晚上8点多落地的，打电话问前台坐机场大巴到哪站打车到她们店她说不知道，电话里我直接就发飙了。你干嘛吃的，坐了大巴到了武林门，打车过去花了20，然后一进电梯我就后悔了，地毯巨脏无比，房间里一股异味，但是不可否认的是房间挺大。我换了3个房间仍然无法上网，清洁阿姨说我的电脑坏了……浴室我在住下不到2个小时内，无奈半夜打车换宾馆，去了最近的一家汉庭，我上网发了这段评', '短评打分': 1}
{'短评内容': '酒店看上去还可以  房间也蛮大  可是房间太陈旧了。。建议需要重新装修下', '短评打分': 1}
{'短评内容': '酒店热水来的挺快!不错', '短评打分': 3}
{'短评内容': '金丽湖酒店总体不错', '短评打分': 3}
{'短评内容': ' 还不错', '短评打分': 3}
{'短评内容': '酒店的设施还行，没什么噪音', '短评打分': 3}
{'短评内容': '酒店住着也还行，服务态度挺好，就是位置不是太好找出行有点影响，价格还不错。', '短评打分': 3}
{'短评内容': '一进房间发现就有上次客人留下的东西，走的时候非要说我们消费了一瓶水，让我们自己上楼和服务员解释，而且下午还要去赶车，耽误了不少时间，虽然最后服务员说是他们上次没打扫好，但还是感觉很不舒服。床单就只有薄薄的一层，床垫上一条一条的纹路隔的人很疼，真的要多多改进了。不过刷卡什么的还是很方便的。', '短评打分': 1}
{'短评内容': '还不错。。。就是远了点。。。在火车东站那。。。不是很方便。。。', '短评打分': 5}
{'短评内容': '酒店不错，客人非常满意，主要的是离客人所要去的目的地很近！很方便！\n', '短评打分': 5}
