{'短评内容': '非常的值得推荐', '短评打分': 5}
{'短评内容': '挺好的，不错', '短评打分': 5}
{'短评内容': '一般一般啦！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还可以啦！！！！！！！？？？？？？！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '连锁酒店，位置很好找，门前不可以停车，有交警帖条，但离酒店不远有免费停车厂，很大，周边酒店的车都停在那里，离酒店3分钟，续住一晚', '短评打分': 5}
{'短评内容': '连锁酒店，位置很好找，门前不可以停车，有交警帖条，但离酒店不远有免费停车厂，很大，周边酒店的车都停在那里，离酒店3分钟', '短评打分': 5}
{'短评内容': '因为第一天住得很好，于是决定再住一天。 横店的经济型酒店中最值得推荐一家。', '短评打分': 5}
{'短评内容': '舒适，方便，南苑E家真是横店最高性价比的旅店了。', '短评打分': 5}
{'短评内容': '物美价廉 横店影视城附近 值得入住', '短评打分': 5}
{'短评内容': '酒店周边很方便，餐馆和早饭点都有，建议选择大一点的餐厅，大餐厅明码标价，小餐厅反而存在宰客现象。我第一天是在对面的如意土菜馆吃的，价格有点贵，第二天是在边上比较大的杭州大灶头吃的，反而比小餐馆便宜！！', '短评打分': 5}
{'短评内容': '服务非常好，环境很不错', '短评打分': 5}
{'短评内容': '房间很好  干净  整洁  设施也好  前台服务也好  早餐也好  总之很喜欢', '短评打分': 5}
{'短评内容': '感觉象新装修不久的房间，稍有味道。但整个房间干净宽敞，床也够大。三人买了二张早餐券，带了孩子一起进去吃，挺人性化哦~前台服务亲切和蔼，告诉我们万盛街的位置，从酒店走过去大概十五分钟左右吧，穿过类似农贸市场就到烧烤天地啦！最主要这里价钱实惠，性价比高，离闹市区也不算远，以后自助游还会考虑选择这家哦~', '短评打分': 5}
{'短评内容': '很干净，设备也挺好的，服务员态度也好，不过离万盛街有一定距离，不适合逛夜晚', '短评打分': 5}
