{'短评内容': '房间很棒，真的不错', '短评打分': 5}
{'短评内容': '不错，交通方便，非常干净，车站近。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '前台的小姐姐们都很好！', '短评打分': 5}
{'短评内容': '没有早餐不能加床，位置好，适合旅行出差', '短评打分': 4}
{'短评内容': '住着舒服    环境也可以   价格差不多   值得再去', '短评打分': 5}
{'短评内容': '酒店地理位置好，出门交通，餐饮都很方便，房间面积也大', '短评打分': 4}
{'短评内容': '服务一般，没电梯，房间水小，下水道赌水，厕所积水严重，还突没热水了', '短评打分': 3}
{'短评内容': '房间很好，前台看我们带孩子把标间升级为三人间了！周围环境很好，对于旅游的人来说非常方便！唯一遗憾房间没有吹风机！', '短评打分': 5}
{'短评内容': '很好，直接升级为豪华标间了…房间超级大！左边就是商业街，晚上逛逛，右边就是沙洲夜市！早上起来吃早饭很便宜好吃！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间还行，就是不够安静', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '特惠房间的下水道问题之前就看到评论有说，觉得可以想办法疏通改进一下，去的时候不是太冷开着窗就OK了，服务很好，出去玩的时候前台还帮忙给冲了移动电源，就在敦煌夜市旁边，晚上出去逛很方便～总之敦煌和酒家都很值得一去～', '短评打分': 5}
{'短评内容': '价格便宜，内部设施也不错。值得这个价，推荐穷游的朋友们考虑。', '短评打分': 4}
{'短评内容': '2楼窗外一早就施工，吵死了，虽说是订的特价房，也不用让我睡不着吧。。。', '短评打分': 3}
{'短评内容': '酒店好不错，位置好，出行方便，卫生还可以！服务态度好！', '短评打分': 5}
{'短评内容': '设施什么的还是很不错的！如果再去敦煌应该还会选择入住的。', '短评打分': 5}
{'短评内容': '坐车、吃饭都很方便，旁边就是夜市，酒店前面是机场、火车站和莫高窟起发站，值得推荐', '短评打分': 5}
{'短评内容': '热水很方便.然后宽带额外收费!虽然装修的时间长了!不过感觉还可以的!', '短评打分': 5}
{'短评内容': '卫生太差  床单都是黑的  差差差—……………', '短评打分': 1}
{'短评内容': '就在夜市的后门处，却也不吵，很方便，房间宽敞，但是设施就比较旧了，洗澡的水龙头一拧就断掉了，还好有别的房间可以更换。', '短评打分': 5}
{'短评内容': '房间算不上好，但是从网上订的话，性价比还不错。', '短评打分': 5}
{'短评内容': '地理位置很好，就在沙洲夜市旁边，门口有去莫高窟和机场火车站的公交车，非常方便。要去雅丹酒店大堂里有旅行社去，100块一人不含门票，服务还行，没有电梯，行李多可以要求住一楼，很安静，下次去还可以考虑去住。', '短评打分': 5}
{'短评内容': '位置还好，但设施较差，晚上回宾馆发现门无法打开，等了十多分钟才来维修。本来旅游累了回来休息的，结果还困在门口，有些扫兴。', '短评打分': 1}
{'短评内容': '国庆节这个价不算很高，但是平时的话就算贵了，总体还可以，肯定不能和星级酒店比', '短评打分': 5}
{'短评内容': '不知道为什么敦煌宾馆的价格都这么高 但房间条件很一般 只是位置还不错 离步行街很近 性价比不高', '短评打分': 1}
{'短评内容': '还不错吧，去莫高窟啊，火车站啊，都很方便。门前就有车直达的。', '短评打分': 3}
{'短评内容': '唉，房间的床单感觉不干净，一狠心睡的毛巾不敢用', '短评打分': 5}
{'短评内容': '刚刚结束敦煌之行。对鑫龙的总体感觉是不错的，最好的是地理位置，门前就是去莫高窟、火车站和飞机场的中巴车，身后就是著名的小吃一条街沙洲市场，对于游客来说确实是非常方便了。酒店的服务也不错，上飞机之前给前台人员发短信说了航班时刻，没有接到回信，还以为不会来接机了，没想到刚出机场出口就看见了写着自己大大名字的接站牌，而且酒店居然安排两个人开着斯巴鲁力狮来接我们，呵呵，真是大出意料！一路上给我们介绍了很多', '短评打分': 5}
{'短评内容': '一个字   差，差，差，差，差，差，差，差', '短评打分': 3}
{'短评内容': '酒店太陈旧  床单己经成黑色都还在用  反正一个字  差！！！！', '短评打分': 3}
{'短评内容': '\u3000酒店位置还可以.房间太旧.床上用品太黑\u3000', '短评打分': 5}
{'短评内容': '设施太旧，卫生不好，服务也差，唯一优点是位置好，去夜市和坐车都很方便。', '短评打分': 1}
{'短评内容': '二星级宾馆, 房间够大，但略显旧。楼下就是沙州市场，吃东西够方便，但不吵。性价比高.', '短评打分': 5}
{'短评内容': '+不错,离沙州夜市很近', '短评打分': 5}
{'短评内容': ' 地理位置比较好，周围吃东西很方便。想吃烧烤的的在旁边的沙洲夜市就有，要吃就去吃阿不代的烧烤，味道正宗，老板很好人，啤酒喝西凉啤酒', '短评打分': 5}
{'短评内容': '交通很方便，离市场很近，吃饭买水果也特别方便。', '短评打分': 5}
{'短评内容': '酒店的位置非常好，旁边就是沙洲夜市，到夜里1点多才闭市，交通也很便捷，酒店对面就是到机场的巴士，每人3元，', '短评打分': 3}
{'短评内容': '总体来说还可以，就是房间的设施太旧了，没有吹风机，前台倒是借给一个像玩具一样的小吹风机，马桶冲水也坏了，', '短评打分': 3}
{'短评内容': '酒店比较旧了，设施不是特别好，不过在敦煌这种旅游城市，这个价钱还是挺便宜的了！楼下就是沙洲夜市，离步行街也挺近的', '短评打分': 5}
{'短评内容': '这个价位还可以，卫生不错，就是入住时告诉我们只有一间，而我们预定的是两件房，还好前台最后还是给了我们2间', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
