{'短评内容': '不错，就是隔音效果一般', '短评打分': 5}
{'短评内容': '在中关村西区，符合对同档次快捷连锁酒店的预期一致', '短评打分': 4}
{'短评内容': '房间太小，没有窗户就不好了', '短评打分': 5}
{'短评内容': '性价一般，服务人员不错', '短评打分': 3}
{'短评内容': '一班', '短评打分': 4}
{'短评内容': '快捷，方便！', '短评打分': 5}
{'短评内容': '除了房间太小，其他还算标准', '短评打分': 5}
{'短评内容': '太小了', '短评打分': 4}
{'短评内容': '酒店很久，但是就是价格便宜', '短评打分': 3}
{'短评内容': '设施有点陈旧，服务态度不错，离地铁站不远', '短评打分': 2}
{'短评内容': '设施太差', '短评打分': 5}
{'短评内容': '服务不错的，环境不错的，交通也不错的', '短评打分': 5}
{'短评内容': '环境不错，服务不错，交通不错，吃饭的地方不是很多', '短评打分': 5}
{'短评内容': '房间有点小，早餐很一般，比较卫生', '短评打分': 4}
{'短评内容': '已经住过很多次啦，第一，晚上的网络很差，第二，去年到今年的早餐没变过，唯一变的是时间。', '短评打分': 4}
{'短评内容': '很不错 环境卫生那些都很满意', '短评打分': 4}
{'短评内容': '很干净！', '短评打分': 3}
{'短评内容': '＋服务态度很好，环境也不错，登记时前台多收了钱发现后还马上退还，下次还来', '短评打分': 3}
{'短评内容': '如果你正好出差或旅游在中关村附近，强烈推荐这家酒店，交通方便，靠地铁口；房间干净，每天都及时打扫；工作人员服务热情；供应的早餐虽说不丰盛，但也够吃了，小米粥配小菜馒头，清清爽爽；在酒店附近，有很多吃的，大店小店都有，只要你会找；中关村的商场也很给力，该有的都有。总之，就是这家酒店很好', '短评打分': 5}
{'短评内容': '房间挺干净的，东西也不错，而且提供矿泉水，虽然是有偿的…就是隔音效果不是特别好，楼道还有隔壁说话大声一点就可以听到了…早餐也不错，虽然简单但是很好吃！', '短评打分': 3}
{'短评内容': '所谓的中央空调 无法满足每个入住客人对于温度的要求 我住的房间空调还是坏的 风速调节器也是有问题 不推荐', '短评打分': 1}
{'短评内容': '地方不错', '短评打分': 3}
{'短评内容': '，环境还不错。', '短评打分': 3}
{'短评内容': '房间很小，价格有点高，原来的永正价格低些', '短评打分': 1}
{'短评内容': '环境舒适，交通便利，附近饭店很多，离中关村很近，推荐。', '短评打分': 5}
{'短评内容': '经济大床房虽然没有窗户，但是一点都不会给人不舒服的感觉，房间虽然小一点却很温馨，楼内有wifi覆盖，上网很方便，强力推荐。', '短评打分': 5}
{'短评内容': '离北京新东方总部和中国人民大学都很近，房间很小，但干净舒适，只是我住的房间没作无烟处理，出去了半天回来还是烟味极大，受不了。另外酒店空调不能用，说是室外气温没到，只能吹风，不能制冷。以至从此以后，我每次住酒店都要事先问清楚对方空调制冷有没有和气温挂钩。', '短评打分': 5}
{'短评内容': '服务员很热情，能够帮助解决所有问题。酒店很干净，下次还来！！！', '短评打分': 5}
{'短评内容': '酒店不错，服务很好，服务员很乐意回答你提出的问题', '短评打分': 5}
{'短评内容': '隔音太差了，老是听到隔壁滴水的声音。\n马桶和面盆都清洁的不干净。', '短评打分': 1}
{'短评内容': '优点干净、整洁；缺点隔音效果差；总体还是不错的。', '短评打分': 3}
{'短评内容': '1、离地铁（海淀黄庄或苏州街）很近，交通便利\n2、比较干净卫生\n3、早餐不怎么样，太简单了\n4、无窗的换气扇太响，所以最好是订有窗的', '短评打分': 5}
{'短评内容': '酒店还算好,在北京这个价格也算不错了.', '短评打分': 3}
{'短评内容': '离公司近，比较方便。挺干净的，没有早餐，其他都可以。', '短评打分': 5}
{'短评内容': '入住了永正，感觉条件一般。', '短评打分': 3}
{'短评内容': '非常喜欢这里，服务态度好，房间布局合理，还会再来。', '短评打分': 5}
{'短评内容': '性价比还行', '短评打分': 3}
{'短评内容': '这地段这价位凑合了', '短评打分': 3}
{'短评内容': '性价比高，交通方面，同等价位下房间面积还算大的。就是一楼那家新疆餐管散发出的发霉的味道有些让人受不了', '短评打分': 5}
{'短评内容': '总体来说性价比很高。不足之处在于，早餐品质有些差，一楼和电梯里恶气扑鼻，估计是一楼新疆餐厅后厨腐败菌群的味道，希望店家做下消毒处理。', '短评打分': 5}
{'短评内容': '房子小，窗户小，有股霉味，总的来说订旁边的巴比伦要好得多', '短评打分': 1}
{'短评内容': '物美价廉，比苏州街的店大多了，隔音不好。', '短评打分': 5}
{'短评内容': '北京永正的位置还不错出行都挺方便，就是房间隔音效果太差，住了三天，不巧隔壁的声音太夸张，让人休息不好。', '短评打分': 5}
{'短评内容': '比较方便，经常是亲朋好友来时候的选择。', '短评打分': 3}
{'短评内容': '永正酒店服务周到，房间环境干净，价格合理，隔音效果稍差，整体满意。', '短评打分': 3}
{'短评内容': '服务态度好 可是改解决的问题一个也没有解决 浴室不开散热器 室内不开中央空调 酒店隔音效果差到极致', '短评打分': 3}
{'短评内容': '卫生，整洁，服务良好，地理位置比较方便出行。', '短评打分': 3}
{'短评内容': '地点好，交通方便，价格也还行，但是没有无窗的房间有点闷，床单也不是很干净', '短评打分': 1}
{'短评内容': '，房间不错，就是隔音不太好', '短评打分': 3}
{'短评内容': '虽然酒店方位还好，但是早餐之简单，房间的隔音效果等都不理想。', '短评打分': 1}
{'短评内容': '交通方便，安静卫生，含早餐，较简单。窗户小', '短评打分': 3}
{'短评内容': '我是第二次入住，态度还好，卫生干净，就是晚上不时关中央空调把我冻醒了！', '短评打分': 3}
{'短评内容': '位置不错好找，朝西的房间窗户太小，有股土的味道，离商场也近旁边不少小吃店', '短评打分': 3}
{'短评内容': '房间挺干净，也比较大，就是隔音不太好，隔壁房间聊天聊到凌晨三四点。。。', '短评打分': 5}
{'短评内容': '酒店挺干净,房间和网上的图片一样挺好的,', '短评打分': 3}
{'短评内容': '室内环境还不错，很干净，交通便利，到达酒店很便利、好找。但是晚上因为邻街的原因，有些吵！还有小广告哦！！', '短评打分': 5}
{'短评内容': '服务还行，就是隔音不是太好。其他还挺满意', '短评打分': 5}
{'短评内容': '，房间太小，床也小。', '短评打分': 3}
{'短评内容': '已经是第二次入住了，交通便利，周边就餐方便，可选择余地较大，吃了一次免费早餐，感觉干净，卫生，虽然样式不多，但还可口。', '短评打分': 5}
{'短评内容': '因为女儿在人大读书入住了两次该酒店。房间很干净，很温馨；交通也很便利：离地铁海淀黄庄站和苏州站都很近；很好。下次还会再住的。', '短评打分': 5}
{'短评内容': '标间性价比挺高 房间采光不错 超出了预期 就是早餐实在不敢恭维', '短评打分': 5}
{'短评内容': ' 环境一般，不过价位低，算可以。交通非常方便，距北大人大都很近。距离中关村商业区也很近。提供免费寄存的服务，很方便。', '短评打分': 3}
{'短评内容': '宾馆不错,干净,调了个标准间,谢谢了', '短评打分': 3}
{'短评内容': '环境可以，比较安静，有点不隔音', '短评打分': 3}
{'短评内容': '不错，交通方便，卫生，可以住一下，吃饭的地方很多。', '短评打分': 5}
{'短评内容': '隔音效果特别差，隔壁房间的动静听得一清二楚，大半夜的被吵醒。\n中央空调，自己在房间不能调温度。但是服务员态度还不错。', '短评打分': 1}
{'短评内容': '位置靠近人大附近还是蛮方便的，周边有三个地铁站。房间蛮干净，服务也不错，就是房间有点小。其他还好~............', '短评打分': 5}
{'短评内容': '酒店服务还不错，做地铁也方面，性价比还可以，提供免费早餐。室内卫生嘛，有待加强。除此之外，处于海淀重心位置，也方面出去游玩。总之，还好！', '短评打分': 5}
{'短评内容': '还算干净，隔音效果差，连隔壁大叔打呼噜都听得到，洗浴的地方过小。然后早餐一点都不给力，种类过少不说，豆沙惊人是酸的。', '短评打分': 1}
{'短评内容': '服务态度不错 也挺干净的 下次还住这家', '短评打分': 3}
{'短评内容': '空调开关坏了，想关上都需要找前台。要再想开，就只有再找前台，哪有这样的酒店呀。\n还有，网络还需要自己打电话去前台开，现在的酒店都是一插线就可以用了，有这么麻烦的吗？', '短评打分': 1}
{'短评内容': '对<北京永正商务酒店>的评论:不错,挺安静的.\n临近苏州街,交通比较方便.\n临近苏州街,交通比较方便.', '短评打分': 5}
{'短评内容': '8月27日入住，当晚7点半到达，大床无窗房，屋内的空气还不错，比较清新，空调开得有些凉，房间面积不大，但足够用了，无窗房也有一个好处，比较安静，噪音小。洗浴等设施在玻璃房内，比较好用。周边环境不错，有较多的饭店和粥铺一类的快餐，物美价廉。与地铁站相距400米左右，交通便利，还不错，下次还会选择这里。', '短评打分': 5}
{'短评内容': '交通特别方便交通特别方便交通特别方便交通特别方便交通特别方便交通特别方便交通特别方便交通特别方便交通特别方便交通特别方便交通特别方便', '短评打分': 5}
{'短评内容': '位置理想，价钱合理，楼内方便味道有些大，新设早餐内容有些简陋，但和价位符合，无窗房间除了空气不好外，其他正常。推荐有窗房间。', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '交通很方便，地铁4号线、10号线都在附近，还有公交站，不错', '短评打分': 5}
{'短评内容': '交通便利，硬件设施还不错，而且房间比较安静，下次还会来', '短评打分': 5}
{'短评内容': '酒店地处北京市海淀区海淀黄庄,环境还行,比较安静.', '短评打分': 5}
{'短评内容': '离地铁、新中关近，非常方便，设施也不错，隔音稍差了些。', '短评打分': 5}
{'短评内容': '性价比高，小屋很温馨，早餐很不错哦~~！', '短评打分': 5}
{'短评内容': '交通方便，设施还不错，下次还会来~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '地理位置不错，周边吃的很多，但是价格同比条件一般，屋子小。', '短评打分': 1}
{'短评内容': '总体服务感觉还是不错，就是房间的隔音太次了，早上莫名的就被吵醒，喜欢睡懒觉的朋友要注意了', '短评打分': 5}
{'短评内容': '这个酒店整体来讲不错，干净卫生，房间不大却很温馨，还有，周边吃饭的地方较多。', '短评打分': 5}
{'短评内容': '地理位置还不错，单人间无窗房的价格还算便宜，值得推荐！一楼前台的服务也不错！', '短评打分': 5}
{'短评内容': '温馨舒适，很干净，就是没有窗户，算是个小小缺点', '短评打分': 5}
{'短评内容': '在海淀剧场对面步行5分钟左右,路北,很好找.本间房的烟味重,没处理好.', '短评打分': 5}
{'短评内容': '在海淀剧场对面步行5分钟左右,路北,很好找.', '短评打分': 5}
{'短评内容': '还不错，性价比很高，下次还会考虑居住！！', '短评打分': 5}
{'短评内容': '环境还行~主要是离办事的地方近~走路几分钟~性价比不错', '短评打分': 3}
{'短评内容': '服务员态度很好，酒店也干净，网速也还行，有点问题就是个人感觉水太难喝，弄的每天喝农夫山泉。', '短评打分': 5}
{'短评内容': '店家服务态度满意，环境较好，但是离地铁口的距离比在网上看的要远一些，找的时候虽然有些困难，不过还好住的还算舒服。', '短评打分': 5}
{'短评内容': '刚刚入住,感觉酒店虽小但服务热情、周到。', '短评打分': 3}
{'短评内容': '干净，简单，性价比高。而且地理位置超好。离海淀法院、微软大厦5五分钟步行到。', '短评打分': 5}
{'短评内容': '房间刚刚好，不错不错…', '短评打分': 3}
{'短评内容': '一分钱一分货，我定的最便宜没窗户的，果然感觉很压抑，隔音效果不好。。', '短评打分': 1}
{'短评内容': '房间很小，隔音效果也不太好，可能便宜的房间就是这样吧，我住没窗的，确实感觉比太好', '短评打分': 1}
{'短评内容': '还可以，设施齐全！就是房间有点小！隔音不是很理想！总体还是比较', '短评打分': 3}
{'短评内容': '\u3000位置很好\u3000', '短评打分': 3}
{'短评内容': '这酒店服务太差劲了！', '短评打分': 3}
{'短评内容': '已经入住，请取消信用卡预授权', '短评打分': 3}
{'短评内容': '房间宽敞阳光充沛，淋浴水很大，周边环境也不错，超市餐馆很齐全很方便', '短评打分': 5}
{'短评内容': '整体环境还可以，电视比较差。酒店还算干净，有早餐。价格不算太贵。服务员服务态度一般。', '短评打分': 1}
{'短评内容': '没有介绍的好，说有空调用，其实都不给开，呵呵', '短评打分': 1}
{'短评内容': '还不错,房间干净整洁,宽敞明亮,这个价位的还是比较合适的.交通方便,离地铁站不到5分钟.', '短评打分': 5}
{'短评内容': '已经入住谢谢!', '短评打分': 3}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '还不错，挺干净，设施齐全。价格可以。交通方便，闹中取静。', '短评打分': 5}
{'短评内容': '很干净，就是空间有点小', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '是快捷酒店里足够干净，性价比高的酒店。交通和商务都很便利。闹中取静。好！已先后介绍3位朋友入住成功。我不是托。', '短评打分': 5}
{'短评内容': '价格便宜~一个人住实惠~干净~三环内~边上有地铁~', '短评打分': 5}
{'短评内容': '房间里只有中央空调很差，要求着服务员才给你开', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '离海淀黄庄、中关村不远，交通比较方便。下次还会选择', '短评打分': 5}
{'短评内容': '客房的环境不错，干净，清理及时，就是隔音差了点', '短评打分': 5}
{'短评内容': '北京这价估计也就这意思了。提前三四天就订了，结果给了我一个最烂的房间。离地铁四号线挺方便的，早餐还就乎。', '短评打分': 3}
{'短评内容': '房间小，设施旧。早餐简陋，几乎可以忽略，没东西可吃。唯一的优点是离地铁比较近。', '短评打分': 1}
{'短评内容': '房间不错，服务良好，交通便利。', '短评打分': 3}
{'短评内容': '酒店内环境不错，干净，房间面积还行，就是隔音不好，隔壁房间每天晚上都乱哄哄的。', '短评打分': 5}
{'短评内容': '宾馆很可以，干净，经济，实惠，性价比高', '短评打分': 3}
{'短评内容': '比较好找的酒店，室内比较紧凑，但设施还是比较齐全，免费的早餐全是包子、稀饭、粥，比较适合我。', '短评打分': 5}
{'短评内容': '＋房间很舒适，预订很方便！', '短评打分': 3}
{'短评内容': '整体还不错。比较干净。', '短评打分': 3}
{'短评内容': '位置好，距离四号线很近，环境还不错，就是没有窗户的房间空气流通不好。', '短评打分': 5}
{'短评内容': '不错……隔音还行……就是床上用品要换了。', '短评打分': 5}
{'短评内容': '不错 价格合适', '短评打分': 3}
{'短评内容': '不错，还会来，位置，环境都不错，就是有点贵，不过北京就这价了', '短评打分': 5}
{'短评内容': '交通便利，周围环境好··· 总起来说，性价比还算可以，商务酒店。', '短评打分': 5}
{'短评内容': '干净、卫生、服务好、环境安静舒适，我很满意，就是被子有点薄，我盖了两层，呵呵！', '短评打分': 5}
{'短评内容': '服务一般，倒是挺干净的，不过我订的是大床间，去了竟然给我换了，怎么随便改呢？洗手间太小，都转不开身！早上有自助餐倒是不错！', '短评打分': 5}
{'短评内容': '大床房的空间比较大，也很干净，价位算合理', '短评打分': 5}
{'短评内容': '很好，环境好，交通方便，就是隔音质量稍差点，但是总体很不错。', '短评打分': 5}
{'短评内容': '离办事的地方近，现在增加了早餐，不错，建议对老客户有优惠政策。。。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '位置不错，去中关村办事方便，不过酒店的隔音一般，晚上比较吵，其他还可以', '短评打分': 5}
{'短评内容': '目前来看挺好的。不过，没窗的房子确实很闷。。。而且担心会睡过', '短评打分': 5}
{'短评内容': '整洁实惠，就是隔音稍差但无大碍，比较满意', '短评打分': 5}
{'短评内容': '房间还是比较干净的，服务也挺好，每天的早餐虽然不丰盛但是味道都还到位，而且价格也算划算', '短评打分': 5}
