{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '房间很温暖舒适干净', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 4}
{'短评内容': '很好！物美价廉', '短评打分': 5}
{'短评内容': '位置不错，紧靠重大', '短评打分': 4}
{'短评内容': '离川美很近，办事方便', '短评打分': 4}
{'短评内容': '酒店在重大北门对面，紧贴川美，两分钟可到熙街步行街，很方便。虽然在路边，但也安静；房间卫生不错，洗手间是用玻璃间隔的，但遮挡帘太薄。早餐简单，有包子稀饭鸡蛋蔬菜，10元自助餐想吃啥？没有停车场，停车要进川美。', '短评打分': 5}
{'短评内容': '离重大近，很方便。', '短评打分': 5}
{'短评内容': '酒店有点老！旁边是重庆大学和四川美院！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '在重大和熙街中间，比较方便。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一如既往的方便，服务员服务也很不错', '短评打分': 4}
{'短评内容': '蛮好的 交通不错  里面环境还可以 多次入住了', '短评打分': 5}
{'短评内容': '環境很好，服務很好，周邊緊鄰大學城熙街，非常方便！', '短评打分': 5}
{'短评内容': '不错  位置很好 环境也很好 不足点就是晚上比较吵', '短评打分': 5}
{'短评内容': '早餐好，适合北方人饮食。环境好，有家的感觉。宾馆卫生整洁，感觉好。', '短评打分': 5}
{'短评内容': '总之还算不错,就是价位有点高,网速较慢建议房间多配几个衣架,和吹风筒,只看价位涨没见设配套进\n', '短评打分': 5}
{'短评内容': '条件还不错', '短评打分': 3}
{'短评内容': '入住房间很干净 环境不错 酒店的安保也很到位 ', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '已住下两晚，谢谢！', '短评打分': 3}
{'短评内容': ' 淋浴区小了点 隔音差了点 早饭惨了点 其他都不错 值得推荐', '短评打分': 3}
{'短评内容': '房间还不错~感觉有点不隔音吧~~其他都还好', '短评打分': 5}
{'短评内容': '干净清爽，位于重庆大学的北门对面，非常的方便。服务态度也不错。', '短评打分': 5}
{'短评内容': '干净，这一片比较好的了，挨着学校...价格也比较合适...不贵', '短评打分': 5}
{'短评内容': '环境不错 ，服务还好 ，这一片算比较好的酒店咯..', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '如果到虎溪大学城店去办事，住这家酒店应该是很好的选择了，虎溪大学城店啊，很少能找到酒店。', '短评打分': 5}
{'短评内容': '设施很新，服务也不错，离大学城还近，旁边就是川美，晚上店门口有家烧烤，味道很不错呢', '短评打分': 5}
{'短评内容': '除了价格之外,都非常满意.在大学城也只有它了.', '短评打分': 5}
{'短评内容': '性价比还不错，特别是前台服务员热情周到，房间也很干净，只是隔音差了点。不尽人意的地方是网速实在太慢，早餐过于单调，但相对于178元的价格，还是值得推荐，来重大川美一带办事的人不二的选择。。。', '短评打分': 5}
{'短评内容': '帮朋友定的，说是在大学城 距离川美和重大最近的酒店 因为到地方没有单间了，给免费升级了一个复式。', '短评打分': 5}
{'短评内容': '酒店服务给我印象很好，服务人员说话很有礼貌，办事也很周到，这方面可以给5分。', '短评打分': 5}
{'短评内容': '房间挺干净，服务也很好，价格也不贵。', '短评打分': 5}
{'短评内容': '环境还不错，挺安静的，服务卫生也很到位，住的还是挺舒适的。', '短评打分': 5}
{'短评内容': '酒店挺不错，管理挺规范，房间挺干净挺舒适，价格也合适，值得推荐。', '短评打分': 5}
{'短评内容': '酒店住宿环境很好，蛮干净的，房间里布置的中规中矩，对商务出差来说物有所值。', '短评打分': 5}
{'短评内容': '酒店的服务质量没问题，很好，服务员都很有素质，说话很客气，也很文明', '短评打分': 5}
{'短评内容': '房间里的卫生条件不错，收拾的很干净，服务很好，很到位，价格也蛮合理的', '短评打分': 5}
