{'短评内容': '在呼和浩特只会选择锦颐连锁酒店 不仅客房感觉 鼓楼店工作人员及其热情 床睡的也特别舒服', '短评打分': 5}
{'短评内容': '隔音很差，隔壁打呼噜都能听见', '短评打分': 4}
{'短评内容': '服务很周到，早餐简单也很合胃口，房间虽然不大，却很舒适，价格也特别的实惠，入住时房间还赠送了几个小点心，很贴心！', '短评打分': 5}
{'短评内容': '早餐很丰富，棒棒哒，离海亮和摩尔城很近', '短评打分': 5}
{'短评内容': '挺好的，环境比较舒服，酒店位置也很好找，出行比较方便了，有免费的可口早餐，卫生干净很放心，最主要价格还很合适，推荐入住！', '短评打分': 5}
{'短评内容': '和朋友一起出来玩，之前住过感觉很好，朋友都觉得不错！环境优雅价格还很便宜，以后肯定还会选择！', '短评打分': 5}
{'短评内容': '第一来感觉很不错！环境不错价格优惠，房间也很温馨，还送了小点心，很贴心！免费早餐比较可口，推荐入住！', '短评打分': 5}
{'短评内容': '非常棒   网速快   服务好   就是我住的房间有点小 当然也有大房间  除此之外各方面都非常棒', '短评打分': 5}
{'短评内容': '不错，环境好', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '靠近公安局安全。附近有个小学，要注意放下学时有点堵。交通方便，吃点东西选择多。', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 4}
{'短评内容': '五星级服务，很体贴，每次去必住', '短评打分': 4}
{'短评内容': '酒店服务态度5分，但是门的隔音效果太差了！', '短评打分': 4}
{'短评内容': '环境挺好  很干净   以后还会去', '短评打分': 5}
{'短评内容': '周边购物餐饮方便', '短评打分': 4}
{'短评内容': '小巷子里，挺安静，又干净，只是房间小了一点。门口的保安大爷挺不错，热情的的提醒锁好车。', '短评打分': 4}
{'短评内容': '早餐品种多，合口，房间干净，服务效率快，保安帮忙指挥车，最主要是床舒服，性价比高！', '短评打分': 5}
{'短评内容': '我和妈妈住的标间，很温馨，有家的感觉，很舒适，服务员更是非常热情和贴心，以后去呼市还会入住这，推荐给大家！', '短评打分': 5}
{'短评内容': '以前经常入住，有免费的电话打，而且离鼓楼比较近。感觉还是不错的', '短评打分': 5}
{'短评内容': '卫生服务都还不错。就是卫生间实在是太小了。空调制冷效果不好。不管怎么调，都是一个温度。只能说是电风扇。', '短评打分': 5}
{'短评内容': '网速不快，房间较小，有点是服务态度较好，性价比相对不错', '短评打分': 1}
{'短评内容': '价格便宜，无线网络比较方便，很干净，吃饭方便，因为先订了别家，只住了两天，下回会住这儿。', '短评打分': 5}
{'短评内容': '干净，整洁，安静，不错的地方。下次还可以住，顶。。。。。', '短评打分': 5}
