{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '很不错的', '短评打分': 4}
{'短评内容': '还可以，房间挺大的', '短评打分': 5}
{'短评内容': '基本还是比较干净，早餐还可以，毕竟这个价位的，服务很不错，带孩子一起住的，孩子很喜欢，总体还是可以的', '短评打分': 5}
{'短评内容': '环境不错哦', '短评打分': 4}
{'短评内容': '价格实惠', '短评打分': 5}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店环境不错！服务态度也不错！', '短评打分': 5}
{'短评内容': '酒店环境不错！服务态度也不错！', '短评打分': 5}
{'短评内容': '酒店价格不高，环境还算不错的', '短评打分': 3}
{'短评内容': '设施一般，环境一般，其他也一般', '短评打分': 3}
{'短评内容': '入住十分舒服，卫生、便捷', '短评打分': 3}
{'短评内容': '不错，就是旧了点，无线网还可以', '短评打分': 3}
{'短评内容': '红红火火红红火火红红火火红红火火', '短评打分': 3}
{'短评内容': '挺好的，房间很大还是很满意的，在那附近是不错的酒店。', '短评打分': 5}
{'短评内容': '第二次入住啦朋友说不错，后面有需要还会来住', '短评打分': 5}
{'短评内容': '我们本來要住兩天但一住進來就後悔了洗澡熱水不熱房間又有霉味你如果問我給飯店幾分我給兩分一分是好停車一分是地點好.....堅決不推薦\n\n', '短评打分': 1}
{'短评内容': '起初安排的房间像网上住客说的，房间异味大噪音大。\n第二天反应了给调整了房间。\n整体来说还不错。\n对面是洗脚中心，累了一天可以洗脚很方便。门前有11路到国际商贸城。\n\n', '短评打分': 5}
{'短评内容': '第二次入住朋友说不错', '短评打分': 3}
{'短评内容': '在这个价格上此酒店也算不错了，但是没停车场地是比较纠结，只能酒店门口到处找车位停', '短评打分': 5}
{'短评内容': '房间还行 热水挺给力的 ', '短评打分': 3}
{'短评内容': '挺不愉快的经历。房间并没有如照片上的配电脑，10分钟不到加钱去换电脑房，又说同等价位的房间没有了......等等', '短评打分': 1}
{'短评内容': '方便，友好，和谐。基本在义乌市中心，可以感受义乌的特点。打车很容易。', '短评打分': 5}
{'短评内容': '朋友说房间还不错就是隔音不太好', '短评打分': 3}
{'短评内容': '位置还可以，只是远商贸城蛮远的，不过在市中心里面\n吃饭方便，逛街方便，看夜景也蛮不错的，呵呵\n去火车站没有直接的公交车', '短评打分': 5}
{'短评内容': '在义乌住酒店经常选择，还算比较方便', '短评打分': 3}
{'短评内容': '经常住这家酒店，还算比较干净，就是早餐差点', '短评打分': 3}
{'短评内容': '挺好的，性价比很高，环境很不错，设施也不错。有90分', '短评打分': 5}
{'短评内容': '性价比比较高，比较干净，经常住，总体上说还行吧', '短评打分': 5}
{'短评内容': '老牌酒店，服务不错，重新装修过的房间还是不错的，也挺干净', '短评打分': 5}
{'短评内容': '酒店总体感觉还不错，卫生间很宽敞，虽然临街也算安静，冰箱制冷效果很一般。', '短评打分': 5}
{'短评内容': '＋很好', '短评打分': 3}
{'短评内容': '设施尚可，交通便捷，性价比较高，早餐感觉有待改善', '短评打分': 5}
{'短评内容': '房间挺干净，价格也合理，就是早餐感觉不怎样', '短评打分': 5}
{'短评内容': '房间够大，只是早餐种类略少。酒店没有餐厅，但附近就有餐馆。', '短评打分': 5}
{'短评内容': '位置还行，比较干净，返券很给力，以后还是要住', '短评打分': 5}
{'短评内容': '经常住，还是比较干净的，地理位置也还不错，服务态度也好', '短评打分': 5}
{'短评内容': '我已经入住过环境不错，设施完备，', '短评打分': 3}
{'短评内容': '早餐相对简单，档次比三星级酒店略低。适合家庭入住。', '短评打分': 1}
{'短评内容': '还可以吧，就是开发票等的时间太长了，态度不错，也就算了。', '短评打分': 5}
{'短评内容': ' 环境还可以，地点比较好，就是硬件方面似乎年代有点久，建议该更新了', '短评打分': 3}
{'短评内容': '酒店设备都挺好，可延迟到下午2点退房。下次会继续入住。', '短评打分': 5}
{'短评内容': '在义乌住过好几家酒店，觉得这家虽然价格不高，但整体不太理想，卫生一般（有个别房间卫生间的气味很重，地毯有些脏），家具偏旧、房间较小、隔音不太好，早餐也不好。', '短评打分': 1}
{'短评内容': '环境不错  干净舒适   服务态度很好 值得推荐给朋友', '短评打分': 5}
{'短评内容': '+不错很干净！', '短评打分': 5}
{'短评内容': '酒店挺不错，服务挺周到，卫生也很好，床单被子很干净，洗漱用品也挺齐全。', '短评打分': 5}
{'短评内容': '房间不大，布置的很温馨，设施也很完善，质量也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒点可以下午2点退房，隔壁餐馆多，但交通不是太方便', '短评打分': 5}
{'短评内容': '酒店相当不错，卫生很好，房间收拾很干净，空调、电视等都有，质量也很好，出行也方便，下次我还选择这家。', '短评打分': 5}
{'短评内容': '酒店位于繁华地带，周边有大型商场，超市，购物很方便，交通也很便利。', '短评打分': 5}
