{'短评内容': '不错不错不错，环境好，干净整洁......', '短评打分': 5}
{'短评内容': '地理位置好，服务态度好。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '环境一般般', '短评打分': 3}
{'短评内容': '酒店价格合适，入住给我提醒有KTV在2-3楼，还好不是周末，挺安静，我住在内侧，安静，通风挺好，周围购物，交通餐饮极其方便', '短评打分': 4}
{'短评内容': '房间很大，还有个麻将桌。墙上都贴的墙纸', '短评打分': 5}
{'短评内容': '还行啊，服务比较好。', '短评打分': 3}
{'短评内容': '管理很乱。订单很乱，居然找不到！环境还可以，但就是服务跟不上。', '短评打分': 1}
{'短评内容': '酒店部分房间正在装修，房间里全是装修时的气味，单是这一点，就至少半年后再来。\n网络不通!服务员来了不会弄，说叫电工，一直没出现!只好用手机上网!\n门缝大得可以放进一个手指头，走廊的声音全都传进来!\n杯子脏得让你连清洗的欲望都没有!\n还是挂三星呢!徒有其星!', '短评打分': 1}
{'短评内容': '房间很好，就是楼下在装修，电梯停用，上下楼累啊', '短评打分': 5}
{'短评内容': '洗澡的热水多不热，洗澡水流也不多。住这家不如住铁水锦江之星。', '短评打分': 1}
{'短评内容': '环境不错，干净', '短评打分': 3}
{'短评内容': '服务不错。', '短评打分': 3}
{'短评内容': '酒店的条件不错，地点也好，关键是价格合理。如果在前台临时入住，价格就要贵得多。', '短评打分': 5}
{'短评内容': '住的611房，房间倒是挺大，被褥也干净，不过卫生间大淋浴头出水不畅，几个橱柜基本是摆设，还有房间里找不到服务台的电话号码', '短评打分': 1}
{'短评内容': '态度热情，服务周到', '短评打分': 3}
