{'短评内容': '在火车附近，非常方便，装修很有瓷都味道，不错。', '短评打分': 4}
{'短评内容': '酒店的建筑风格很有特色，距离婺源高铁站步行12分钟。就是饮食不方便，酒店的早餐过于简单。坐高铁出行首选。', '短评打分': 5}
{'短评内容': '房间小一点，但很有感觉。不错', '短评打分': 5}
{'短评内容': '装修很有味道，平时价格比较实惠', '短评打分': 4}
{'短评内容': '很有味道的一家酒店，喜欢。', '短评打分': 5}
{'短评内容': '很喜欢这个地方，就是赶上发水，停电停水。以后有机会还回来，特喜欢木头的装饰。', '短评打分': 5}
{'短评内容': '不错，就是有点小，三人间跟就比标间大点，酒店也不是很好找，图片上的路牌都没了', '短评打分': 5}
{'短评内容': '很不错，实惠，环境好，就是周边偏了点', '短评打分': 5}
{'短评内容': '在高铁站旁边 酒店装修得挺有特色的 还有个阳台 够干净 住起来比较舒适 服务态度好', '短评打分': 5}
{'短评内容': '酒店内部环境不错，很有特色但是离马路太近，车辆行驶发出的声音有点步，离高铁站步行二十多分钟。总体来说值得一住', '短评打分': 4}
{'短评内容': '酒店复古，喜欢怀旧的一定要住，房间内设施现代化，大爱她的热水系统，全程恒温。', '短评打分': 5}
{'短评内容': '古风韵味，物美价廉，让我们重温蜜月之旅。', '短评打分': 5}
{'短评内容': '真心不错的酒店，性价比很高，酒店装修很有特色，很有调调的一个酒店，太棒了，就是淡季来的，酒店没有提供餐饮方面的，也无早餐提供了', '短评打分': 5}
{'短评内容': '还不错，有特色', '短评打分': 5}
{'短评内容': '整体环境还可以，就是天气冷的话，卫生间洗澡比较冷，而且二楼的wifi信号几乎没有，电视还是老式的，估计天气暖和住是个不错的选择。', '短评打分': 4}
{'短评内容': '还不错，不过挺安静的', '短评打分': 4}
{'短评内容': '酒店位置较好，高铁下车步行1000米即到，还是有点特色的酒店。', '短评打分': 5}
{'短评内容': '酒店很不错，儿子很喜欢，就是位置真的很一般。从长途汽车站来的可以坐一路公交车在共大下车。不过，一路公交车很难等。', '短评打分': 4}
{'短评内容': '挺有特色的,在当地。下次去还会选择这里。', '短评打分': 5}
{'短评内容': '装修很有特色，酒店里面的设施也不错。推荐。', '短评打分': 5}
{'短评内容': '房间太小。晚餐很差。酒店的停车场很小。酒店灯光不亮。', '短评打分': 1}
{'短评内容': '房间很小，没有多少活动空间，还好有个阳台，但说是观景房，只能看到停车场，毫无景色可言。洗手间比较干净，但光线比较暗。网络相当差，完全无法使用！个人觉得不值这个价。\n\n早餐相当差，去转了一圈，只喝了一杯豆浆。总类少，味道相当一般，更重要的是看到服务员将客人没有吃完的部分早餐放会食物盘里。', '短评打分': 1}
{'短评内容': '婺源很有特色的酒店  婺源很有特色的酒店', '短评打分': 5}
{'短评内容': '前台服务员态度还行，但是足疗接电话的服务员态度太差了！！两个房间预约了足疗，其中一个，脚泡完了，技师服务员走了，半个小时后打电话问技师咋还不回来，说接到电话家里有事……这个可以理解，但是，总得有人通知顾客一下吧？！另一个，一个多小时后，根本没来人。之前预约时，说好最多半小时的。最后，打电话问，接电话的人态度极其不耐烦的，得继续等，要不就算了。哇塞，生意大了，也不能这么欺客吧？就算不做我们的生意，提', '短评打分': 1}
{'短评内容': '酒店环境相当好，温馨，典雅，服务态度很好，亲近大自然，保安负责任，安全。', '短评打分': 5}
{'短评内容': '挺有特色的，就是难找了点，建议酒店换个醒目的招牌。', '短评打分': 5}
{'短评内容': '酒店有着浓厚的文化气息。正好符合酒店的名字。', '短评打分': 3}
{'短评内容': '房间里一股尿骚味，感觉就像睡在洗手间。没有啥服务可言。', '短评打分': 1}
{'短评内容': '交通不是很方便，但门口可以打摩托车。房间很小，不过沐浴间还好。酒店应该是这两年新盖的，设施还挺新。性价比不错。', '短评打分': 5}
{'短评内容': '酒店装修挺有特色，可能是住的一楼的缘故，房间里有只很大的爬虫。', '短评打分': 5}
{'短评内容': '挺有特色的，但没有电梯搬行李太麻烦', '短评打分': 3}
{'短评内容': '在婺源的紫阳镇上，就是里镇中心稍远，外环境较安静，客房走廊地板没有地毯，有高跟鞋走过很响。', '短评打分': 5}
{'短评内容': '提前一月预订，安排在一楼，服务还好', '短评打分': 3}
{'短评内容': '1.房间很小，床很硬\n2.停车场停车时，保安乱引导，给一个小不啦叽的位置，万一碰花了车怎么办\n3.早餐卷没跟柜台要，就不会给你，到了餐厅才知道要餐卷，害我们在那等了半天\n4.证件登记时还要等2-3小时才会还给我们，难不成要我们等到证件拿到了再出去吗？  （2个老人是需要证件证明才能买半票！）\n5.整体来说就只有房间比较有特色，其他就不怎样了，还有，太贵了！！！', '短评打分': 1}
{'短评内容': '环境很不错，设计也很特别。就是房间小了点，有点挤。', '短评打分': 5}
{'短评内容': '很有中式情调的一个宾馆 很漂亮 价格也不贵 强烈推荐。送的早餐一般。', '短评打分': 5}
{'短评内容': '房间很小,而且地上没有地毯,搞得每次有旅客拖箱子的时候就很崩溃,当然酒店的隔音性能也不好...工作人员会在大早晨还在梦中的时候推门进房间去打扫..\n\n除了这些不好的因素，其他的情况还算okay，旅游景区么，可能大概就是这个样子。', '短评打分': 1}
{'短评内容': '很干净，有特色。就是房间有点小。总体还是很满意的。', '短评打分': 3}
{'短评内容': '酒店设计虽然很具有特色，但是服务差，靠街面住房很闹，零辰1点大卡车的声音太闹了，零辰5点被其他进来入住的旅游团吵醒，房间5月份了都还很潮，有霉味，床很硬，五星级酒店的收费，本以为会很好，却非常失望！', '短评打分': 1}
{'短评内容': '非常满意！酒店很有有特色。小朋友也喜欢。就是周末的房间要比平日翻个倍，否则还准备多住几天。呵呵', '短评打分': 5}
{'短评内容': '就像回到了原始小屋，布置的很温馨，很有特点，屋里的装饰和茶具都非常有特色，服务很好，下次还会来', '短评打分': 5}
{'短评内容': '位置比较偏  没有想象中的那么好  价格偏贵吧~~~', '短评打分': 1}
{'短评内容': '自驾的话值得推荐，酒店非常有特色，古色古香，就是地理位置偏一些。\n另外，我住的那间房的洗手间台面没有清洁干净，有红色的粘稠物...估计是由于台面是木质的，刷了深红色漆，所以清洁时疏忽了。', '短评打分': 5}
{'短评内容': '不错，下次再去。', '短评打分': 3}
{'短评内容': '环境还可以,就是交通太不方便.自驾还行.公共交通还是在北站旁住吧', '短评打分': 3}
{'短评内容': '房间很小阴暗潮湿 早餐很差', '短评打分': 3}
{'短评内容': '很有特色的一家酒店，干净，舒适，强烈推荐。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间较小水不热环境不错', '短评打分': 3}
{'短评内容': '淡季性价比很不错，有特色的酒店，就是离市区有些远，自驾的话不是问题。建议入住', '短评打分': 5}
{'短评内容': '服务人员很热情，房间小，冬天是好事。细节做得不错。', '短评打分': 5}
{'短评内容': '+环境不错，饭菜也挺可口，就是房间很潮湿。', '短评打分': 5}
{'短评内容': '酒店位置不在婺源县城的繁华地带，有点偏，但对于自驾车的人来说不是问题。房间设施不错，够得上三星标准。可以免费使用宽带上网。\r\n早餐不像网上评论的那么差，不是多丰盛，但是也还好了。', '短评打分': 3}
{'短评内容': '房间装修古朴又现代,四星标准,物超所值', '短评打分': 5}
{'短评内容': '古朴，舒适，安静', '短评打分': 5}
{'短评内容': '建筑装饰有特色，空调采用不间断电源，不必担心外出后空调停机。遗憾的是没有看到锻炼场所，度假村名不副实。', '短评打分': 5}
{'短评内容': '古色古香，很好！就是价格偏高！值得推荐！', '短评打分': 5}
{'短评内容': '价格搞了些，进入雨季房间有些霉味。', '短评打分': 3}
{'短评内容': '酒店房间小了点，进入雨季有点霉味。房间隔音不好，早餐一般', '短评打分': 5}
{'短评内容': '房间古朴，就是小了点，性价比差点', '短评打分': 5}
{'短评内容': '非常有特色的度假酒店，所有的装修和装饰都恰到好处，还有水果赠送。就是隔音差些，早餐如果不是团队就是一人一份的简餐，不像4星级。酒店依山而建，晚上推开阳台门吓了以跳，觉得很阴森，早晨起来才看出山上都是松林，空气非常好，不过外出和晚上一定锁好门。', '短评打分': 5}
{'短评内容': '酒店以木结构为主，房间阳台靠山，景观非常好，适合度假。', '短评打分': 5}
{'短评内容': '住的很舒服，环境我很喜欢，唯一让我觉得不满意的就是出门不好坐车，不过服务台可以帮忙叫车，这点很好，有机会再去，我还是会选择这里的，下次去给个折扣我就好了，房价有点点高，呵呵。', '短评打分': 5}
{'短评内容': '比较有感觉的那种。', '短评打分': 5}
{'短评内容': '对于噪音不太在乎、喜欢热闹的客人、结队而来的客人来说，这个酒店是性价比不错的酒店。酒店的竹木感觉的内部装修比较有特色，房间比较小，但是比较舒适。酒店的隔音效果不好，可能某些单体空调比较老旧，在一楼的客人即使自己不开空调，也不得不忍受别的房间外置空调的噪音。酒店在二楼设个麻将馆，直到12点才结束，对二楼比较喜欢安静的客人来说比较扰民。可能来这个酒店的客人都是比较喜欢夜生活的人，但是对于我这样对安静要', '短评打分': 1}
{'短评内容': '原木的外观、走廊和大堂。原木的门牌、装饰画和家具。返璞归真的竹编灯、马灯、蓝印花布床品、陶制洗脸池和泡脚木桶...这一切都让为城市生活所累的人们顿时感到轻松和惬意。如果交通能更便利一些，服务能更亲切一些，价格能更公道一些，菜肴能更清淡一些，下次去婺源，我一定还会选它的！', '短评打分': 5}
{'短评内容': '酒店装修很有特色，干净卫生，除了不支持宽带上网以外，其余都挺不错，对于自驾游是非常好的选择！', '短评打分': 5}
