{'短评内容': '很不错，服务很到位', '短评打分': 5}
{'短评内容': '早餐没吃不清楚，适合带孩子，位置便利，停车场也够大，房间也很整洁，下周来登封我会再次入住，重温这舒适的环境。', '短评打分': 5}
{'短评内容': '环境不错哦', '短评打分': 5}
{'短评内容': '早餐没吃不知道，没问能不能加床，适合亲子的，位置在郊区似得，挺开阔的，停车场在影视城接待中心，也足够停车，环境也优雅大气，满分好评！', '短评打分': 5}
{'短评内容': '房间很大，干净卫生，这次新装修后，大堂很不错，唯一美中不足的就是楼下的ktv太吵闹了', '短评打分': 5}
{'短评内容': '设施及环境不错，床单干净，有网络接口，就是WIFI连不上，价格还好，主要是提前一月订的房间价100元一晚。十一当天的房价较高199元一晚!太阳能热水器，阴雨天没热水，有时可能会停电，停电跟酒店没关系。服务也好，总来说还不错!', '短评打分': 5}
{'短评内容': '离小龙武校很近 能看到孩子们操练的身影，晚上也可以去看看电影就在酒店旁边，住宿房间也挺大，很适合旅行居住', '短评打分': 5}
{'短评内容': '价格合适，方便快捷，', '短评打分': 5}
{'短评内容': '房间宽敞，光线好，设施齐全，空调给力，热水给力，大床很舒服。很大的停车场，旁边是武校，每天都可以看到学生在习武。旁边还有个电影院。。。酒店的后面正在建房，地上堆了很多垃圾，窗子不敢打开，以后应该是不会有这个问题。。。总体不错。。。', '短评打分': 5}
{'短评内容': '还可以不错的住宿', '短评打分': 4}
{'短评内容': '很超值，服务员态度好，停车方便，可以观看武校孩子们训练，有电影院在旁边。', '短评打分': 5}
{'短评内容': '不错，停车方便', '短评打分': 4}
{'短评内容': '卫生间卫生很差！', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '周边环境还算可以，离书院近，打车方便', '短评打分': 5}
{'短评内容': '性价比高，设施较老，房间较大，服务不错。', '短评打分': 4}
{'短评内容': '距离少林寺路程比较近，店内环境非常好，早餐也挺实惠。力挺', '短评打分': 5}
{'短评内容': '酒店总体环境有点旧，有点对不起7天连锁的名字。', '短评打分': 1}
{'短评内容': '房间墙皮返潮，应该处理一下。房间够大，停车方便，早餐一般。', '短评打分': 5}
{'短评内容': '房间不错，就是院子里声音吵了些，有练武的小孩。还是推荐入住的。去少林寺很方便', '短评打分': 5}
{'短评内容': '房间够大，设施一般，很实惠，楼下就是武院哦，可以看到很多小朋友练功啊，还会入住', '短评打分': 5}
{'短评内容': '物有所值，但是没有电吹风、一次性茶叶等有些遗憾', '短评打分': 5}
{'短评内容': '房间挺大，住起来很舒服，缺点就是那个无线网络速度有些不给力。', '短评打分': 5}
{'短评内容': '其他都还行，最关键晚上12点居然停空调，一直到早上八九点还没有来，这么热的天差点要了命', '短评打分': 1}
{'短评内容': '位置很好，就在武术学校里面，可以看学生武术练习。房间宽敞，干净。早餐丰富。很好。下次还会光顾。', '短评打分': 5}
{'短评内容': '环境不错，卫生也不错，就是我要的单间大床，给换成标间小床了，前台说是没有单间了！有些不太满意！', '短评打分': 5}
{'短评内容': '总体非常满意，房间大，设施比较新。酒店位于武术学校院内，很安全。前台办手续很快很利索。早餐的油炸馒头很好吃。', '短评打分': 5}
{'短评内容': '酒店整体还不错，就是洗澡水不热很难受，早餐不怎么好，服务和卫生都不错。', '短评打分': 5}
{'短评内容': '条件还不错，虽然偏点，比较清静，离少林寺近。', '短评打分': 3}
{'短评内容': '放假去的，住的是标间，房间很大很干净，相当不错的！', '短评打分': 5}
{'短评内容': '还不错，性价比不错。。。交通也好。。。下次会住', '短评打分': 5}
{'短评内容': '非常满意，环境很不错，服务还可以，挺超值的！赞一下！', '短评打分': 3}
{'短评内容': '很不错，也很实惠很干净', '短评打分': 3}
{'短评内容': '酒店位于释小龙武院里面，非常安全，也很安静。停车场很大，停车方便。酒店房间超大，设施齐全，性价比高，下次还会来这里住。', '短评打分': 5}
{'短评内容': '很不错啊 服务很好啊 以后还会来这里的  会把这里推荐给朋友的', '短评打分': 5}
{'短评内容': '住宿很不错，很满意，就是空气有点干第一天不适应。PS：负责早餐的大姐态度很好，表扬一下', '短评打分': 5}
{'短评内容': '条件很好！下次来还住这家了！据说是三星级的！', '短评打分': 5}
{'短评内容': '对于春节期间的气候来讲，房间的取暖设施有些跟不上了。', '短评打分': 5}
{'短评内容': '房间超大，干净卫生，设施齐全，停车方便，服务周到，价格实惠。应该是去少林寺自驾游的首选。', '短评打分': 5}
