{'短评内容': '早餐不错，有停车场，位置很方便', '短评打分': 4}
{'短评内容': '有停车场，干净，就是旁边修地铁有点吵', '短评打分': 5}
{'短评内容': '房间很有特色，但是住宿期间遇上旁边修路', '短评打分': 4}
{'短评内容': '有停车场，早饭不错', '短评打分': 5}
{'短评内容': '噪音恼人，我是从来不会轻易给负面评价的人，真的，确实遭不住了。', '短评打分': 4}
{'短评内容': '长期去成都都住这里，方便、卫生。', '短评打分': 5}
{'短评内容': '很棒，位置很好，干净舒适', '短评打分': 5}
{'短评内容': '干净卫生、地理位置很好找。', '短评打分': 5}
{'短评内容': '一直住这家酒店，环境好，地理位置优越，服务员态度好，很干净。。', '短评打分': 5}
{'短评内容': '很棒很干净整洁，位置很好。', '短评打分': 5}
{'短评内容': '环境挺好的，挺干净，装修也很新，是我喜欢的风格。', '短评打分': 5}
{'短评内容': '前台及服务员态度都还不错，主要是离公司很近，走几分钟就到，电梯需要刷卡，安全性还不错', '短评打分': 4}
{'短评内容': '不怎么样', '短评打分': 3}
{'短评内容': '整体还行，小卡片很多。', '短评打分': 5}
{'短评内容': '酒店前台服务特别好，前台员工服务热情，地理环境优越，早餐丰富，免费停车，值得推荐！', '短评打分': 5}
{'短评内容': '房间挺不错，很干净，也不吵，空调是中央空调效果非常好。热水器的效果也不错，没有忽冷忽热。不过希望把wifi改成密码的比较好，有时候用微信连不上。', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 4}
{'短评内容': '还可以的！', '短评打分': 5}
{'短评内容': '房间跟酒店宣传照片基本一致，离地铁口很近，适合商务出差。', '短评打分': 4}
{'短评内容': '还差不多', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '总体来说还不错。', '短评打分': 4}
{'短评内容': '空调不给力，早餐也品种不多，只是吃饭方便，旁边就是重庆萧天鹅', '短评打分': 1}
{'短评内容': '酒店服务不错，早餐非常好吃，性价比高，416房间，', '短评打分': 5}
{'短评内容': '非常好值得入住，早餐丰富，非常好的适合公务出差入住，我入住的是416房间，安静，', '短评打分': 5}
{'短评内容': '环境还可以，交通也很方便，就是没有牙刷，使用酒店牙刷需要消费的', '短评打分': 3}
{'短评内容': '酒店非常好，服务非常好，性价比高，值得入住，早餐也不错，', '短评打分': 5}
{'短评内容': '很好，帮同事订购的~同事说还可以~~~而且离九眼桥酒吧又近~还可以~', '短评打分': 5}
{'短评内容': '交通方便，价位还可以，服务不错，有自己的停车场，房间面积挺大的。', '短评打分': 5}
{'短评内容': '商务型酒店。酒店大堂比较小。大楼很普通。\n房间比较有特色。\n早餐很简单。\n房间隔音比较差。很吵。\n还可以吧！', '短评打分': 5}
{'短评内容': '房间太小，且不隔音。', '短评打分': 3}
{'短评内容': '酒店就在一环路旁边，交通很方便，早餐也还好。', '短评打分': 5}
{'短评内容': '条件可以,价格略高了点', '短评打分': 3}
{'短评内容': ' 总体还算不错！', '短评打分': 3}
{'短评内容': '此酒店尚可……热水不错……早饭建议早点去吃。服务尚可。', '短评打分': 3}
{'短评内容': '此酒店还可以；早餐要早点去吃……不然就没有许多品种可选了。', '短评打分': 3}
{'短评内容': '第一感觉房间很温馨!第二感觉是很适合情侣入住!', '短评打分': 5}
{'短评内容': '服务不错，早餐说的过去，酒店性价比一般。', '短评打分': 1}
{'短评内容': '方便的停车，酒店比较安静。干净在一环路上位置很方便', '短评打分': 5}
{'短评内容': '1、无免费洗漱用品。\n2、空调效果不好\n3、', '短评打分': 1}
{'短评内容': '酒店挺干净，外面小路里有很多好吃的，沐足也方便。', '短评打分': 3}
{'短评内容': '干净整洁，态度好！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '干净度还可以，交通也比较方便，去川大春熙路都很近，附近吃饭的地方也比较多，就是前台的服务态度不太好，打扫卫生的态度不错，也很负责，也可以停车，总得来说下次来还是会去住得', '短评打分': 5}
{'短评内容': '性价比不高，设施老旧，空调不制冷。服务态度恶劣。我没收到过送的早餐券，去前台想要一张，结果前台的人说肯定是送了，不可能没送，丢了自己买。什么态度嘛！', '短评打分': 1}
{'短评内容': '房间整理的不干净。早餐太粗糙。窗户好象是单层的，尽管不是临街的，隔音依然很差。', '短评打分': 1}
{'短评内容': '很不错，房间很干净，内部餐厅也挺不错的，有点遗憾的是册子上写有内部按摩足浴的结果打了电话一直没人接，应该是没有吧，怎么册子上写有呢？？ \n', '短评打分': 5}
{'短评内容': '很不错，房间很干净，内部餐厅也挺不错的，有点遗憾的是册子上写有内部按摩足浴的结果打了电话一直没人接，应该是没有吧，怎么册子上写有呢？？', '短评打分': 5}
{'短评内容': '浪漫时尚房床很有意思，但是床垫和床单比床小。浴室的水比较小，不够热。电视有点儿太小了。', '短评打分': 5}
{'短评内容': '酒店早餐不错，内部也有叫餐服务可以归到房费去，很方便哦', '短评打分': 5}
{'短评内容': '办完入住，被告知电梯坏了；\n打开房门，竟然没有打扫；\n等打扫完以后，入住，也没细看，晚上准备睡觉，发现床上竟然留有污物的印迹。\n再也不会住这个鬼地方了~！', '短评打分': 1}
{'短评内容': '山水时尚酒店交通便捷，房间很大，较舒适。', '短评打分': 3}
{'短评内容': '整体不错', '短评打分': 3}
{'短评内容': '日式房，非常好，很喜欢这么有特色的酒店。\n可惜只有为数不多的几个城市有山水时尚酒店，要不以后出差都住这个连锁。\n早餐如果能够再丰富一点就再好不过了。', '短评打分': 5}
{'短评内容': '酒店工作人员服务还可以，若能经常清洁一下地毯，感觉会更舒服。', '短评打分': 3}
{'短评内容': '小巧干净', '短评打分': 3}
{'短评内容': '房间还可以，就是现在周围在装修，比较吵，房间的隔音效果不是很好', '短评打分': 5}
{'短评内容': '老客户，信得过。这次又带一群朋友来。希望愉快', '短评打分': 5}
{'短评内容': '5月24日我對這酒店的評論很好，其實誤導了住客。當晚洗澡才發現只有一條像抹布一樣的破浴巾，好幾個破洞，絕不誇張，從5月24日住到6月6日，天天用破浴巾，每天向前台反應，千篇一律的回答“已經向總公司申請，但新毛巾還沒送到”傻瓜也不相信半個月還沒有送來新毛巾。你們如果要住這個酒店，請先看有沒有新毛巾在定房，要知道破舊的毛巾那些破破爛爛的地方有隱藏多少細菌。', '短评打分': 1}
{'短评内容': '\n很不错的酒店', '短评打分': 3}
{'短评内容': '不错的酒店选择正确！', '短评打分': 3}
{'短评内容': '这个价位的酒店很好   附近有很多的地方玩  吃东西也很方便  房间设备有点陈旧  总之 都还可以的 ', '短评打分': 5}
{'短评内容': '价钱还好吧，早餐15 还行。就是床太硬了，睡得不怎么舒服。', '短评打分': 5}
{'短评内容': 'Really nice hotel.\nGood management.', '短评打分': 5}
{'短评内容': '如其他点评所说，房间比较大，清静,好睡觉。就是不知道个人物品是否要钱。。', '短评打分': 5}
{'短评内容': '1 房间够大，环境不错！\n2 办理入住手续时，柜台前有说明写着客人可以免费领取一次性洗漱用品，但前台一再推脱是会员才能享受免费，明显与告示不符，属于欺诈行为，望能改正!', '短评打分': 5}
{'短评内容': '不错，第三次住了', '短评打分': 3}
