{'短评内容': '感觉还可以第一天入住和内地三星有差距\n', '短评打分': 3}
{'短评内容': '还不错，跟布达拉宫在一条路上，旁边是个大超市，买东西蛮方便，前台标的是三星，但设施跟内地的三星有一定的差距，门的密封稍差些，其他都好，再去还会找他家。', '短评打分': 5}
{'短评内容': '环境还可以，挺干净，位置也不错，出行方便，价格还合理。', '短评打分': 5}
{'短评内容': '酒店有自己的医疗队，感觉很方便，位置也很好，离布达拉宫很近，游玩很方便。', '短评打分': 5}
{'短评内容': '挺不错的酒店，吃住行都很方便，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置还不错，离布达拉宫挺近，周边购物也很方便。', '短评打分': 5}
{'短评内容': '服务人员态度还成，卫生方面一般，位置很好，离景点很近，价格还是能接受的。', '短评打分': 5}
{'短评内容': '离景点挺近的，出行还算方便，价格也比较合适。', '短评打分': 5}
{'短评内容': '酒店的价格还算公道，服务上也不错。', '短评打分': 5}
{'短评内容': '酒店前台服务还不错，挺热情的，高原的医疗服务也不错，服务上很周到。', '短评打分': 5}
{'短评内容': '位置还不错，离布达拉宫广场挺近，周边有超市购物也很方便。', '短评打分': 5}
{'短评内容': '服务人员的态度还行，当时去住，客人不是很多，他们的卫生条件做的却不是很好，早餐去吃都是凉的，希望有所改善，价格方面还行，还能接受', '短评打分': 3}
