{'descr': '还可以', 'star': 5}
{'descr': '房间干净整洁～环境安静，设施齐全', 'star': 5}
{'descr': '住宿环境好，设备齐全，地理位置好出行方便，满意！', 'star': 5}
{'descr': '出差人员说不错', 'star': 5}
{'descr': '交通很方便，服务态度好', 'star': 5}
{'descr': '京东商城给力，速度快，很好', 'star': 5}
{'descr': '除了帝都房价贵，就是贵叻，唉', 'star': 5}
{'descr': '还不错吧，给个好评的喽挺暖', 'star': 5}
{'descr': '还不错，就是地方不太大', 'star': 4}
{'descr': '一般般', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '还好！就是地方不太大', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '我替朋友在携程付过钱，竟然又问我朋友收钱，搞的很尴尬，非常烂的沟通和服务。', 'star': 3}
{'descr': '一般', 'star': 4}
{'descr': '房间非常的一半，但价格确实很实惠。', 'star': 3}
{'descr': '里北京联合大学很近，交通方便。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '房间挺干净的，就是房间里面的烟味太重', 'star': 5}
{'descr': '设施虽然有点陈旧，但房间还算干净，也比较安静，位置也比较方便，距离车站很近，就是对面的车站走的有点远，退房速度非常快！订的是节日百元房，价格非常合算', 'star': 5}
{'descr': '酒店真的不错，而且性价比也很高，订的是百元房，女服务员也特别的棒。', 'star': 5}
{'descr': '嗯，还不错，唯一缺点就是洗浴的厕所也冲澡的地方太小了。而且规划的不合理。', 'star': 5}
{'descr': '感觉这个店,,还行', 'star': 3}
{'descr': '这家酒店真还不错，位置优越，傍边就是超市，太好了', 'star': 5}
{'descr': '订的春节百元房.是大床，一样的干净舒适，超值', 'star': 3}
{'descr': '环境不错，干净卫生，安全，温馨，舒适，服务到位。', 'star': 3}
{'descr': '整体来说不错，停车稍微不方便点，房间不大，但是100块特价还是超值了。地理位置很好，紧按着家乐福，买东西十分方便~', 'star': 5}
{'descr': '交通方便，房间整洁，去家乐福买东西非常方便，上四环去城里城外都很便利。', 'star': 5}
{'descr': '交通便利，环境优雅，简介舒适，物美价廉，是出差上午的首选', 'star': 5}
{'descr': '不错 嗯嗯  环境还好吧  就是走的有点远。。。。断腿啊  呼呼  还有就是老有卡片塞进来', 'star': 5}
{'descr': '感觉还好，一般吧。看起来是挺干净的，但是有些地方还有待加强。而且第二天预扣款用完还没结账的时候就不能用房间的电话了。。。', 'star': 5}
{'descr': '   房间很好, 很超值', 'star': 3}
{'descr': '我定的是百元房，价格实惠，环境一般，屋子够大。', 'star': 5}
{'descr': '地理位置很不错，就在大裤衩附近~~~边上还有一个家乐福。', 'star': 5}
{'descr': '朱月霞，环境还好，房间大小刚好，服务热情挺好的。', 'star': 3}
{'descr': '很方便快捷。还会订的。', 'star': 3}
{'descr': '酒店不错!服务很好!', 'star': 3}
{'descr': ',己入住，共订了三间房。汪乐江', 'star': 3}
{'descr': '交通很方面。很容易找到。卫生很干净的，下次还想在住这里。', 'star': 5}
{'descr': '价格比较有诱惑力，出行方便程度还可以，总体来说还不错！', 'star': 5}
{'descr': '挺好的。干净', 'star': 3}
{'descr': '不错！', 'star': 3}
{'descr': '.酒店服务差，而且房间卫生也不干净，卫生巾都还有', 'star': 3}
{'descr': '百元房非常实惠，连锁酒店服务没的说，房间很干净，设施齐全，位置也很好，出门就是公交站。酒店旁边就是家乐福超市，买东西非常方便', 'star': 5}
