{'短评内容': '很好，比超市便宜很多。', '短评打分': 5}
{'短评内容': '很安静，有早餐，不错。', '短评打分': 5}
{'短评内容': '环境很好，服务态度很好！', '短评打分': 5}
{'短评内容': '优点是房间大、床大；缺点是房间没有矿泉水，要打电话要，另外携程说是闪住可以免押金，酒店还是要先收押金。', '短评打分': 4}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错虽然晚点了但是房间还是留着给我了', '短评打分': 5}
{'短评内容': '没有吹风，其他都还好。', '短评打分': 5}
{'短评内容': '没有主动退押金不说，后来打电话到酒店，还说查不到我的入住信息，真是太坑了。', '短评打分': 1}
{'短评内容': '入住登记办了快一个小时，效率极低。十月中旬北京冻的要死，没有空调遥控器，找前台的时候被告知屋里的空调只能制冷，屋里取暖只能靠抖。没有电吹风，要用还得交一百块钱押金借一个，wifi卡的要命，基本只能看看网页，桌子擦的比较干净', '短评打分': 3}
{'短评内容': '酒店干净，早饭也不错，挨着龙城花园和八达岭高速，不算吵。以前住过，这次特意提前预约了想要的房号，酒店按照要求给保留了，很感谢。缺点是退房时不能开发票，说是要找携程开，前台解释说：“因为酒店没有收到钱，钱付给携程了”。以后还会在这里住，就是发票能在酒店直接开就好了。', '短评打分': 4}
{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '房间挺宽敞，两张床，睡着还行，床品有点旧。洗澡水不错，就是没有一次性拖鞋，只有塑料拖鞋，根本 不敢用。', '短评打分': 5}
{'短评内容': '房间不错，          ', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '近华北电力学校，方便，不错的选择', '短评打分': 4}
{'短评内容': '总体比较普通，只是离三一北京产业园比较近。', '短评打分': 3}
{'短评内容': '离公司产业园近，但是整体设施和服务水平一般。', '短评打分': 3}
{'短评内容': '位置还不错，很好找，外部环境也不错，和小区一样，安静，屋里的环境不是很干净，而且还没有无线，现在没无线的酒店少了，其他的还不错。但是总有人开着门吸烟，导致楼道里总有烟味。', '短评打分': 4}
{'短评内容': '环境好，屋里暖和 干净卫生。早餐也挺好的。', '短评打分': 5}
{'短评内容': '院子环境优雅 房间大，早餐有我爱吃的混沌和面条，很好找就在京藏高速的西边。', '短评打分': 5}
{'短评内容': '房间很大，有两个卧室，一个大床一个小床，还有个客厅，相当宽敞', '短评打分': 5}
{'短评内容': '豪华大床，地毯太脏，蚊子大量，只住一夜，赶紧逃走。不像速8的管理啊', '短评打分': 3}
{'短评内容': '昌平龙城速8酒店与其它便捷店比够大，但已陈旧特别卫生间冲凉太简陋！无法忍受！另蚊虫较多，希望今后改进。', '短评打分': 3}
{'短评内容': '十龙城速8酒店挺安静的，办事人员工作挺利索的。', '短评打分': 3}
{'短评内容': '房间非常大，性价比很高，就是服务员相应速度比较慢，不过能理解，因为院子实在是比较大', '短评打分': 5}
{'短评内容': '酒店离华电很近，房间比较大。已经是第二次入住。', '短评打分': 5}
{'短评内容': '面积很大很实惠', '短评打分': 3}
{'短评内容': '实惠  优质  服务态度也很好 有家的感觉  常去速8   支持它 希望大家也多去哈', '短评打分': 5}
{'短评内容': '入住感觉很舒服，房间和整个酒店的设施都很完善，很好的酒店。', '短评打分': 5}
{'短评内容': '房间面积较大，但是设施较为陈旧！在附近的酒店里还是不错的！', '短评打分': 5}
{'短评内容': '居民小区改造的，相对于周围酒店来说价格还行，但总体来说性价比没有经济酒店高啊', '短评打分': 5}
{'短评内容': '房间略显陈旧，还算干净，外部环境不错。', '短评打分': 3}
{'短评内容': '北京龙城速8酒店（原昌平龙城丽苑阳光北京龙城速8酒店（原昌平龙城丽苑阳光北京龙城速8酒店（原昌平龙城丽苑阳光', '短评打分': 5}
{'短评内容': '该酒店房间较大，服务一般，卫生尚可，价格合适', '短评打分': 5}
{'短评内容': '下午4点入住进了房间发现乱七八糟还没收拾，桌子什么的一层灰，马桶是坏的，个人感觉310的性价比很低', '短评打分': 1}
