{'descr': '不错，比较方便', 'star': 5}
{'descr': '好！！！！！', 'star': 5}
{'descr': '很一般！', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '一般，空调不热', 'star': 4}
{'descr': '还不错，就是比较难找到。', 'star': 4}
{'descr': '总体感觉还不错', 'star': 5}
{'descr': '被携程协调过来的 离目的地比较远', 'star': 3}
{'descr': '还不错，挺方便', 'star': 5}
{'descr': '优静，舒适，宾至如旧，感觉很好。', 'star': 5}
{'descr': '环境比较安静，就是设施有些老旧了', 'star': 4}
{'descr': '环境服务都不错，设施有点旧了吧，不过也对得起这个价位了。', 'star': 4}
{'descr': '居住环境安静，交通非常方便，虽然硬件稍差，但便宜实惠。', 'star': 5}
{'descr': '宾馆条件一般，服务态度蛮好', 'star': 3}
{'descr': '环境不错，在小区里比较方便。价格也是最实惠的，有餐厅。短住半个月是个不错的选择。', 'star': 3}
{'descr': '还不错~环境好！安静！值得推荐！距离中日友好医院比较近！交通方便！好！', 'star': 5}
{'descr': '经常入住这里，价格较低，距离地铁站也很近，到煤科院或安标国家中心办事很近。', 'star': 5}
{'descr': '价格相对低一点，关键是到煤科院办事比较方便。', 'star': 5}
{'descr': '房间很旧，洗手间公用的，离地铁站也不是很近', 'star': 1}
{'descr': '随便住住。离轨道线有点距离，外出不是特别方便。', 'star': 1}
{'descr': '服务很好，环境也很安静，第一次去肯定不好找，以后熟悉了就好了。以后还会去住。', 'star': 5}
{'descr': '环境一般没有卫生间', 'star': 3}
{'descr': '很干净，位置不错，就是入口不好找！', 'star': 3}
{'descr': '离煤科院很近，办事方便，服务态度也还不错', 'star': 5}
{'descr': '比较经济型宾馆，距离中日友好医院相对比较近', 'star': 5}
{'descr': '太差了。太差了。太差了。太差了。太差了。太差了。', 'star': 1}
{'descr': '这个宾馆卫生比较差，入住以后灰尘太大，就像很久没有人住一样，住了一个晚上，就换到其他的宾馆去了。', 'star': 1}
{'descr': '对的起这个价，房间最好重新装修下。硬件设施有待提高，服务员还是很热情。', 'star': 5}
{'descr': '实在太偏僻了，找了半个小时，还跑小区里转一圈。住的附楼，隔音不好。没法再点评了。', 'star': 1}
{'descr': '在小区里,稍微有点不好找,但是非常安静,卫生也不错,总体还不错吧', 'star': 5}
{'descr': '供暖非常好\u3000继续努力吧', 'star': 3}
{'descr': '还不错吧', 'star': 3}
{'descr': '安静,但服务不好.但落脚还是不错的地方.而且便宜', 'star': 5}
{'descr': '    环境安静 价格合理 服务太差 一次性用品无', 'star': 1}
{'descr': '非常好的宾馆，住宿加餐饮加交通都非常划算', 'star': 5}
{'descr': '入住后与发现与网上照片有点不符，洗手间，洗澡间都是公用，而且热水供应只有一小时', 'star': 3}
{'descr': '酒店虽然不大，但很洁净，经济实惠，服务员很热情，交通比较方便。', 'star': 5}
{'descr': '环境好、服务态度好、只是不含早餐不太好。', 'star': 5}
{'descr': '从价格上来说真的挺可以的，开始觉得在居民区里有些难找，后来觉得挺安静的，前台很热情的给换了想要的房间，暖气也还足，上网会提供网线，我们房间热水是烧电的，结果一个人用完了另一个人就洗了冷水澡。。。因为事先不知道。。。早饭是自助，但是品种确实有些少了，4种小菜，4种馒头之类的，还有汤粥，味道还凑合吧，其他时间点菜的时候服务员不是很热情，可能是因为国营的吧。住了3天，第三天发现身上起了些小疹子，不知道是', 'star': 5}
{'descr': '跟网上的价格根本不一样，都不打折，还不如当天酒店的优惠价格实惠', 'star': 1}
{'descr': '环境还算是可以，比较经济卫生。比较适合来北京游玩的朋友住住，价格也合适，很实惠', 'star': 5}
{'descr': '这个价位来说还可以，周围环境很安静。', 'star': 3}
{'descr': '不错，性价比高', 'star': 3}
{'descr': '交通方便，很安静，价格也便宜。很不错，以后还会来。', 'star': 5}
{'descr': '酒店还不错，附近有地铁站，光熙门站地铁，交通很方便', 'star': 5}
{'descr': '宾馆是煤科院的宾馆，设施很不错。房间空间大，很舒适。地理位置也不错。还送早餐券，推荐选择此宾馆。', 'star': 5}
{'descr': '交通比较方便，距离13号线 5号线都不是很远， 性价比还可以，比较安全', 'star': 5}
