{'短评内容': '垃圾的一塌糊涂的酒店，和招待所没区别。设施陈旧破烂', '短评打分': 1}
{'短评内容': '名称令人幻想非常浪漫的国外风情感觉，整个园区也有此潜力。可惜只要一住进去房间，你就会后悔性价比一点也不值。整晚我们就在打蚊子的刺激环境中度过。电视是长虹的老机型，看到一半大概保险丝也烧断了，没的戏唱... 这个酒店看的出来酒店管理大有问题，易手或倒店应该只是时间的问题...', '短评打分': 1}
{'短评内容': '度假村外部环境不错。价格很合理。就是房间设备差了点，不过都还可以用，应该给个好评吧，逢周末或度假约上三五知己或家人去度个周末，甚是休闲，湖边垂钓，可以在别墅内简单烹调，别有一番情趣，不过得带上锅碗瓢盆哦，哈哈！！', '短评打分': 5}
{'短评内容': '因为是高尔夫度假酒店，环境一流，室外环境给予五星级评价。室内尚可，给予三星级的评价。适合家庭度假、打高球或进行高球练习。', '短评打分': 5}
{'短评内容': '此度假村风景秀丽但管理不力，用物业管理公司来管理酒店还是第一次遇见。可能是客流较少，效益较差，设备坏了也不维修，淋浴龙头的水小得可怜！但餐饮消费如五星级酒店，一碗咸菜肉丝面要四十多元！', '短评打分': 1}
{'短评内容': '整个酒店地方很大，从前台去驻地开车也需几分钟，环境很好，近湖。房间内部装修确实不好说好，空调可以的，一部分房间无线上网也可以的。', '短评打分': 5}
{'短评内容': '度假村的环境还不错，但没有很好的利用起来，感觉空荡荡的。房间有点陈旧，但还是对得起这个价钱的，适合家庭自驾旅游。夏天，蚊虫较多，空调开了就没什么蚊虫了。', '短评打分': 5}
{'短评内容': '性价比很好，特别适合举家旅行的。离螃蟹市场及饭店什么的都很近', '短评打分': 5}
{'短评内容': '酒店的位置有点难找路标不多找的很长时间，里面环境还行房间挺大的设施卫生都很好，管理方面还是一般，价格还算适中也能适中。', '短评打分': 5}
{'短评内容': '环境幽静，房间够大，设施陈旧，卫生一般，如果是去平常阳澄湖大闸蟹，此处落脚就非常方便，如果是度假，不推荐', '短评打分': 1}
{'短评内容': '小别墅形式的，房间都很大，设施也齐全，早餐也不错。', '短评打分': 5}
{'短评内容': '很适合度假人士，有个高尔夫场，环境也不错，还有个大湖泊，饭菜做得也挺可口的。', '短评打分': 5}
{'短评内容': '酒店离景区挺近，游玩挺方便，离火车站也挺近，赶火车也可以。', '短评打分': 5}
{'短评内容': '环境挺优雅，服务人员态度挺好，有个高尔夫球场，有空打打球也很不错。', '短评打分': 5}
{'短评内容': '位置还行，周边有两个大商场，购物很方便，房间挺宽敞挺舒适。', '短评打分': 5}
{'短评内容': '酒店干净，服务热情，环境幽静，就是厨房应放置厨具，就方便了。', '短评打分': 3}
{'短评内容': '＋很好', '短评打分': 5}
{'短评内容': '这家酒店整体感觉不错，吃住行都挺方便，价格也比较合适。', '短评打分': 5}
{'短评内容': '安靜啊 非常喜歡 室外就是一片綠野 但是酒店標示做的很差 找了一個多小時 雨天啊 服務人員更是像幽靈一樣躲起來找不著 可惜 但是 環境真的好啊', '短评打分': 3}
{'短评内容': '热水要提前预定才能使用；早餐实在是不能恭维。可能是淡季缘故。', '短评打分': 1}
{'短评内容': '房間很大 很舒適 但是前台發給的位置說明書卻令人丈二金剛摸不著頭緒 找不到位置 很適合休閒 心曠神怡呢', '短评打分': 5}
{'短评内容': '很適合度假，但是交通不是很方便， 附近買不到東西, 且晚餐常吃不到, 因為餐廳是屬高球場的, 人少就不營業了.', '短评打分': 3}
{'短评内容': '环境很好，装修也很时尚，非常适合度假，但服务质量一般，四周没有什么店可以买东西。', '短评打分': 5}
