{'短评内容': '早餐还不错！工作人员热情！', '短评打分': 5}
{'短评内容': '除了地点其他一般', '短评打分': 3}
{'短评内容': '位置比较好找，附近买东西也比较方便。景色不错。', '短评打分': 4}
{'短评内容': '服务好 好好', '短评打分': 5}
{'短评内容': '没有什么服务，房价设计不合理，总体勉强及格，套房内房间还是显像管电视，因为电视和床距离太远在床上电视是看不清的，在床上看不清', '短评打分': 4}
{'短评内容': '差评，我定完房间了，都快到了，京东给我打电话告诉我装修，然后我刚才路过的时候根本没有装修，根本就是骗人，我现在十分想说脏话！', '短评打分': 1}
{'短评内容': '经济实惠，下次还会惠顾', '短评打分': 5}
{'短评内容': '室内装修有档次，服务态度很好，价格实惠，京东下单，还含双早。', '短评打分': 5}
{'短评内容': '超好', '短评打分': 5}
{'短评内容': '很好，不错！', '短评打分': 5}
{'短评内容': '哎', '短评打分': 2}
{'短评内容': '这是最不像假日酒店的酒店', '短评打分': 3}
{'短评内容': '房间老了点，其他都还好', '短评打分': 5}
{'短评内容': '房间超大，挨着江边，对面是玉皇山，是也很好，性价比强', '短评打分': 5}
{'短评内容': '不具备四星级标准', '短评打分': 3}
{'短评内容': '不具备四星级酒店条件，设施及管理都不够', '短评打分': 3}
{'短评内容': '应重新装修，加强规范管理，已不符合四星级酒店标准，当地旅游部门应给予摘牌。位置不错，周边环境不错。', '短评打分': 3}
{'短评内容': '太差了', '短评打分': 3}
{'短评内容': '酒店不错，住的很舒服', '短评打分': 3}
{'短评内容': '房间够大，明显装修过，但是墙纸不太给力。床还行，挺舒服。早餐没吃。距离玉皇山很近，晚上可以在河边散散步，挺好。', '短评打分': 5}
{'短评内容': '环境优雅，卫生整洁，适合出差和商旅之用，下次出差还有选择这家酒店', '短评打分': 5}
{'短评内容': ' 酒店出行很方便', '短评打分': 3}
{'短评内容': '到了通化就住这个吧 感觉还可以！如果前台服务的态度能好点就好了', '短评打分': 5}
{'短评内容': '匆匆入住，感觉暖气不给力，浴室下水慢，其他的还好吧', '短评打分': 5}
{'短评内容': '酒店的空调简直就是轰鸣声，换了两次房间还是一样，冷的要命。楼下的餐厅不是给人服务的吧，态度还能再不好点么？还四星级呢，下次绝不会再住了。', '短评打分': 1}
{'短评内容': '号称通化市区最好的酒店，谁住谁知道。谁住谁知道。', '短评打分': 5}
{'短评内容': '临江的房间很大、很好，景色也很好，就是有一层钢网，影响了江景。', '短评打分': 5}
{'短评内容': '声明：这是本人字数最多的一次点评：实事求是说这个已经是通化市区唯一一家可以住的宾馆了，但条件一般，设施陈旧。挂着4星，服务3星不到，房间里的插板可以称得上是“文物”。到的时候应该算黄金时间吧，但前台就一人。此MM做事情算积极但没有分主次，开个房间等她接个电话十几分钟（退房时2人一起服务，较快）。各个楼层地毯上铺有报纸、条幅，五花八门，房间的门还锁不紧一直喜欢报警。朋友劝我锦江之星开业后，让我到通化', '短评打分': 5}
{'短评内容': '住过好多次了，电梯门口的地面还是水泥的，房间设施陈旧，洗手盆下面的柜角都烂了，中央空调噪音很大，房间不隔音，电梯坐起来忽忽悠悠的没注意有没有张贴检测卡，窗户外面还安装的霓虹灯，市区内除了经济型酒店是在没有什么更好的选择！', '短评打分': 5}
{'短评内容': '此酒店在当地算是比较好的酒店了，房间比较宽敞，卫生搞的也比较好。但属于较老酒店，设备陈旧些，地毯有点脏。', '短评打分': 5}
{'短评内容': '在通化也就只能住这个酒店了 房间很大 也很干净', '短评打分': 5}
{'短评内容': '地理位置好，酒店设施齐全，吃住都很舒适，是通化当地比较知名的酒店之一。', '短评打分': 5}
{'短评内容': '条件不错，房间很大，豪华房，意外的是个大床，以为是标间呢！', '短评打分': 5}
{'短评内容': '最多三星', '短评打分': 3}
