{'短评内容': '早餐丰富，位置好，服务好', '短评打分': 5}
{'短评内容': '价格美丽，酒店位置好，早餐丰富', '短评打分': 5}
{'短评内容': '出差，位置好，万达广场。', '短评打分': 5}
{'短评内容': '赶上特价房，超级便宜，赞', '短评打分': 5}
{'短评内容': '内装和房间设备非常老旧了    贵在地理位置不错    万达很近 就餐方便', '短评打分': 4}
{'短评内容': '房间温度不是很高，后半夜稍微有些凉，床头没有设计灯开关和手机充电口所以很不方便', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，很好，位置很好。', '短评打分': 4}
{'短评内容': '位置不错，旁边是万达广场,出差，旅游，商务的好去处。对面是9号宾馆的草坪和广场，空气很好，适合饭后消食。房间干净整洁，服务不错，早餐很有北方特色。交通方便。服务和卫生还不错，设施老了，早餐很丰盛，尤其喜欢吃肉的朋友，早餐有培根，香肠，冷菜和热菜都很多。', '短评打分': 4}
{'短评内容': '位置不错，旁边是万达广场,出差，旅游，商务的好去处。对面是9号宾馆的草坪和广场，空气很好，适合饭后消食。房间干净整洁，服务不错，早餐很有北方特色。交通方便。服务和卫生还不错，设施老了，早餐很丰盛，尤其喜欢吃肉的朋友，早餐有培根，香肠，冷菜和热菜都很多。', '短评打分': 4}
{'短评内容': '设施陈旧', '短评打分': 5}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '不适合商务出差，屋子太老了，屋内挺干净，但卫生间真的受不了了', '短评打分': 4}
{'短评内容': '酒店还不错，大庆来说，算好的了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '各方面都很好，以后还会住宿在这个酒店，也推荐其他朋友来住！', '短评打分': 5}
{'短评内容': '酒店设施太旧，价格比较高，感觉不值，前台办理入住手续超慢！', '短评打分': 1}
{'短评内容': '酒店设施陈旧，前台服务速度太慢！', '短评打分': 3}
{'短评内容': '很不错啊，房间还是很干净很整洁的。下次还会住的吧。', '短评打分': 5}
{'短评内容': '设施陈旧,如果有其他选择的话,不会住这家', '短评打分': 1}
{'短评内容': '老宾馆，虽挂着四星，但估计是八十年代评的，设施基本没有更新，在这个时代已明显落后，但还有点名气，周边又没有象点样的宾馆，所以还是选择住这里了。', '短评打分': 1}
{'短评内容': '地理位置很好，但是，因为是老的酒店设施很陈旧，总体来讲，很是不错的。', '短评打分': 5}
{'短评内容': '酒店还可以，只是早点有点贵，交通很方便，服务还不错，下次去还会选择的。', '短评打分': 5}
{'短评内容': '交通很方便，环境不错，只是吃饭有些贵，酒店装修很好，以后会向朋友推荐。在大庆是不错的酒店。', '短评打分': 5}
{'短评内容': '交通很方便，环境不错，只是吃饭有些贵，酒店装修很好，以后会向朋友推荐。', '短评打分': 5}
{'短评内容': '    新装修的房间不错，面积虽不大但隔音好，边上新开商场方便，最值得推荐就是隔音和地段，', '短评打分': 3}
{'短评内容': '一塌糊涂，除了名字还正规点，连98元一天的联锁都不如', '短评打分': 1}
{'短评内容': '相当于四星标准建筑，服务不错，有很大的停车场。', '短评打分': 5}
{'短评内容': '酒店比较陈旧，床非常小，房间很冷，感冒了', '短评打分': 5}
{'短评内容': '整体看还不错，地理位置可以，就是设施有点旧，希望重装后更好', '短评打分': 5}
{'短评内容': '环境还可以，实施有点不够现代，一般吧。最好重新装修一下', '短评打分': 5}
{'短评内容': '360元的价位的房子，里面装修不知道是那个年代的，各种设施陈旧。\n另外墙上的插头都基本无法使用，磨损的厉害，接触不良，手机充电都难。\n网线很短，笔记本得歪者用，非常的不方便。\n', '短评打分': 1}
{'短评内容': '行政套房里面的设施一般\n里面没有什么东西，冰箱里空空的，想找点东西吃都没有。\n房价明显偏贵\n', '短评打分': 1}
{'短评内容': '主要是能够返现金，说实话，服务和实施的确一般', '短评打分': 5}
{'短评内容': '比较老，而且要求十二点前退房，我觉得真不够他的星级，应该降级了！', '短评打分': 1}
{'短评内容': '酒店服务很差。刷信用卡做预授权，等结账时前台告知把预授权单丢了！这都属于客人隐私权的东西，酒店竟然如此轻视！！！这种酒店你住了就会后悔！！！以后绝对不会入住！！！房间网速很满，床很硬，睡得腰疼！', '短评打分': 1}
{'短评内容': '徒有虚名，房间设施陈旧，卫生间不舒服，性价比不好。', '短评打分': 1}
{'短评内容': '比较安静，环境也可以，就是设施老了点。服务也一般', '短评打分': 5}
{'短评内容': '地理位置不错，交通便捷，服务优质，就是软件落后点。', '短评打分': 5}
{'短评内容': '国有宾馆气氛浓重，房间装修不错，吃饭时候餐厅的包厢爆满，只能叫餐到房间了。大庆的门面，确实还不错。如果设施能够更新就更好了。', '短评打分': 5}
{'短评内容': '太老了，设施很陈旧，都不敢洗澡了。什么地毯啊 还不如去了得了呢！', '短评打分': 1}
{'短评内容': '此酒店位置好，房间设施还不错，但就是上网速度太慢。服务还不错。下次还会入住。', '短评打分': 5}
{'短评内容': '一般，早餐差', '短评打分': 3}
{'短评内容': '酒店很漂亮，大堂也气派，早餐比较丰富，缺点是标间的床小了点', '短评打分': 5}
{'短评内容': '我住的是标准间，如果和当今新开的一些经济型酒店相比，有些设备和卫生间内的设施相比之下会有些陈旧，室内有种压抑感。但是在卫生清洁方面还是很不错的。如果比较倾向于卫生和服务的朋友可以多考虑。', '短评打分': 5}
{'短评内容': '不怎么样，很贵!', '短评打分': 3}
{'短评内容': '比较干净', '短评打分': 3}
{'短评内容': '连续住了一个礼拜，可想而知我对大庆宾馆的态度。', '短评打分': 5}
{'短评内容': '条件过得去，交通方便，感觉安全，下次还会入住。', '短评打分': 5}
{'短评内容': '设施相当陈旧，目前交通也非常不便。\n旁边万达广场建好后，问题估计可以缓解。', '短评打分': 1}
