{'短评内容': '一般般吧。', '短评打分': 4}
{'短评内容': '每次过来出差都住这里，卫生干净，交通方便', '短评打分': 4}
{'短评内容': '房间还行、交通方便，环境可以', '短评打分': 5}
{'短评内容': '店的位置较好', '短评打分': 4}
{'短评内容': '房间干净，宽敞，服务态度好！', '短评打分': 4}
{'短评内容': '酒店的位置很好，交通非常的便利，每次到杭州出差都会选择该酒店，离办事的地点非常近，就是价格越来越高了哟，下次来还会选该酒店。', '短评打分': 5}
{'短评内容': '酒店的位置很好，交通非常的便利，每次到杭州出差都会选择该酒店，离办事的地点非常近，就是价格越来越高了哟，下次来还会选该酒店。', '短评打分': 5}
{'短评内容': '不错的房间。', '短评打分': 5}
{'短评内容': '看展览入住的酒店 交通方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '更方便', '短评打分': 5}
{'短评内容': '九堡也就这地方还能住一下了，也就这样', '短评打分': 4}
{'短评内容': '九堡附近也就这家酒店还能住一下了，还不错', '短评打分': 4}
{'短评内容': '又是入住该酒店了，呵呵九堡附近还真的没有太多酒店选择了，每次都只能选择入住该酒店，房间很大，总体很满意！', '短评打分': 5}
{'短评内容': '不错，前台服务有待提高；由于酒店位于KTV上面，乘电梯的人员还是很复杂的。酒店房间都很大气，希望洗漱用品可以再好一点，没有冰箱有点遗憾。', '短评打分': 4}
{'短评内容': '前台服务比较差，很慢，并且没有问候语。进入房间后心情豁然开朗，房间很大，有会客区，有休息区，很方便。没有浴缸，没有润肤乳，没有冰箱，其他都还不错。边上就是一号线，出行也方便。', '短评打分': 4}
{'短评内容': '酒店环境没得说的，早餐没去吃，不知道好不好.', '短评打分': 5}
{'短评内容': '房间装修不错 隔音效果也蛮好的 唯一的缺点就是正午12之前要退房！现在饭店业好像有规定一般最迟可以到下午两点退房的。以前住过的很多酒店也都可以。唯独这家不行。有点失望。', '短评打分': 5}
{'短评内容': '网速太慢 噪音太重  早饭太差  环境还好', '短评打分': 5}
{'短评内容': '酒店看上去比较新，大堂和楼道的感觉较好，房间内还可以，挺干净的，位置较偏--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '房间超大，设施新；近新汽车东站，交通方便；远离城中喧哗，能从周围体会到江南风格。大堂小，早餐品种少，网速不稳定。', '短评打分': 3}
{'短评内容': '房间大，装修好，离汽车站非常近，去市区可以很快上城市快速道。', '短评打分': 5}
{'短评内容': '服务有些疏忽！', '短评打分': 3}
{'短评内容': '酒店新，硬件不错，离九堡客运中心超近，下次如果有需要，还会再住', '短评打分': 5}
{'短评内容': '蛮干净的、房间床也蛮大的、很舒服、浴缸也有、浴室很大、不错的！', '短评打分': 3}
{'短评内容': '干净，下次还会再去。。交通又方便。是个不错的酒店。。房间也大', '短评打分': 5}
{'短评内容': '相当好的一家酒店~赞~~~~~~~~~下回去杭州还住那', '短评打分': 5}
{'短评内容': '房间挺大，隔音也不错，硬件设施都很完美，就是服务一般，居然都不能刷卡的', '短评打分': 5}
{'短评内容': '住的大床房,感觉酒店很干净,空间也比较大,内部设计的档次也比较高,就是离西湖风景区有点远.总的来说很好.........', '短评打分': 5}
{'短评内容': '新开酒店，设施还可以，房间大。\n就是水压有问题，洗个澡水忽冷忽热冰火几重天有点受不了！\n是楼层的原因吗，那天住的是12层。', '短评打分': 5}
