{'descr': '什么垃圾地方，千万别来住，房间服务那都差', 'star': 3}
{'descr': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', 'star': 5}
{'descr': '擦擦擦路了把这个月', 'star': 5}
{'descr': '由于价格问题房间没有窗户', 'star': 4}
{'descr': '总体还行', 'star': 4}
{'descr': '又小又吵 隔音不好 地方虽然方便但有点偏 夜晚回去需要注意安全 因为价格相对来说较低入住 ', 'star': 3}
{'descr': '一般，没窗就算了，关键是排风扇声音好大', 'star': 3}
{'descr': '挺方便的，设施一般，能接受', 'star': 4}
{'descr': '安排房间属于隔断的那种 不隔音 暗格。当时选择完全是因为距离考场比较近，价格便宜。但当我到的时候发现并不是那么回事。还好只凑了一晚 早起就出门考试了。', 'star': 5}
{'descr': '每次到唐山都住这里，很好', 'star': 5}
{'descr': '房间比较小，没有暖气，交通还是很方便', 'star': 3}
{'descr': '还可以吧 哈哈哈哈', 'star': 5}
{'descr': '还是很不错的。哈哈哈', 'star': 5}
{'descr': '还是很不错的 哈哈哈哈', 'star': 5}
{'descr': '吃饭，交通都很方便，价格合适，下次还会选择入住', 'star': 3}
{'descr': '酒店不错卫生条件也不错，前台服务也不错就是酒店隔音稍微差了点。', 'star': 5}
{'descr': '很好，交通方便', 'star': 3}
{'descr': '很干净，价格便宜。', 'star': 3}
{'descr': '宾馆不错，发票是手撕的，服务员很好，就是隔音有一点不好，但是不影响睡觉，总体来说还是不错的，下次还会住', 'star': 5}
{'descr': '非常经济，几乎每次去唐山都住的柠檬连锁的酒店，环境一般，但是价位很诱人。', 'star': 5}
{'descr': '房间不小，挺干净的，服务挺好的，热水挺方便的就是得等会，总体挺满意的。', 'star': 5}
{'descr': '第二次入住了，感觉还不错，在唐山这个价格有诱惑力。一分钱一分货吧，肯定比不上其他快捷酒店了。', 'star': 5}
{'descr': '设施比较旧，网速快，服务员态度热情，因修路现在没有从唐山火车站的直达公交车，需要转车才能到达！', 'star': 5}
{'descr': '感觉挺干净，就是排风扇的噪声大，再有不能用信用卡结账,如果能用信用卡结账，我想我还是会住这个酒店', 'star': 5}
{'descr': '第二次入住在三楼感觉比一楼房间好些，其它的没变就是网上订的比会员价贵些（20元）。', 'star': 5}
{'descr': '第二次入住在三楼感觉比一楼房间好些，其它的没变就是网上订的比会员价贵些（20元）。', 'star': 5}
{'descr': '房间比较干净，经济实惠！', 'star': 3}
{'descr': '价格还是比较便宜的，就是房间有味道，窗户很小，隔音效果特别差', 'star': 5}
{'descr': '房间小 没有窗 很闷 排风扇很响 没地方停车 唐山住宿真贵', 'star': 5}
