{'短评内容': '挺好的地方，干净整洁非常棒', '短评打分': 5}
{'短评内容': '很不错的酒店，全新服务好咯', '短评打分': 5}
{'短评内容': '不错不错不错不错', '短评打分': 5}
{'短评内容': '同样的房型，从1楼换到3楼（号称5层，其实总楼层才4层，电梯标注有7层），一个晚上居然要加价80元，黑心啊！', '短评打分': 2}
{'短评内容': '房间很不错，虽然是新装修的，但是没有刚刚装修过的气味。双床房是1.2米的床，很舒服。早餐很丰盛。唯一的缺点就是洗手池和水龙头不大合适，洗手时水很容易溅到水龙头后面缝里。', '短评打分': 5}
{'短评内容': '酒店环境优美位于须江边，邻须江公园。步行可至江边和公园，过城中桥可达江山市中心。酒店房间干净整洁，安静，早餐丰富。离江山站车程十五分钟，出行方便。前台妹妹黎云霞态度热情，笑容甜美，给一个赞。', '短评打分': 5}
{'短评内容': '交通方便，临江而居，尤其是酒店前台黎云霞小姐非常的nice，热情大方。', '短评打分': 5}
{'短评内容': '好酒店', '短评打分': 5}
{'短评内容': '房间够大  周边环境好  就是装修有点老了 性价比还算合适吧', '短评打分': 4}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '酒店交通非常方便，旁边也有很多餐饮。就是装修设施有点老了，里面的装修有点陈旧。服务方面也还要提高。下次入住还会考虑', '短评打分': 4}
{'短评内容': '周边坏境很不错 就在江边。停车也方便 这价格还算合理。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '酒店环境还行，服务也很到位，交通也方便，整体还不错！', '短评打分': 5}
{'短评内容': 'Nice hotel and good location. Recommending for a all type of visit to Jiangshan.', '短评打分': 5}
{'短评内容': '第一次来衢州，朋友介绍到江山国际大酒店，环境感觉还可以，设施也够齐全的，值得入住。', '短评打分': 5}
{'短评内容': '酒店位置不错，房间装修有些老了，早餐品种不多，不过在江山还算可以了，去了几次都住那儿。服务态度不错的。', '短评打分': 4}
{'短评内容': '在江山这小城市里, 条件和环境很不错了.', '短评打分': 5}
{'短评内容': '在江山来说，服务、设施、环境暂时最好了，下次还住', '短评打分': 5}
{'短评内容': '挂着5星，里面设施和早饭都差的太多了。而且酒店在的位置出租车司机都不愿意过去', '短评打分': 1}
{'短评内容': '作为江山最好的酒店，工作人员态度不是很好。床特别硬。偏贵。', '短评打分': 1}
{'短评内容': '不知道为什么有那么多人说这个酒店好，我住了一晚，感受如下：酒店的隔音实在太差，早上6点多就被外面走廊上的热闹给叫醒，最搞笑的是酒店服务员来敲门：\n“你好，服务员”。\n“请问有什么事”没有回答，听见的是：服务员跑开了，边跑边叫：xx,你弄错了，房间里有人在睡觉。晕死，大清早诶\n徒有虚名的酒店，还江山最好的酒店，真不知道江山市政府是如何招待那些领导的', '短评打分': 1}
{'短评内容': ' 还不错的酒店。', '短评打分': 3}
{'短评内容': '客房非常不错，服务也走到，就是餐厅厨师水平一般', '短评打分': 5}
{'短评内容': '酒店环境很好，下次还会去。', '短评打分': 3}
{'短评内容': '只能算一般吧。房间面积很大，设施非常普通，服务也一般。', '短评打分': 1}
{'短评内容': '江山最好的酒店了，都还不错。没别的选择，除非住到衢州，也查不太多。。。。。。。。。。要50个字真麻烦。。。\n', '短评打分': 5}
{'短评内容': '房间很大，江景也很不错。下次来还会入住。', '短评打分': 5}
{'短评内容': '该酒店为四星级酒店，从入住到离店，除了入住登记和离店结账没和酒店工作人员打过交道，服务上不做评价。酒店的地理位置和大堂堪称四星酒店，窗外就是江景。我住的是400多的单间，房间空间较大，硬件方面和那些150~200的酒店没啥区别，沙发上还有好几个烟头烫的洞，装修风格也属于比较大众化的那种。如果你不是公费的或是特有钱的，还是不建议，感觉性价比不高。', '短评打分': 1}
{'短评内容': '酒店房间,卫生间比想象中的要大,提供的早餐也蛮丰富,特别西点味道很浓郁.还有酸奶是我喜欢的光明.房间烧水处有玻璃搁板,被撞到几次.可以改进一下.', '短评打分': 5}
{'短评内容': '巳入住，还可以。', '短评打分': 3}
{'短评内容': '房间还可以只是送餐那边不太好,七点后就没有送餐的服务了。。', '短评打分': 5}
{'短评内容': '总体来说，还是不错的。价格合理，卫生蛮干净的，环境也不错的。', '短评打分': 5}
{'短评内容': '酒店位置不错，距离市中心蛮近的，周边交通出行很方便，房间空间到是蛮大的，房子设计的不错，比较古朴，周边环境很好，像个大花园，住宿条件不错', '短评打分': 5}
{'短评内容': '住宿环境很好，卫生条件不错，干净整洁，位置不错，对面是老虎山，旁边是须江，房间舒适度很不错', '短评打分': 5}
{'短评内容': '酒店地处闹市区，位置不错，周边环境很好，属于花园式的酒店，酒店前台服务员态度很好，周到热情，会主动帮我们拿行李，办理入住手续效率蛮快的', '短评打分': 5}
{'短评内容': '总体感觉酒店很不错，房间还是挺宽敞的，也挺大的，舒适度不错，周边交通出行方便，价格也还比较合理', '短评打分': 5}
{'短评内容': '酒店距离购物广场较近，走路15分钟左右，酒店在须江边上，在酒店一层可以看到江水，周边环境很好，酒店规模蛮大的，很宽敞，绿化做的很不错', '短评打分': 5}
{'短评内容': '床蛮大的，卫生条件还可以，房间采光很不错，酒店地处市中心，距离漓江边较近，环境不错，空气也很清新，交通出行比较方便', '短评打分': 5}
{'短评内容': '性价比很高的酒店，物超所值，房间卫生条件很好干净整洁，服务不错，住宿环境还是很好的', '短评打分': 5}
