{'短评内容': '令人失望啊', '短评打分': 3}
{'短评内容': '很干净的酒店，就是有点潮湿，不过这个价格的酒店就算实惠了。', '短评打分': 5}
{'短评内容': '电梯里面有股很怪的味道\n里面的服务员都还比较nice', '短评打分': 1}
{'短评内容': '酒店位置不错，就是设施稍微旧了点，住的房间没有向外的窗户，服务还不错。', '短评打分': 5}
{'短评内容': '设施较旧，房间烟味重。是连锁品牌，但是品质很一般，住过一次，以后也不会再选该品牌的酒店了。', '短评打分': 1}
{'短评内容': '我们单位员工出差都选这家酒店住宿，感觉都说不错的，继续支持', '短评打分': 5}
{'短评内容': '房间稍旧,但还算干净', '短评打分': 3}
{'短评内容': '酒店房间不错，设施比较新，服务员态度不错。但酒店外部环境不好，感觉到了一个大一点的镇子上，出租车很少，最后在手机上百度查，做公交走的，酒店也没有叫出租车的服务。\n另外，我是晚上10点到的火车站，发现青岛的出租车拒载很严重，说到这个酒店，基本上都说不顺路，不拉。给酒店打电话，酒店也没有办法。好不容易有一个出租车愿意去酒店。', '短评打分': 5}
{'短评内容': '一如既往的住这个酒店，又来定了，同事感觉也是不错的，哈哈哈', '短评打分': 5}
{'短评内容': '酒店很不错，服务也很好。', '短评打分': 3}
{'短评内容': '服务和房间不好。', '短评打分': 3}
{'短评内容': '环境好，服务员的态度温和，房间内干净整齐，感觉满意，这地方是出差的首选，经济实惠', '短评打分': 5}
{'短评内容': '很不错的酒店，硬件和服务在这个价位也属于满到位的了。', '短评打分': 5}
{'短评内容': '酒店很不错，很喜欢。虽然房间内还是有股刚装修的味道，但是整体是不错的。', '短评打分': 5}
{'短评内容': '一般化  价格偏高  性价比一般  以前的龙都饭店改的。。。', '短评打分': 1}
{'短评内容': '酒店环境优美。安静。房间舒适。推荐入住', '短评打分': 3}
{'短评内容': '员工到青岛出差，就选这家酒店，环境好，服务好，还要什么呢？', '短评打分': 5}
{'短评内容': '感觉还不错，服务人员训练有素。。在青岛这个价位算是合适的了', '短评打分': 5}
{'短评内容': '已经是第二次定这家酒店了，没得说，以后来青岛办事还是首选这家，经济实惠', '短评打分': 5}
{'短评内容': '酒店新，连锁店。新开业不久的。房间设施不错。价格也比较优惠。对住宿要求高或喜欢服务标准高的不太建议。', '短评打分': 5}
{'短评内容': '干净整洁是我的首选，所以选择这家，服务人员的服务我也很满意', '短评打分': 5}
{'短评内容': '环境舒适 比较不错 也很干净 推荐  TUIJIAN  TUIJIAN', '短评打分': 5}
{'短评内容': '很好，不错的酒店~价格和服务都很好。赞！', '短评打分': 3}
{'短评内容': '离青岛理工大学很近，非常好找，就是小卖部关门太早哈。', '短评打分': 5}
{'短评内容': '先住的一间卫生间顶部漏水 卫生也差点 然后换到楼上还行 ', '短评打分': 1}
{'短评内容': '环境不错，服务也很好，价格便宜，还会选择！', '短评打分': 3}
