{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '出乎想象中的好，给满分。', '短评打分': 5}
{'短评内容': '跑广马，位置离起点非常近，离地铁口也近，从终点很快就能回来。', '短评打分': 5}
{'短评内容': '挺好的！价格适中！', '短评打分': 4}
{'短评内容': '还不错，主要是离马拉松起点很近，大楼的土豪金有点晃眼睛', '短评打分': 5}
{'短评内容': '位置，高大上。', '短评打分': 5}
{'短评内容': '住着舒服，酒店很气派，卫生很好，很满意。', '短评打分': 5}
{'短评内容': '服务很好，准备下楼，13楼服务员（应该酒店给予奖励）热情打招呼，还小跑主动帮去按电梯，因为跑马拉松，延迟退房两次都帮安排，必须点赞。', '短评打分': 5}
{'短评内容': '很好，交通方便', '短评打分': 5}
{'短评内容': '地点在市中心，环境不错，周围吃饭便利，酒店早餐种类不多，但都很精致，下次还会住。', '短评打分': 5}
{'短评内容': 'hai keyi ', '短评打分': 4}
{'短评内容': 'hai keyi ', '短评打分': 4}
{'短评内容': 'hai keyi ', '短评打分': 4}
{'短评内容': '酒店就在天河北路上，是广州市最传统的CBD，周边小吃店很多，丰俭由人。房间干净，服务也不错。入住还有欢迎饮品。', '短评打分': 4}
{'短评内容': '离市中心近', '短评打分': 4}
{'短评内容': '地理位置确实没话说，左边步行1分钟就是地铁林和西A出口，马路对面的中石化大厦隔壁就是城建大厦，里面有几个国家签证中心，办签证的话这里居住是首选，房间虽然不高端，但整洁舒适，周边咖啡、餐饮、夜场都有，非常推荐！', '短评打分': 4}
{'短评内容': '交通非常便利，地铁林和西站一百多米就可以步行至酒店。周边吃的东西非常多，赞一个。', '短评打分': 4}
{'短评内容': '一如既往的好，下次继续', '短评打分': 5}
{'短评内容': '满意。', '短评打分': 5}
{'短评内容': '交通便利，周边饮食种类丰富，房间有点小。', '短评打分': 5}
{'短评内容': '住的很不错，环境也好，周围生活购物也很方便推荐', '短评打分': 5}
{'短评内容': '地势很方便，周也有方便的超市吃饭地方，很好', '短评打分': 5}
{'短评内容': '不错的酒店，交通也方面。唯一的就是我2个晚上是分开预订的，他们开始居然说找不到第二个晚上的订单。', '短评打分': 5}
{'短评内容': '有无烟房间，这个很好，但不供应早饭，感觉太不划算了。', '短评打分': 1}
{'短评内容': '环境好！服务也好！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '环境很不错！高档写字楼“中信广场”旁边，附近有很多快餐和餐饮！\n房间设施很一般，地毯很脏很旧！\n网速也一般，价钱还挺贵的！\n服务员态度还是不错的！', '短评打分': 1}
{'短评内容': '房间旧，霉味较重，服务还可以。', '短评打分': 3}
{'短评内容': '酒店物有所值，前台服务接近完美，让人心旷神怡，有归家感觉。\n若今后能加强早餐服务，则会吸引更多顾客。', '短评打分': 5}
{'短评内容': ' 房间很干净明亮，周围交通购物也很方便', '短评打分': 3}
{'短评内容': '电视太小。', '短评打分': 3}
{'短评内容': '地处繁华闹市，交通购物方便；装修相对陈旧，餐饮不错。', '短评打分': 5}
{'短评内容': '服务态度比较好，位置好，房间环境比较好。', '短评打分': 5}
{'短评内容': '停车要付一部分的费用，过夜基本要自己付30！！！！', '短评打分': 1}
{'短评内容': '预订的是豪华套房750的，这个价格不含早餐感觉说不太过去，但总体还是不错的。', '短评打分': 5}
{'短评内容': '除了外表很气派没优点 房间内不敢恭维 洁具不错就是卫生间太小 电视象70年代的招待所 居然还带个有门柜子 500元的价位还是差了很多', '短评打分': 1}
{'短评内容': '服务不错，地方很方便！！\n附近有很多shopping和吃饭的地方', '短评打分': 5}
{'短评内容': '地点非常好，在天河北中心位置，各方面都比较方便', '短评打分': 5}
{'短评内容': '非常好，地理位置极佳，套间设施也不错，仅有感觉客厅茶几稍小些。', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '\u3000房间干净\u3000工作人员很友好\u3000不过酒店内部装修和格局有点旧\u3000', '短评打分': 5}
{'短评内容': '交通方便 价格合适 环境还算不错', '短评打分': 5}
{'短评内容': '+服务态度超好，酒店卫生间比较小，适合出差住…', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '交通方便，比较容易找，价格公道，非常满意', '短评打分': 5}
{'短评内容': 'good.地方很好，很干净，交通也很方便。', '短评打分': 5}
{'短评内容': '地理位置优越,酒店服务态度良好', '短评打分': 3}
{'短评内容': '推荐,酒店管理水平比较高', '短评打分': 5}
{'短评内容': 'not bad', '短评打分': 5}
{'短评内容': '环境不错、地理位置不错、服务不错。可惜就是离机场好远，打的花了125元。', '短评打分': 5}
{'短评内容': '开始听朋友说这家酒店不错，标价要2000多，从这里订房才470块，觉得很物超所值。', '短评打分': 3}
{'短评内容': '总体性价比不错', '短评打分': 5}
{'短评内容': '套间只有一洗手间,一般酒店都会有两间.房间也嫌简陋,空间小.但价格适宜.', '短评打分': 5}
{'短评内容': '不错的酒店，推荐商旅入住。', '短评打分': 5}
{'短评内容': '位置不錯', '短评打分': 3}
{'短评内容': '位置方便,房間整潔\r\n唯獨是價錢昂貴少許', '短评打分': 5}
{'短评内容': '我订的是周末的套房,综合比较周边的同级酒店,套房价格还是很不错的.', '短评打分': 5}
{'短评内容': '餐饮和服务都不错', '短评打分': 5}
{'短评内容': '这家酒店各方面还都是非常满意的,性价比很高,很值得推荐的酒店.', '短评打分': 5}
{'短评内容': '酒店的服务环境很不错，价格便宜，区位很合适，交通便利。', '短评打分': 5}
{'短评内容': '\r\n忘却', '短评打分': 5}
