{'短评内容': '早餐一般般啦。离办事的地方近，所以没得选。', '短评打分': 4}
{'短评内容': '酒店比较老', '短评打分': 4}
{'短评内容': '一般，真的一般', '短评打分': 3}
{'短评内容': '酒店位置不错，离江边较近。早餐种类不多，但做工较好。房间宽敞明亮', '短评打分': 5}
{'短评内容': '他们家无线网不能用？如果你的流量不够的话，建议你还是不要住这家啦！对了，我今天换了一间房，结果地毯上都都是钉子！', '短评打分': 3}
{'短评内容': '还好吧，还比较干净，主要是交通方便', '短评打分': 5}
{'短评内容': '很好很好，物美价廉，哼哈快递费发', '短评打分': 5}
{'短评内容': '很好很好，物美价廉，很好的地方', '短评打分': 5}
{'短评内容': '不错，很满意。', '短评打分': 5}
{'短评内容': '地理位置优越，就在赛马场旁边，很方便。房门隔音效果不好，服务员在楼道大声讲话，有点吵。', '短评打分': 4}
{'短评内容': '一般，好陈旧', '短评打分': 3}
{'短评内容': '太旧了', '短评打分': 3}
{'短评内容': '岭南特色', '短评打分': 5}
{'短评内容': '饭菜好吃', '短评打分': 5}
{'短评内容': '不推荐', '短评打分': 2}
{'短评内容': '服务员很热情，走道太暗，早餐欠缺一点。', '短评打分': 4}
{'短评内容': '不值', '短评打分': 3}
{'短评内容': '酒店还是很不错的 连续三年来广州出差都住这里', '短评打分': 5}
{'短评内容': '很好，不错的。设施陈旧一些。主要是对我而言很方便。也很靠近地铁站。打出租车也很方便。 值得再次入住。', '短评打分': 4}
{'短评内容': '不错的酒店，地处珠江新城，地铁就在旁边，交通很方便，环境也不错', '短评打分': 5}
{'短评内容': '不错的酒店，房间很大，值得再次入住，要是再优惠些就更好了', '短评打分': 5}
{'短评内容': '超级烂酒店，环境差，脏，床硬，早餐更是烂！服务极差，差到极点！这样的酒店，还收这样价钱。。。谁住谁笨。', '短评打分': 1}
{'短评内容': '酒店不太好，服务也不行，地理位置也不行。到会展还要绕很大个圈才行，直线不远但车要绕很久，的士20多才行', '短评打分': 1}
{'短评内容': '交通不便，网路上不去，性价比不高，不易入住。', '短评打分': 1}
{'短评内容': '酒店位置很偏僻，床上用品类似招待所级别，很不舒服，装修档次很低，电梯很慢，服务很差，卫生条件也不好。。。。。。根本就不是五星级的档次，很差劲，很失望。。。', '短评打分': 1}
