{'短评内容': '房间有点小…', '短评打分': 3}
{'短评内容': '还不错，干净，整洁，服务态度好，妈妈第一次出远门住的这家店。', '短评打分': 5}
{'短评内容': '地點不在市中心,比較遠,因為打的去酒店,沒事,但是打出去,要找車,旁有酒家,還可以,只有這一家,', '短评打分': 5}
{'短评内容': '环境还不错，就是地方难找，而且楼上服务不好，要自己找房间。', '短评打分': 3}
{'短评内容': '装修很好，不错~！交通方便，服务十分周到', '短评打分': 5}
{'短评内容': '环境很不错，值得入住！顶一下！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '高英轩，徐献军，张宏亮411、418，', '短评打分': 3}
{'短评内容': '好～很好～环境还不错～交通还很便利～价钱还合理～上网订便宜好多～真的', '短评打分': 5}
{'短评内容': '还可以的，不过风筒开的时候好像有焦味，所以不怎么敢用', '短评打分': 5}
{'短评内容': '房间大，卫生也不错，执行延时退房（下午2点）。', '短评打分': 5}
{'短评内容': '还可以 但是卫生不很到位', '短评打分': 3}
{'短评内容': '性价比好.', '短评打分': 3}
{'短评内容': '没电脑，环境还可以。', '短评打分': 3}
{'短评内容': '酒店OK', '短评打分': 3}
{'短评内容': '环境还可以,服务也很好!', '短评打分': 3}
{'短评内容': '200元的价格让性价比下滑了，呵呵。\n\n不过服务还可以，房间过得去。网速比起以前慢了不少。。。。', '短评打分': 5}
{'短评内容': '除了有点潮，没什么不好的\n前台也比较客气', '短评打分': 5}
{'短评内容': '不错，房间比较干净，服务也不错，值得推荐', '短评打分': 5}
{'短评内容': '很好很舒服！就是地毯很旧，墙壁不干净！其他还可以！', '短评打分': 5}
{'短评内容': '服务不错！停车场停车很方便！性价比很高！', '短评打分': 5}
{'短评内容': '很不错的地方，屋子很干净，周边环境好~价格实惠，性价比很高!', '短评打分': 5}
{'短评内容': '第二次住了，环境很好，以后有机会还住。', '短评打分': 3}
{'短评内容': '刚开始以为是有电脑的，原来是没有的。只有宽带，郁闷。房间第一今次给我的感觉很小，但住了一个晚上后又觉得刚刚好哦！被子很舒服，我开了两间迷你小房间，嫂子住的是另外一间，她也觉得被子很舒服，还蛮推荐这酒店。酒店隔壁有一间喝茶点的，那里的东西很好吃哦！', '短评打分': 5}
{'短评内容': '酒店环境很好，房间很大，卫生间各方面都不错，就是价格比较贵，公司有报销的话在这里住还是不错的！', '短评打分': 3}
{'短评内容': '服务不错，停车场很好！就是地毯很旧，墙壁不干净。。。。\n\n楼下的饭店不错。。。', '短评打分': 5}
{'短评内容': '性价比不错哦！很干净，整洁，安静。可以推荐', '短评打分': 5}
{'短评内容': '多次入住，一切都还可以，服务不错。这个价位的房间还是推荐的！', '短评打分': 5}
{'短评内容': '再次入住了，服务还可以。设施齐全。\n\n就是墙壁很脏，地毯很旧，看上去也很脏。。。。\n\n希望酒店在不久的将来可以重新装修！这样的话性价比会更高！', '短评打分': 5}
{'短评内容': '还不错的酒店！就是迷你房他有点小!旁边的茶馆也不错！', '短评打分': 5}
{'短评内容': '性价比高。环境可以。交通还方便。\n比较卫生。\n附近没有餐馆吃饭。', '短评打分': 5}
{'短评内容': '帮朋友预订的，反馈说还行\n地方环境什么的都也可以', '短评打分': 5}
