{'短评内容': '不错的体验', '短评打分': 4}
{'短评内容': '酒店有点陈旧，房内部分设施功能已经失去使用价值。卫生条件尚能接受。希望酒店在硬件改造和软件服务方面有所改进，总体还算满意！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '酒店周围环境还不错，车位也好停车，房间内部也还可以，好评吧', '短评打分': 4}
{'短评内容': '位置很好，卫生可以，继续保持。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '环境不错，比较安静，性价比高', '短评打分': 5}
{'短评内容': '环境还可以，空间大设施比较齐全', '短评打分': 3}
{'短评内容': '环境不错，设施齐全，服务友好', '短评打分': 4}
{'短评内容': '酒店还是很不错的，环境挺好的，周边吃的、玩的都非常方便。', '短评打分': 5}
{'短评内容': '物有所值.一分钱一分货 推荐', '短评打分': 3}
{'短评内容': '物有所值 中心地带 值得相传', '短评打分': 3}
{'短评内容': '这个地方吃饭倒是比较方便，交通也很便利，我们是春节去的，一直忘记点评了。在这住了三晚，价格也不高！就是向我们收什么政府基金挺讨厌的，不是挺讨厌，是真特么的讨厌！问前台，前台也解释不明白为什么收！就是说政府收！我真是第一次遇到这种情况！还有啊，喃能能不吹？我怎么就没看见你们酒店有游泳池呢？败糊弄人了！服务效率超级低啊~我们在前台办手续得有半个多小时~', '短评打分': 1}
{'短评内容': '酒店设施很一般，只住了一晚，明显不值这个价，不推荐', '短评打分': 1}
{'短评内容': '服务一般，入住的时候还遇到了一点小波折，后来解决了。不过饮食、出行都很方便， 还是值得推荐的。', '短评打分': 5}
{'短评内容': '酒店环境还可以。', '短评打分': 3}
{'短评内容': '住了4晩，房间相对干净宽大，只是前台工作人员一多半像是实习生，退房时让我等了27分钟才查完房，我起了个大早为赶车，结果又把时间达在这，气愤！', '短评打分': 1}
{'短评内容': '这家酒店其它方面都还满意，就是酒店所处的位置不太方便，如果自己没有车，那边打车很困难，出行很麻烦，最近一个公交站点比较远，而且多数景点都不到。\n我订的三人间，房间还是挺大的，服务也还行，旁边去吃海鲜也挺好。楼下的平价超市，买特产比超市还便宜。\n房间挺干净的。', '短评打分': 5}
{'短评内容': '宾馆很好。下次还会选择！...........................', '短评打分': 5}
{'短评内容': '已经第二次入住春节三亚酒店都涨价了，真的是没道理可讲。但酒店交通很方便，楼下就是吃海鲜的一条街。紧临明珠广场。', '短评打分': 3}
{'短评内容': '就在市中心,出门很方便,附近吃饭的地方不少,唯一的不足就是不能上网.', '短评打分': 5}
{'短评内容': '房间为一室一厅一卫，价位适中，位置优越，交通方便，巿井䌓花，是不错的选择。', '短评打分': 5}
{'短评内容': '房间太差、不值得。', '短评打分': 3}
{'短评内容': '在市区内，交通方便，房间挺大，干净卫生。', '短评打分': 5}
{'短评内容': '位置好，吃玩购物放便！房间干净，下次再来会选择这店', '短评打分': 5}
{'短评内容': '酒店很干净,出行方便', '短评打分': 3}
{'短评内容': '总体来说还可以,在市区,交通方便.设施有些陈旧,但是还算干净卫生.三亚的房这种价位来说,算是可以了.', '短评打分': 5}
{'短评内容': ' 设施陈旧，前台素质一般，有的比销售经理还要凶，房间网线固定在墙上30㎝都不到，以后再住要慎重', '短评打分': 3}
{'短评内容': '房间蛮大的，隔音效果挺好，晚上休息的不错。', '短评打分': 5}
{'短评内容': '酒店在市区.交通方便.不过服务方面还是有待提高，整体来讲还是可以的，印象还不错.', '短评打分': 5}
{'短评内容': '服务上响应挺及时的，房间干净卫生，出行挺方便的，住的挺满意的。', '短评打分': 5}
{'短评内容': '位置还好，出行还算方便，卫生打扫的挺及时的，设施有些陈旧，整体感觉还不错。', '短评打分': 5}
{'短评内容': '挺干净卫生的，有的房间还能看海景，感觉挺不错。', '短评打分': 5}
{'短评内容': '已入住。很好！去那都很方便，酒店环境很好，很干净！', '短评打分': 3}
{'短评内容': '总体来说还算过得去，就是位置有点偏。', '短评打分': 5}
{'短评内容': '房间可以看到美丽的海景，很舒适.', '短评打分': 5}
{'短评内容': '房间很干净，打扫的很彻底。环境舒适宜人。', '短评打分': 5}
{'短评内容': '员工着装整洁，服务周到专业。', '短评打分': 5}
{'短评内容': '位置很好出行交通非常方便，夜景很美吃海鲜超级方便，值得推荐。', '短评打分': 5}
{'短评内容': '酒店和安静，周围环境比较静，喜欢安静的客人可以考虑。', '短评打分': 5}
