{'短评内容': '无早餐，不能加床的', '短评打分': 5}
{'短评内容': '还好吧。。。。，住得一般般', '短评打分': 4}
{'短评内容': '房间比较大，但是设施装修都比较陈旧，靠路边但隔音效果一般', '短评打分': 5}
{'短评内容': '无早餐，不能加床，房间挺大，设施齐全', '短评打分': 5}
{'短评内容': '总体来说挺好的，但房间有股下水道的味道', '短评打分': 5}
{'短评内容': '简单实惠有', '短评打分': 5}
{'短评内容': '不错 推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '好评好评好评', '短评打分': 5}
{'短评内容': '好评好评好评', '短评打分': 5}
{'短评内容': '喜欢这个地。离学校很近', '短评打分': 5}
{'短评内容': '很好的环境会常来', '短评打分': 5}
{'短评内容': '挺实惠还不错。欢迎外地朋友来住', '短评打分': 5}
{'短评内容': '地段好 房间宽敞 特别实惠', '短评打分': 5}
{'短评内容': '找了三小时，到了门口还转了30分钟。真心找它不容易！找了三小时，到了门口还转了30分钟。真心找它不容易！找了三小时，到了门口还转了30分钟。真心找它不容易！重要的话说三遍！', '短评打分': 3}
{'短评内容': '服务好，服务好，服务好，卫生好，卫生好，卫生好，房间大，房间设施挺好的，有洗衣机，冰箱，特别居家，温馨，位置也挺好的，离西电近，好喜欢，下次还住这里.', '短评打分': 5}
{'短评内容': '这个酒店的服务我真的是无语了！！！卫生每天都要催着打电话，前台的态度也特别差！东西落在酒店，急着赶车，态度很差，非常不满意的一次入住！垃圾！', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店房间环境很好，宽敞明亮，设施齐全。一家人住很方便，下次来还会住的。', '短评打分': 5}
{'短评内容': '房间整洁，宽敞，明亮。出门在外，住在这里，有家的感觉。赞', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '还行服务不是很好', '短评打分': 4}
{'短评内容': '这个价位还是值', '短评打分': 3}
{'短评内容': '比较满意！服务周到，房子干净整齐。', '短评打分': 3}
{'短评内容': '好好好好好好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '价格便宜，房子挺大。', '短评打分': 4}
{'短评内容': '价格便宜，房间还可以，就是不能免费停车。', '短评打分': 5}
{'短评内容': '房间大，设施较新，比较干净舒适。\n但是房间没有地暖，而且空调开到30度也不暖和，十分需要改进。', '短评打分': 5}
{'短评内容': '1、硬件设施很好\n2、周围增加了可以吃饭的地方\n3、隔壁4楼的自助餐很差\n4、酒店的饮料方便面很贵，且不能挂账', '短评打分': 5}
{'短评内容': '其实设施还齐全的啦，就是不能上网...说是第二天修好的，结果还是不行~~~~~~~~~~~~~~~~~~~~~~~~    ', '短评打分': 1}
{'短评内容': '我们共4个人注90平米的。问题是这公寓酒店价格是2个人住4个人住一样。旅行时候着问题是也不简单。不错。', '短评打分': 5}
{'短评内容': '还不错，挺好的。以后还有可能过来住。。。', '短评打分': 5}
{'短评内容': '我是韩国的，我的看法是这样。西安旅行时候人多就来这点比较合适。我住过的房子是89平米的，住房子时候我和老婆两个人。设计是公寓的类型，感觉是一般家庭差不多，但是房子里东西很简单。这酒店弄得最好的是如果旅行时间有点长而且人多，想自己做吃饭就很好玩。', '短评打分': 5}
{'短评内容': '    这是我住过的最让我生气的酒店！\n    由于行程的关系，我早上比较早就到了酒店，当时不敢相信订的是这家，网上写的是准4星，但是前台只有二十来方，而且都没有通道上楼层，后来问清楚后才知道找的没错，这是家依托在小区楼的公寓式酒店。我入住后洗了个澡就出去了，晚上才回来。回来后发现房间都没有收拾过，想想也无所谓啦，反正晚上也是要休息的，洗澡的时候发现卫生纸和沐浴液都不够了，就打电话到前台索取。结果', '短评打分': 1}
{'短评内容': '房子感觉是新装修的，卫生间很小，很挤，还有异味，房子隔音一般。', '短评打分': 1}
{'短评内容': '房内环境不错。\n房门隔音效果不好，而且没有热水。\n20多层楼只有两层电梯，要等很长时间。\n', '短评打分': 5}
{'短评内容': '房间不错，很干净，面积也够大，地理位置非常好，下次还会来', '短评打分': 3}
{'短评内容': '酒店环境不错，设施也很新，服务也不错，唯一缺点冬天有点冷，总体还是不错的!', '短评打分': 5}
{'短评内容': '不错，床很大，环境很好。就是太高了，二十九楼，电梯要等很久', '短评打分': 3}
{'短评内容': '酒店设施不错，值得去，喜欢这里的设施。环境很好', '短评打分': 5}
