{'短评内容': '不错，环境好，安静，服务态度有待提高。其余基本满意', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '每周去燕郊必住的地方。酒店是燕郊最好的了。停车方便。酒店配套齐全，服务符合星级标准。房间比较大宽敞明亮。', '短评打分': 4}
{'短评内容': '感觉一般 。', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间空调效果很不好，房间烟味太大', '短评打分': 2}
{'短评内容': '酒店非常好，干净服务好', '短评打分': 5}
{'短评内容': '酒店不错，商务出差，值得再来住。', '短评打分': 4}
{'短评内容': '最便宜的五星级标准的酒店了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境优雅。 挺不错的', '短评打分': 5}
{'短评内容': '比较差，但也就这样吧', '短评打分': 3}
{'短评内容': '值得推荐', '短评打分': 4}
{'短评内容': '很好，支持', '短评打分': 5}
{'短评内容': '不错 性格比高', '短评打分': 4}
{'短评内容': '每次去三河都住这家，价格定位很亲民，自助晚餐很美味，房间空间很大，  周围吃的地方也算多，整体都OK，服务态度也都OK，真的是每次必选。', '短评打分': 5}
{'短评内容': '不错呦', '短评打分': 5}
{'短评内容': '燕郊不错的选择', '短评打分': 5}
{'短评内容': '这家酒店是我住过的服务最差的酒店。服务基本为负数。结账查房说房间里少了闹钟和咖啡勺，要赔偿190元。我根本就没注意房间里摆着这东西，更不会带走这个了。我一开始想着得了，房价便宜，我认了，以后再也不住就好了。但是旁边来了一位女士退房，房间里少了剪刀，也被要求赔偿。这时候我就产生了怀疑。为什么这种事情在这家酒店发生的这么多？我想应该不是偶然。一把剪刀谁会拿走呢？\n还有值得注意的是，这里的两间套房很容易', '短评打分': 1}
{'短评内容': '酒店房间挺大的 设施齐全 也很干净 性价比很高', '短评打分': 5}
{'短评内容': '还行!怎么不含早餐呢?', '短评打分': 3}
{'短评内容': '房间好大。 大的有些浪费。 早餐品种丰富。 值得去体验', '短评打分': 5}
{'短评内容': '很实惠的五星级酒店，位置也不错。紧邻102国道', '短评打分': 5}
{'短评内容': '酒店环境不错。', '短评打分': 3}
{'短评内容': '在燕郊算是很好的酒店了，很干净，前台服务员也很热情，很好', '短评打分': 5}
{'短评内容': '福成酒店前台服务是本人遇到的最差的服务。', '短评打分': 3}
{'短评内容': '多次入住，感觉良好，房间干净，空调面板坏啦，维修人员很快修好，下次还住。', '短评打分': 5}
{'短评内容': '很好的酒店。自助餐卡可以三餐任选一餐，午餐和晚餐自助比较丰富。\n餐厅、客房服务员有很好的服务意识。\n', '短评打分': 5}
{'短评内容': '酒店绝对，五星级，设施都很新，浴缸很舒服，价格也比较便宜，下次还住这里。', '短评打分': 5}
{'短评内容': '酒店不错。超值！', '短评打分': 3}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '酒店不错，自助餐一般', '短评打分': 3}
{'短评内容': '福成国际大酒店确实不凡。客房布置得体，设施周到，干净，安静。物有所值。', '短评打分': 3}
{'短评内容': '好歹是五星，硬件还是不错的。服务差一些，早餐品种不够丰富！', '短评打分': 5}
{'短评内容': '在燕郊是不错的酒店，各方面都还凑活，就是粗糙一些', '短评打分': 5}
{'短评内容': '硬件很好，只是各个部门与总台的沟通很差，我入住2次，均有沟通不畅的现象存在。', '短评打分': 5}
{'短评内容': '房间很不错，隔音也很好。我和老公经常去。', '短评打分': 3}
{'短评内容': '很干净，安静服务到位。是休假休闲的好地方。', '短评打分': 5}
{'短评内容': '酒店五星级，性价比超高，早餐也不错，创业很舒服！', '短评打分': 5}
{'短评内容': '给别人定的，据说还不错。在燕郊就算是不错的了。可惜有点贵。', '短评打分': 5}
{'短评内容': '价格适中，环境不错，酒店设施也很好！五星级的标准，三星级的价格，离北京市区其实也不远！', '短评打分': 5}
{'短评内容': '感觉还不错,相对的性价比很高,但是商务大床没有早点,应该不差这点钱吧!?\n整体还可以,细节有待提高!', '短评打分': 5}
{'短评内容': '环境好，早餐种类多超好吃', '短评打分': 3}
{'短评内容': '性价比很好的酒店在燕郊是很理想得下榻之处安全舒适早餐也很不错！', '短评打分': 5}
{'短评内容': '不错，继续支持', '短评打分': 3}
{'短评内容': '酒店环境还可以，就是有点不像五星酒店。', '短评打分': 3}
{'短评内容': '已经第二次入住，酒店硬件一如既往，服务还可以，希望进一步提高！', '短评打分': 3}
