{'短评内容': '未入住  先给个好评', '短评打分': 5}
{'短评内容': '一如既往，很满意', '短评打分': 5}
{'短评内容': '一直在这边住', '短评打分': 5}
{'短评内容': '符合雅诗阁标准', '短评打分': 4}
{'短评内容': '总共是住了4晚，卫生等各方面都不错，很满意，缺憾是第一天刚入住时候不是很熟悉，浴缸需要自己刷一遍，电吹风是坏的', '短评打分': 5}
{'短评内容': '酒店各方面都不错，就是酒店门脸有些小。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店服务不错，宾馆也可以，就是早饭只带一个人，另一个还要单独再算挺讨厌的，还不如直接打在房费里', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间窗户朝着北二马路方向，特别不隔音，遮光窗帘该少一条，这一觉睡得如何可想而知了，不过房间布置还可以。', '短评打分': 5}
{'短评内容': '非常适合我的生活', '短评打分': 5}
{'短评内容': '每次都住这里很不错', '短评打分': 5}
{'短评内容': '服务很好，下次还会来的', '短评打分': 5}
{'短评内容': '地理位置不太好，拥挤！没有独立的停车场，地下停车场收费每小时5元，上不封顶！水压分时段不稳，但没耽误使用！早餐不错，服务人员态度很好！总体没有想象的好！', '短评打分': 5}
{'短评内容': '一直住这个品牌酒店，服务态度很好，酒店早餐超级棒，外宾很多。感谢京东', '短评打分': 5}
{'短评内容': '盛捷酒店特别好，给100分下次去沈阳还住盛捷', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这个是测试呢，不知道怎么评价', '短评打分': 5}
{'短评内容': '很好，工服务不错', '短评打分': 5}
{'短评内容': '早餐很好     服务人员态度认真负责 亲切  很好', '短评打分': 5}
{'短评内容': '离沈阳站非常近，交通十分便利。房间整洁，舒适。非常适合居家旅行。', '短评打分': 5}
{'短评内容': '房间大环境也不错', '短评打分': 5}
{'短评内容': '自己住在这里会有些孤独 房间太大。哈哈哈 国外友人很多 早餐很好吃 。样式齐全', '短评打分': 5}
{'短评内容': '房间很大 价格适中。', '短评打分': 5}
{'短评内容': '非常不错！', '短评打分': 5}
{'短评内容': '习惯住这了，一切都挺好，交通便利，房间宽敞，设施完善，就是离我出差地点远了点。', '短评打分': 5}
{'短评内容': 'j酒店各方面还不错，面积大，开阔，环境好，不过停车是个问题，对如此规模的酒店来说，应完善！', '短评打分': 5}
{'短评内容': '每次入住都有家的感觉，床品舒服，布置温馨，沈阳难得的好酒店', '短评打分': 5}
{'短评内容': '个人出差沈阳首选，非常不错', '短评打分': 5}
{'短评内容': '位置极佳，房间大，适合长住。\n前台服务还行，当面不错，但是每次都比我先挂电话，不知为啥那么急！\n\n几点注意：\n- 无线网有，但是信号不好，可以说没有。\n- 有限网有，也是不稳定。如果对网络要求高，不建议住此饭店。\n- 停车可以在酒店前台买停车券，30元停9小时。不然停地下5元/小时。\n- 自驾的千万别听马路边，沈阳贴条严重，现在还不知道是否全国联网。我被贴了2张单子。\n\n', '短评打分': 5}
{'短评内容': '各方面都不错，就是停车收费太不合理，所谓优惠基本没什么意思，早知道就不借车了还不如打车呢', '短评打分': 3}
{'短评内容': '都很好，最难得的是厨具很齐全。服务也不错。以后有机会还会入住的。', '短评打分': 5}
{'短评内容': '不太适合国人商务出差', '短评打分': 3}
{'短评内容': '酒店很干净，地理位置也好，临近商业街，设施也OK！', '短评打分': 3}
{'短评内容': '酒店房间小，前台服务态度不好，没有备用洗漱用品，相对同类环境的酒店式公寓来说价格过高，不推荐', '短评打分': 1}
{'短评内容': '国际一家连锁公寓式酒店，酒店位置在太原街商业区，服务态度很好，店内设施齐全，环境很好，就是有点贵，性价比有点高，一间公寓在500-600元人民币之间，比较合理。', '短评打分': 5}
{'短评内容': '宾馆内环境不错。房间温馨的，很舒适，性价比较高', '短评打分': 5}
{'短评内容': '入口有点难找，不过宾馆内环境不错。房间挺温馨的，性价比较高的宾馆。', '短评打分': 5}
{'短评内容': '整体条件和其他地方的一样，很好。不过这次没有能按要求换个房间，比较遗憾。', '短评打分': 5}
{'短评内容': '去沈阳参加糖酒会的，酒店环境很不错，客请我们的经销商，大家都挺满意的，很不错。', '短评打分': 5}
{'短评内容': '入住酒店式公寓有家的感觉，温馨舒适。房间宽敞，干净，服务蛮好。外出购物，交通也方便。就是房间接听手机信号不怎么好。入住满意。', '短评打分': 5}
{'短评内容': '公寓式酒店，房间装修很简洁明快，房间很大，早餐品种不多，但是味道不错，前台服务不太职业，竟然强调入住时间是14点。位置很好，在市中心太原街上，楼下就是伊势丹。', '短评打分': 5}
{'短评内容': '因为是一个酒店公寓，所以和传统的酒店感觉不一样。房间很大，设施齐全，如果是两个人的旅行感觉很好。但是如果是一个人出差，和酒店的装潢比起来还是逊色。酒店床还算是舒服，网络速度也很好。虽然提供无线，但是不稳定，还是用有线吧。早餐品种就很少了，连吃几天有点受不了。住客大都是外国人，吃早饭的时候还以为在国外呢。周围的设施不错，吃饭逛街看电影都可以，旁边的伊始丹百货5层有几个不错的饭馆。', '短评打分': 5}
{'短评内容': '对这酒店最大的评价就是客房服务,我住16楼几天来一直是一位大姐帮我打扫房间我看了一下工牌好象是Selina,她的工作认真态度让我很惊讶她实在是特别认真、特别努力,虽说酒店的设施可以赞美,但是我更想称赞的是这位大姐的工作态度。', '短评打分': 5}
{'短评内容': '位置好 房间大 床也很舒服。。房间设施很全。。值得推荐 ', '短评打分': 5}
