{'短评内容': '一次满意的住宿', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '早餐还可以，没加床，带孩子也行。位置也方便停车', '短评打分': 5}
{'短评内容': '健身房，游泳馆等娱乐设施都已经停用了', '短评打分': 4}
{'短评内容': '除了设备有点旧，其他均可。', '短评打分': 5}
{'短评内容': '酒店还不错，比较整洁还可以，交通比较方便。', '短评打分': 4}
{'短评内容': '各方面都很好。', '短评打分': 4}
{'短评内容': '挺好的，就是暖气不足', '短评打分': 5}
{'短评内容': '设施虽然有点旧，但很干净，服务也很到位，早餐也不错。', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '设施旧，服务还行', '短评打分': 3}
{'短评内容': '服务态度很好很热情，但是设施确实过于老旧了。明明说好1点半退房，但是1点半之前房卡就刷不开门了，前台处理之后还是打不开，真是耽误时间。除了马桶还算比较新之外，其余各种设施都是旧得不行了，旧了之后就显得不干净。空调的温度调节基本失效，好在房间本身不冷。位置一般吧，不算特别市中心的地方。性价比还行吧。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店很舒服，服务很不错', '短评打分': 5}
{'短评内容': '老酒店保持了活力。', '短评打分': 5}
{'短评内容': '很好，房间很整洁，交通便利，早餐也很不错。下次还会再来。', '短评打分': 5}
{'短评内容': '设施比较老， 空调有点吵，餐馆的价格太贵。\n服务一般。', '短评打分': 1}
{'短评内容': '设施太陈旧了，应该可以装修下了~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '干净但装修太旧，价格偏贵！', '短评打分': 3}
{'短评内容': '环境很好 ，交通便利， 餐厅也不错。。。。', '短评打分': 5}
{'短评内容': '房间的设施不好，床很硬，枕头太差，早餐根本不是四星的样子，给如家锦江好像有一比的！', '短评打分': 1}
{'短评内容': '环境不错,压金太多,需要住宿总房价的2倍,以前不这样啊，不知为啥', '短评打分': 3}
{'短评内容': '去住过两次，每次都是呗安排到一个人住双床，建议预订网站在预定时有选项，大床和双床！', '短评打分': 1}
{'短评内容': '  酒店整体环境尚可,房间内物品的文字性说明不错。装修老旧,整体性价比不高!', '短评打分': 3}
{'短评内容': '还算可以,不过可能房价会调,没有单床标间', '短评打分': 3}
{'短评内容': '不错的酒店，就是购物还不太方便。其他都比较满意', '短评打分': 5}
{'短评内容': '很不错的酒店，比较干净，服务各方面也很好，值得入住。', '短评打分': 5}
{'短评内容': '环境安静。条件不错，服务也很好。但内部装修有待改善。', '短评打分': 5}
{'短评内容': '早餐太差.', '短评打分': 3}
{'短评内容': '帮同事预订的宾馆，来经济开发区基本住这家。最近在搞活动，性价比非常高', '短评打分': 5}
{'短评内容': '这边除了购物稍稍有些不便以外，其他都还是不错的，下次来长春还会再住', '短评打分': 5}
{'短评内容': '主要是在经济开发区，装修比较旧，但服务员态度还是不错的。卫生也搞得可以。如果下次来还会住。', '短评打分': 5}
{'短评内容': '前台很大，服务一般，设施比较陈旧，最重要的是早上高峰时，根本打不上车，这也可能是东北的通病', '短评打分': 1}
{'短评内容': '长春中日友好会馆比较温馨，工作人员服务到位并且热情大方', '短评打分': 5}
{'短评内容': '房间内的条件及服务设施有一点旧，客房服务员较好，其她服务员不够满意。', '短评打分': 5}
{'短评内容': '酒店卫生还可以，没有配润肤液，', '短评打分': 3}
{'短评内容': '1、服务的软件绝对是4星的，各项服务都很好，特别是我因为机票问题需要延长一天，也没有像其它宾馆那样要求增加押金。\n2、硬件差的太多：A、从房间门开始，准备在壁橱里挂衣服，刚碰到壁柜门门就掉了下来，结果我帮助修了半天的门。B、洗澡时，洗发液和沐浴液是钉在墙上那种，刚刚碰到按钮，外罩盒子就掉了下来。C、放在条案前的椅子，肯定是被马坐过的，中间陷了一个大坑，只能坐边上，恐怕坐中间那层薄薄的布破了掉下去。', '短评打分': 5}
{'短评内容': '感觉有些年头的酒店，服务很好，早餐很可口。\n去海关办事想当近啊就在隔壁', '短评打分': 5}
{'短评内容': '长春中日友好会馆不错 朋友推荐的 交通便利 舒适', '短评打分': 3}
{'短评内容': '总体不错，饭店风格很好，只是设施有点太陈旧。', '短评打分': 3}
{'短评内容': '酒店不错 但是每次都需要信用卡担保比较麻烦', '短评打分': 5}
{'短评内容': '设施略旧，但服务很好。价格偏贵，性价比略低。', '短评打分': 3}
{'短评内容': '位置不是很好距离我办事的地点有点远.而且很偏.打车不方便.硬件条件很陈旧.服务还不错.综合水平一般.', '短评打分': 1}
{'短评内容': '设施有些陈旧，位置还行，房间的卫生服务都还可以，价格还是偏贵。', '短评打分': 1}
{'短评内容': '还可以，市区中心地带', '短评打分': 5}
{'短评内容': '不错 就是有点儿不太好找 可能我自己对地方不熟悉吧', '短评打分': 3}
{'短评内容': '应该在便宜点儿 然后能用卷儿就更好了', '短评打分': 5}
{'短评内容': '不错的酒店，地理位置很方便，而且卫生蛮干净的，服务热情周到，性价比不错的酒店，下次还会入住。', '短评打分': 5}
{'短评内容': '老酒店设施比较陈旧.周边的交通不方便，.酒店也不在闹市区.不是出门就能很方便打到车的，而且服务人员不管叫车.这点不太好', '短评打分': 1}
