{'短评内容': '及时，周到。预定方便，快捷', '短评打分': 5}
{'短评内容': '酒店交通方便，基础设施齐全，床也蛮舒服的，洗手间干湿分离，房间很大，装修风格个人比较喜欢。就是空调不能调节，晚上睡觉有点热。早餐品种比较丰富，。泳池水质也很好，周六人有点多。整体来说还不错。', '短评打分': 5}
{'短评内容': '中午在中餐厅大厅吃饭，菜品口感很好，服务员陈玲服务特别热情', '短评打分': 5}
{'短评内容': '房间设施特别好', '短评打分': 5}
{'短评内容': '早餐一般般吧，无功无过，地方很大，带孩子也蛮不错的，免费给我们升级了房间，这点还是比较感谢的', '短评打分': 5}
{'短评内容': '早餐一般，床还是比较舒服。服务还是不错的。 离市中心还有要开个几分钟的', '短评打分': 3}
{'短评内容': '服务不错，房间设置好～', '短评打分': 5}
{'短评内容': '客服服务及时，周到。预定方便，快捷。', '短评打分': 5}
{'短评内容': '地理位置很好，服务也不错，早餐很丰盛，大门口的迎宾人员的服务水平还有待提高，基本没有服务，且无问候，无微笑，有时候还会靠在门边与人聊天，这个作为一个豪华型酒店是不应该出现的。', '短评打分': 5}
{'短评内容': '不错，整个感觉确实很温馨。很有家的感觉！豪华房，厅，房动静相隔亦相连！早餐也丰富。酒店经营理念优秀！ 酒店位置也好，各方面也蛮好的。', '短评打分': 5}
{'短评内容': '感谢前台苗小姐的热情服务，特别的赞。酒店整体不错的，不过迎宾还有餐饮部门的服务还有待提升，进门没有人帮忙拿东西，餐厅的服务也需要更加热情点！', '短评打分': 5}
{'短评内容': '豪华酒店就是豪华酒店，一切完美。虽然没开在景区，但离哪都不远。附近美食众多，离地铁站很近，早餐丰盛。下回来无锡就住这里！', '短评打分': 5}
{'短评内容': '虽然这酒店己经开了五年，但房间维护得好，服务又跟得上，大堂的设计风格个人不怎么喜欢，可能是当时流行的这种设计。总体入住感觉不错', '短评打分': 4}
{'短评内容': '退房时忘拿了充电插头，电话过去态度很好帮我们快递了，还发了运单号来。大厅的圣诞树和水晶球装饰小孩很喜欢，早餐也较丰富。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
