{'短评内容': '很好，五星好评', '短评打分': 5}
{'短评内容': '酒店性价比很高，就是靠马路边晚上有点吵', '短评打分': 5}
{'短评内容': '酒店不错，相信京东选择京东。', '短评打分': 5}
{'短评内容': '服务很好，干净整洁。', '短评打分': 5}
{'短评内容': '房间很大设施服务都还可以，二楼酒店中餐厅服务极差找负责人给解释态度一样', '短评打分': 4}
{'短评内容': '房间很大设施服务都还可以，二楼酒店中餐厅服务极差找负责人给解释态度一样', '短评打分': 4}
{'短评内容': '蛮好的，但是为啥每个房间配置的东西不一样啊', '短评打分': 4}
{'短评内容': '早餐很不错。周边环境有点吵。', '短评打分': 4}
{'短评内容': '酒店环境还不错，早餐比以前好多了，点赞！', '短评打分': 4}
{'短评内容': '最近在这出差总住在这边，很方便', '短评打分': 5}
{'短评内容': '最近在这出差总住在这边，很方便，还有免费游泳池', '短评打分': 5}
{'短评内容': '位置一般，价格偏高，性价比一般。', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': ' 满意', '短评打分': 3}
{'短评内容': '性価比高、房間可以\n早飯一班、周辺環境不好', '短评打分': 5}
{'短评内容': '酒店环境很好，对得起他的房价，早餐种类齐全，算是一次愉快的入住体验。', '短评打分': 5}
{'短评内容': '除了位置稍微偏了点，其他都还不错，早六点出的门，所以早餐没吃到，不知道早餐如何', '短评打分': 5}
{'短评内容': '酒店设施比较新，性价比挺高。中午在2楼中餐厅吃的饭，还不错。', '短评打分': 5}
{'短评内容': '不错，就是旁边马路有点吵。不错，就是旁边马路有点吵。不错，就是旁边马路有点吵。', '短评打分': 5}
{'短评内容': '很好，就是早餐让人失望，其他方面都很好，卫生间很大，新酒店很干净，', '短评打分': 5}
{'短评内容': '酒店硬件设施不错,但是我住的是靠近加油站的房间,晚上感觉有刺激味.早餐也很不错.整体还是非常好的.', '短评打分': 5}
{'短评内容': '离市中心远了点，去方特比较方便。总体还不错，新开的有些房间味道可以再散散，建议房间摆放方特的小资料以便客人查阅参考。。', '短评打分': 5}
{'短评内容': '好不错，干净卫生安全是出差的不二选择好不错，干净卫生安全是出差的不二选择好不错，干净卫生安全是出差的不二选择', '短评打分': 5}
{'短评内容': '芜湖升辉财富大酒店房间很好，干净，大气，就是早餐一般般，下次有机会还会入住的。离高速口很近噢。', '短评打分': 3}
{'短评内容': '很好的酒店 干净 自助晚餐也还可以 人不是很多 就是没有地下停车场 离方特很近', '短评打分': 5}
{'短评内容': '酒店很不错，装潢的很高档，服务也不错，住的很满意，会推荐给朋友滴。', '短评打分': 5}
{'短评内容': '这次出去玩的不怎么样，住的还不错·我父母都觉得这个酒店不错·赞一个·下次有机会去还住这家酒店·', '短评打分': 5}
{'短评内容': '不错的酒店，住过很多次了，来芜湖基本住这里，值得推荐.不错的酒店，住过很多次了，来芜湖基本住这里，值得推荐.', '短评打分': 5}
{'短评内容': '酒店非常好 房间住的很舒适 服务热情周到\n自助晚餐很丰富  下次有机会还会再来', '短评打分': 5}
{'短评内容': '新开的五星，优点较多；1、房间很新，泳池非常清爽，赏心悦目；2、价格实惠含双早为398元；3、早餐很丰盛6:30-10:00，适合早起的朋友。4、因房间味重更换房间时，一位服务员非常有素养，非常客气，帮我们换到522，并赠送水果一份。冲这一点，到芜湖办事还会入住。\n缺点：1、衣帽柜、冰箱柜内部气味比较重，建议放活性炭后再放清香剂。2、早上赶时间，前台一位郭姓圆脸服务员，办手续较为拖沓，浪费了约10', '短评打分': 5}
{'短评内容': '非常棒的酒店，价格很实惠，服务也很好，还有泳池，前台妹妹很漂亮，虽然比较偏僻，但就在气站旁边，打的很容易', '短评打分': 5}
{'短评内容': '新开的五星，离方特一期比较近。\n房间、泳池、早餐都挺好，服务态度也不错，门童很敬业。\n缺点：因为新开没多久，衣帽柜、冰箱柜内部气味比较重，建议放活性炭洗干净后再放清香剂。\n床上用品增加夏天用的毛毯之类薄覆盖物，我当时盖得浴巾，汗', '短评打分': 5}
{'短评内容': '很满意的一次入住。酒店新开，很豪华，服务也非常热情。房间装潢的很高档，宽敞舒适，一进房间发现空调已经打开，热水也已经装上，拖鞋浴袍都已经摆放好，感觉十分温馨。早餐品种也很丰富。酒店的位置很适合去开发区办事的商务人士。对了，酒店的室内泳池是免费向住客开放的，很惊喜。下次过来办事还是会住这里。', '短评打分': 5}
{'短评内容': '性价比挺高的酒店，服务不错，离开发区办事很方便，还会再来。', '短评打分': 5}
{'短评内容': '新酒店，房间硬件不错，就是早餐跟所谓的五星稍微差点，不丰富。。不过性价比绝对好！！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店装修不错，房间还有装修味，在开发区办事入住较方便，', '短评打分': 3}
{'短评内容': '有油漆味', '短评打分': 3}
{'短评内容': '全新酒店，设施挂牌5星级，不错！但太新了还有点味，周边配套不好，较吵闹，398元入住算是物有所值了', '短评打分': 3}
{'短评内容': '满意.', '短评打分': 3}
