{'descr': '牙具杯子不太干净。', 'star': 5}
{'descr': '最多只是一般，里面设施真不乍的！', 'star': 3}
{'descr': '附近交通便利，服务好', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '酒店位置离收费站不远，约1.6公里。很方便。周边服务设施少，吃饭不方便。房间简单，较小，一次性拖鞋太次了。', 'star': 3}
{'descr': '靠近出差地点', 'star': 4}
{'descr': '还可以', 'star': 4}
{'descr': '真不错', 'star': 5}
{'descr': '还不错 停车位受到旅游旺季影响会难找一些 距高速近', 'star': 4}
{'descr': '还可以吧！', 'star': 5}
{'descr': '好，值得推荐', 'star': 5}
{'descr': '旁边是个唱歌的地方，晚上可能有点乱，总体还不错', 'star': 4}
{'descr': '酒店不错，值得推荐！', 'star': 5}
{'descr': '设施很简单，价格有点高了，可能是大连物价普遍比较高吧', 'star': 5}
{'descr': '给工厂同事订的，距离高速公路很近，交通位置方便。', 'star': 3}
{'descr': '位置不错，出了高速就到了，是外出旅游不错的选择，全国连锁，服务态度好，干净整洁，配套设施齐全。', 'star': 5}
{'descr': '环境非常好，屋里非常干净~ 不错，下次还住这', 'star': 5}
{'descr': '住得很舒服，房间很温馨，很干净，水温刚刚好，去金州还会去住。', 'star': 5}
{'descr': '房间竟然没有窗、热水还要等、不知道有没有、态度还可以', 'star': 3}
{'descr': '酒店不错 很适合情侣  服务很好 房间很干净\n', 'star': 5}
{'descr': '一般般，有点贵。0......................................0....................................0', 'star': 1}
{'descr': '前台很吊，到了后直接告诉你没有热水，爱住不住，而且在前台明目张胆的标注了不开发票，如此明目张胆的逃税，还真是第一次见，有关部门怎么没有去查一下。以后肯定不会去了。', 'star': 1}
{'descr': '感觉还行 ，就是不能刷卡结账，得注意带足现金啊 ', 'star': 5}
{'descr': '房间设备不错，就是床头灯太暗。整体卫生还行，还需注意细节，尤其是厕所。隔音效果不好，晚上总有声音，不知道是楼上还是哪里。总体还行。', 'star': 3}
{'descr': '我住五楼，网上那些差评论情况都没有，总体还不错啦。', 'star': 3}
{'descr': '服务态度好，价格也很合理，值得推荐！', 'star': 3}
{'descr': '第二次住了，这次发现第一次住的时候没发现的缺点，主要有两点吧：\n1.隔音太差，睡一晚上有可能听到啪啪啪声。\n2.沐浴露很次，是那种神马神马一体的·结果哪都没洗干净·回家还得再洗一遍。', 'star': 5}
{'descr': '酒店不错，里面的接待GG也很热情，居然和我坐一班车到的金州', 'star': 5}
{'descr': '环境不错，服务质量和服务态度也很好！！！', 'star': 5}
{'descr': '非常干净·而且最让我舒心的是里面没有贴着价格标签的东西··所有摆在台面的东西都是免费的。', 'star': 5}
{'descr': '房间很干净，床很舒服，设备也很好的。就是楼下的KTV会有点小吵。总之，还是很不错的', 'star': 5}
{'descr': '酒店环境干净，服务很好！', 'star': 3}
{'descr': '环境不错、交通方便、住着舒服、、、、、、、、、、、、、、、、', 'star': 5}
{'descr': '环境好。。我还要来。。卫生好。干净。安静。交通方便。', 'star': 5}
{'descr': '还不错啦，可以住，当然是适合大众的酒店，去看看吧', 'star': 5}
{'descr': '神秘树酒店,环境清幽,楼下有餐饮设施和便利店,吃饭购物都比较方便,房价方面在杭州地区也不算贵,,总体来说还是不错的', 'star': 3}
{'descr': '酒店整体还不错，就是隔音不太好，晚上三楼KTV的声音挺大的，希望有所改进。', 'star': 5}
{'descr': '因为那天去 比较忙 我定的房间没收拾好 前台怕我久等 就直接给我换了更好的房间\n服务态度很好 房间不错 就是我洗的时候没热水...不知道是不是太早的缘故', 'star': 5}
{'descr': '感觉环境很好  就是厕所的隔音不好   上面冲澡冲厕所声音超大的   晚上被吵醒   希望这个能改进\n', 'star': 5}
{'descr': '相当不错，特实惠，档次也不错，就是没有窗，不过这个价格，不错了', 'star': 5}
{'descr': '房间挺大的哦，床很舒服 不错 不错  下次继续 呵呵\n', 'star': 5}
{'descr': '总体来说，我给这个酒店打优吧。。环境很不错，设施也很齐全，服务也很热情！！！', 'star': 5}
{'descr': '酒店应该开业时间不长，设施很新，服务也不错，如果自驾车到大连是个不错的选择', 'star': 5}
{'descr': '很好，酒店很干净，服务态度非常好！很赞！', 'star': 5}
{'descr': '挺好', 'star': 3}
{'descr': '除了交通不是特别便利外，其余的都很，新装修的，很干净，服务人员态度也很好，除了交通不是特别便利外，其余的都很，新装修的，很干净，服务人员态度也很好，除了交通不是特别便利外，其余的都很，新装修的，很干净，服务人员态度也很好，', 'star': 5}
{'descr': '新开的酒店，服务很不错，房间装修的很好，桌椅家具都比同类酒店好很多，也很干净。不过离商店、饭店比较远，要往市区方向走两站路才有。', 'star': 5}
