{'短评内容': '多次入住了，整体满意！', '短评打分': 5}
{'短评内容': '硬件设施比较老化了，但位置还是不错的，酒店对面马路下行20米就是万州的特色烧烤房间是新装修的，还可以酒店卫生干净舒适。早餐品种丰富。', '短评打分': 4}
{'短评内容': '酒店在市中心，交通便利，楼下有车库                       ', '短评打分': 5}
{'短评内容': '房间是新装修的，还可以，早上退房时那个服务员态度才叫差，客人说话一点反应也没有，黑着脸。感觉谁欠她钱似的。', '短评打分': 5}
{'短评内容': '差得很！！！快捷酒店都比这好，设备设施陈旧，没Wifi，没USB充电插坐，椅子中间一大坑，根本不敢坐，台灯漆皮已脱落，空调不能用。连袋泡茶还要五元一袋。', '短评打分': 4}
{'短评内容': '一般般，价格有点贵', '短评打分': 5}
{'短评内容': '好好好好?', '短评打分': 5}
{'短评内容': '还不错，环境还可以', '短评打分': 5}
{'短评内容': '很好不错值得推荐', '短评打分': 5}
{'短评内容': '安静舒适', '短评打分': 5}
{'短评内容': '预先在携程旅行网订的酒店，经理反馈很好，前台服务热情，周到，酒店环境卫生都不错！好评！下次继续光顾！', '短评打分': 5}
{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '高铁通了 万州的酒店业要重新洗牌了', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 4}
{'短评内容': '老酒店，设备都有点陈旧了。', '短评打分': 4}
{'短评内容': '性价比一般', '短评打分': 4}
{'短评内容': '环境不错，卫生很好周边小吃很多，很方便', '短评打分': 5}
{'短评内容': '一点都不隔音，差差差差差差差差差', '短评打分': 3}
{'短评内容': ' 干净', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '位于市中心，很方便，停车免费。走100米就到高笋塘广场，广场流杯池旁边的烧烤、夜啤酒味道不错，深夜到店，也不愁找不到吃得。', '短评打分': 5}
{'短评内容': '房间装修有点老。。房间确实很大，晚上不知道是空调的声音还是什么声音特别大。。', '短评打分': 5}
{'短评内容': '房间不是很隔音，隔壁半夜看电视，声音很大！！', '短评打分': 5}
{'短评内容': '专业酒店管理运营商，服务到位，卫生、整洁，贴心。', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 3}
{'短评内容': '市中心的位置，出行方便，入住时说好住2天，房卡只刷了1天的，楼下厨房油烟一开窗就进入房内。房内设施是4星级标准。希望楼下的门童主动帮助客人。', '短评打分': 1}
{'短评内容': '万州尼斯酒店整体来说，比较方便舒适。酒店位置交通方便，房间干净卫生。', '短评打分': 5}
{'短评内容': '酒店很一般，停车场太小，早餐很普通，房间当街的一面有点吵。。。', '短评打分': 1}
{'短评内容': '不错的酒店，只是装修老旧了一点，过道有点暗，早餐还过的去了！', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '酒店环境很不错！下次还入住！不过很不满意之前的凯莱酒店！连个如家都不如收费还那么贵！', '短评打分': 5}
{'短评内容': 'I recommend you the hotel.', '短评打分': 5}
{'短评内容': '真的是有点吵。周围环境也不太舒服。但还是向大家推荐。', '短评打分': 5}
{'短评内容': '酒店还好！早饭一般。', '短评打分': 3}
{'短评内容': '万州最好的比较老了！但有蚊子！', '短评打分': 3}
{'短评内容': '临街的比较吵，其他的倒是都好。在市中心，交通非常方便的', '短评打分': 5}
{'短评内容': '不错，下次还住，就是听说要涨价，哎。。。', '短评打分': 5}
{'短评内容': '住宿条件还可以,就是服务员态度很生硬,没有笑容.', '短评打分': 5}
{'短评内容': '隔音效果一般  室内空气不行   通风透气有待改良', '短评打分': 5}
{'短评内容': '早餐一般~就是管饱的水平~也能吃~交通确实很便利', '短评打分': 3}
{'短评内容': '还不错~交通很便利', '短评打分': 3}
{'短评内容': '交通便利~设施还行~', '短评打分': 5}
{'短评内容': '房间较大。\r\n早饭比较差，房间隔间效果较差。', '短评打分': 5}
{'短评内容': '大堂、房间设施陈旧，地毯很脏，感觉跟3星的酒店差不多，早餐差，性价比低', '短评打分': 1}
{'短评内容': '位于市中心，位置很好，出入方便。', '短评打分': 5}
{'短评内容': '环境不错的，房间挺宽，床也大，就是停车场有点旧了。还是很满意的！', '短评打分': 5}
{'短评内容': '有电脑，设备不错，接近4星', '短评打分': 5}
{'短评内容': '各方面都还不错，', '短评打分': 3}
{'短评内容': '位置不错，服务也还行', '短评打分': 3}
{'短评内容': '这家酒店在万州还算不错，位置也不错，卫生也干净，早餐还行', '短评打分': 5}
{'短评内容': '还是挺不错的一家酒店,房间很干净设施也是挺好的,酒店的服务也还行,位置还是比较好找的.感觉还不错.', '短评打分': 3}
{'短评内容': '地处闹市，干净舒适，早餐亦还行！', '短评打分': 5}
{'短评内容': '酒店各方面都算比较不错,但是内部隔音效果不太好,房间也是临街的房间所以会比较吵.价格相对来讲高一些.其它还好', '短评打分': 3}
{'短评内容': '地理位置在万州是蛮好的，酒店房间设施还可以，性价比一般！早餐还可以。', '短评打分': 5}
{'短评内容': '酒店的位置不太好找，设施还可以，服务也不错', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 1}
{'短评内容': '该酒店的地理位置在万州去算是可以的，就是停车不方便。酒店房间设施不错，有点欧式风格，就是房间的空间稍微小了点，网络的速度也有点慢，总体感觉还是不错。', '短评打分': 5}
{'短评内容': '很不错!价格也非常合适,早餐也满好.就是大厅在5楼,让人第一次去有点摸不清.没有明显标志.卫生和服务也让人满意.', '短评打分': 3}
