{'短评内容': '客户很满意！', '短评打分': 3}
{'短评内容': '还不错，浴室有淋浴浴缸，很好，价格也不算贵', '短评打分': 3}
{'短评内容': '很不错的酒店，条件挺好，离汽车北站比较近，交通稍微麻烦点', '短评打分': 5}
{'短评内容': '早餐没有外海外国际的丰富，而且感觉早餐很粗糙。\n\n房间比海外海国际的要干净。但晚上空调总是出毛病。\n\n卫生间也比海外海国际的要好，前台服务人员非常到位，很热情。', '短评打分': 5}
{'短评内容': '很高档，这个价格有这样，很不错。', '短评打分': 3}
{'短评内容': '杭州海外海纳川大酒店装修还不错,最喜欢他的早餐,休息得很好,就是离杭州市市区较远.打车一般要70元才能到火车站.', '短评打分': 5}
{'短评内容': '早餐不错，服务挺热情，硬件一般，特别是床太硬', '短评打分': 1}
{'短评内容': '房间空间大,摆设差点', '短评打分': 3}
{'短评内容': '房间很给力，早餐也很丰富。下次去杭州还会来住。非常满意', '短评打分': 5}
{'短评内容': '住的是802号房，房间很大，床也是我喜欢的偏硬的。但是晚上外面施工噪音较大，窗户的隔音效果很差。另外就是窗帘了，太小了而且比较薄都不能比较好的遮住光，很早阳光就把房间照的很亮，影响休息。也许8~15号多会好点，但是窗户隔音，窗帘应该都差不多吧', '短评打分': 1}
{'短评内容': '房间挺大，装修还不错，床是我喜欢的硬床，如果住10~20号之前会安静点', '短评打分': 5}
{'短评内容': '房间比较干净，服务态度不错，但是说是有健身有SPA，实际确没有!', '短评打分': 5}
{'短评内容': '装修很新，房间挺大，总体来说还是很不错的，就是位置比较偏，适合自驾。', '短评打分': 5}
{'短评内容': '服务设施还算比较新，就是周边环境有点不是太好，其他还算可以吧', '短评打分': 5}
{'短评内容': '设施还算可以，不过我住的915房间有点吵，特别是早上5点半厨房开始的时候，房间就很吵了。其他的话还可以，尤其是我带了中药，女服务员不错，一个人很快帮我扛过来，不错。', '短评打分': 5}
{'短评内容': '十酒店设施不错，海外海的品牌，服务也不错!周边环境一般，但这个价格很可以了，还会继续选择!', '短评打分': 3}
{'短评内容': '内部环境不错，早餐尚可，外部环境一般，最大缺点：打车很难。', '短评打分': 5}
{'短评内容': '房间很大，周围环境也不错，早餐比较丰富，推荐。', '短评打分': 5}
{'短评内容': '性价比中等偏下，周围环境不好，噪音大，如果不是离办事地点近，今后不会选择。', '短评打分': 1}
{'短评内容': '＋硬件还不错，就是太偏远了，很不方便，楼下也没吃没喝没玩的，还有酒店格局很奇怪，房间很难找，隔音效果也一般。', '短评打分': 3}
{'短评内容': '不错的酒店，离我要去考试的地方也近，下回在去考试还是会选择这个酒店。。。', '短评打分': 5}
{'短评内容': '位置稍微远点，还算方便，房间也挺干净的，不错', '短评打分': 5}
{'短评内容': '酒店服务很不错，位置靠近北站也很方便，早餐也不错', '短评打分': 5}
{'短评内容': '很不错，有挂4星的特点，在汽车城旁边很适合我。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店还是很温馨的，早餐不错，服务态度好，房间宽敞舒适，性价比不错。', '短评打分': 3}
{'短评内容': '不错 有叫车服务 就是临街的房间有点吵 隔音效果有点差 服务态度还是挺好的', '短评打分': 5}
{'短评内容': '一般吧  希望下次不要再搞错  扣我积分了~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '差劲  我订了4间房 ，都在入住了  竟然说我们没入住！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1', '短评打分': 1}
{'短评内容': '不错，不错。总体感觉不错，停车也方便，就是位置比市中心有点远', '短评打分': 5}
{'短评内容': '方便', '短评打分': 3}
{'短评内容': '第一次入住这个海外海纳川大酒店，还是可以吧。主要是离要办事的工厂比较近，方便。房间条件还是可以的。', '短评打分': 5}
{'短评内容': '酒店配置三星半标准吧，早餐一般，靠街的房间实在太吵了，一晚上都是重型卡车的声音，不推荐住靠街的', '短评打分': 5}
{'短评内容': '性价比超级高的酒店，距离西溪湿地很近，西站很近。服务超级好。前台也很好。下次有机会还会入住。', '短评打分': 5}
{'短评内容': '這一家的房間環境還不錯，只是外出吃飯比較麻煩，建議吃完飯後再入住會比較好。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
