{'短评内容': '卫生好，价格适中，不错！', '短评打分': 4}
{'短评内容': '罗菊花服务态度非常棒，晚上还送牛奶，谢谢', '短评打分': 5}
{'短评内容': '罗菊花服务态度一级棒。', '短评打分': 5}
{'短评内容': '退房时我将行李箱随手放在了前台外面去了洗手间，大堂经理看到后主动帮忙寄存在了前台里面，虽然从洗手间出来着急找了一大圈，但还是为酒店的服务细心点赞', '短评打分': 5}
{'短评内容': '一般一', '短评打分': 4}
{'短评内容': '房间有味道，特别是洗手间。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还是不错吧，希望下次再来了。。。。。', '短评打分': 5}
{'短评内容': '还是不错吧，希望下次再来了。。。。', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 5}
{'短评内容': '不好  设施很旧了。酒店维护保养不好', '短评打分': 3}
{'短评内容': '服务周到，布置温馨，态度亲切，感谢客房部送的热豆浆，很暖心，也谢谢服务员大姐送的菊花茶，感谢!', '短评打分': 5}
{'短评内容': '很干净舒适，布置的很温馨，处处都有点小惊喜，看的出来是比较用心的，特别是服务态度很好，刘妹大姐打扫的很干净，服务态度非常好，为她点赞，下次来，还是要定这家&amp;hellip;&amp;hellip;', '短评打分': 5}
{'短评内容': '安静，地理位置方便，不错。', '短评打分': 5}
{'短评内容': '好好。 还不错。', '短评打分': 5}
{'短评内容': '酒店那个性价比非常高啊，160多元还蛮好的完了，那个房间不错，然后早餐也非常好，总之是非常满意的，然后又连续订了一天不过住第二天的话就比第一天贵了，这一次是两百然后就是酒店旁边那个养生会所你懂得哈哈哈哈哈', '短评打分': 5}
{'短评内容': '酒店环境好，送水果的赵海英还有送绿豆汤的罗菊花服务态度非常好。点赞??', '短评打分': 5}
{'短评内容': '唯一好的就是离火车站近，其他都不行，设备陈旧，空调不给力，房间小，墙纸都掉了，早上的橙汁用水兑的，一点味都没有', '短评打分': 4}
{'短评内容': '房间各方面都还是不错的！唯独一点缺陷空调温度自己不能调！还有吃饭稍微有点不方便只能叫外卖', '短评打分': 5}
{'短评内容': '第二次住了，还不错附近就有机场大巴，去机场很方便', '短评打分': 5}
{'短评内容': '挺好的，离火车站近，设施不错，对得起这个价格', '短评打分': 5}
{'短评内容': '挺好的，离火车站近，设施不错，对得起这个价格', '短评打分': 5}
{'短评内容': '特别好 很不错', '短评打分': 5}
{'短评内容': '感觉很不错，。。。。。。。', '短评打分': 5}
{'短评内容': '比较老旧，态度也不好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '离火车站很近，早晨丰富', '短评打分': 5}
{'短评内容': '环境很好，位置不错，比较安静，还有牛奶赠送，特别是钨阿姨很热情！', '短评打分': 5}
{'短评内容': '位于老火车站边上，交通非常方便，1号机场大巴终点站下车处，四星级酒店，价位非常优惠，房间比较大，酒店自己的中餐非常好，早餐非常超值。', '短评打分': 4}
{'短评内容': '挺好的了。', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '服务比较好，房间里的橙子己凹陷，建议可以换个新的', '短评打分': 4}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '酒店干净卫生，早餐丰盛，手续快捷', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '还可以吧，说的过去，这个价格还能往五星的品质吗？別要求太高', '短评打分': 3}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '房间不错 前台小徐很好很负责', '短评打分': 5}
{'短评内容': '真不咋地真不咋地真不咋地真不咋地', '短评打分': 5}
{'短评内容': '房间太小了，但是离火车站很近。服务态度很好', '短评打分': 3}
{'短评内容': ' 酒店环境及服务水平均很好', '短评打分': 3}
{'短评内容': '堀礼之助巳经入住该洒店感觉良好', '短评打分': 3}
{'短评内容': '1、新装修，比较干净。但还有很浓的刺鼻味道。在大堂和房间都能闻到\n2、房间干净整洁。但细节布局不合理，没毛巾架，用过毛巾后不知挂哪儿；宽带接口处没电源插座，要借接线板。\n3、我住的是商务单间，没独立办公桌，房间不大\n4、电梯没空调，闷热\n  总体而言，离火车站近，新装修较干净，但还达不到大城市四星标准', '短评打分': 1}
{'短评内容': '还不错，酒店停车免费，停车场也很大，位置就在火车站旁边，很方便', '短评打分': 5}
{'短评内容': '一家没水准的酒店，住进后房间太热，叫来服务员，检查了说这季节中央空调没开，20多度的气温不开空调像话吗？不过我们开的另几个房间有空调，他们解释不来就不了了知，房间连一瓶一两块钱的矿泉水都要催几回才送，早饭我看连一般没星际的酒店都比他们强，连最基本的煎鸡蛋都没有，说什么有煮鸡蛋就不能有煎鸡蛋了，看来是想节约点油吧。有面包但没有烘机，黄油可果酱，当然更不可能有黄油刀了，这酒店就一句话。。。烂', '短评打分': 1}
{'短评内容': '酒店不错 ，性价比高，交通便利，值得推荐入住 。', '短评打分': 5}
{'短评内容': '新开的酒店，设施不错，特价房和400多的房没啥区别', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
