{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '不错，挺方便的', '短评打分': 5}
{'短评内容': '位置还不错啦，', '短评打分': 5}
{'短评内容': '先说早餐，坑死人，就只有粥和包子，包子只有矿泉水瓶盖子那么大，只有甜的，别的没有，再说房间，不加钱住大床房的话就是特别吵，加钱的话，小的没法说，反正真是垃圾的一比', '短评打分': 1}
{'短评内容': '酒店服务很好，房间装修很舒服，干净卫生，wifi很好用，空调制热速度很快，好评', '短评打分': 5}
{'短评内容': '商务出差的话就勉勉强强了', '短评打分': 3}
{'短评内容': '酒店干净卫生不错，态度好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '很好很方便啊', '短评打分': 5}
{'短评内容': '环境和服务都一般般', '短评打分': 5}
{'短评内容': '环境还不错，7天的标准配置', '短评打分': 5}
{'短评内容': '住了好几次，都挺好的，比其他地方稍微便宜点', '短评打分': 5}
{'短评内容': '棒棒哒，比其他平台便宜哦，但是为啥不送京豆了?', '短评打分': 5}
{'短评内容': '速度快，价格低，品质好', '短评打分': 5}
{'短评内容': '很好很好，非常好', '短评打分': 5}
{'短评内容': '不错不错，非常的不错，下次一定做好孩子', '短评打分': 5}
{'短评内容': '这个七天连锁酒店挺好的，做啥', '短评打分': 5}
{'短评内容': '服务很好，干净卫生，交通也很方便。', '短评打分': 5}
{'短评内容': '味道太大，服务太差，卫生间太小，空调声音太大，，，，', '短评打分': 1}
{'短评内容': '不错不错，长期住的，京东顶非常划算！', '短评打分': 5}
{'短评内容': '不错不错，长期住的，京东上定便宜30！', '短评打分': 5}
{'短评内容': '好，还是好，方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '安静，就是无线网络不好用，连不起网。电视可供收看的频道太少，画面的质感差。有些频道还有雪花，手机显示连上，可网络用不上', '短评打分': 5}
{'短评内容': '带着宝宝出来玩住的这个酒店，房间设备比较新，卫生很好，很干净。 酒店整体还不错，干净，。环境也还不错 WiFi也很快，用手机看超清视频毫无压力，这点很不错。离万达广场很近，买买买很方便啊，以后来成都还住这里', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还可以，经常来，性价比有！', '短评打分': 5}
{'短评内容': '感觉还是蛮干净的，就是外面有点吵', '短评打分': 4}
{'短评内容': '连锁酒店就这样吧，服务都很不错', '短评打分': 4}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '靠路边有点吵，其他还好', '短评打分': 4}
{'短评内容': '下次出差，还会选择住在此处，非常好！', '短评打分': 5}
