{'短评内容': '早餐挺好的，样子比较多，赋予太多好，也很好停车。', '短评打分': 5}
{'短评内容': '酒店价位适中，服务态度好，吃住方便，早餐品种丰富，价位适中，比较满意，适合周末亲子游。', '短评打分': 5}
{'短评内容': '酒店价位适中，干净卫生整洁，服务态度好，酒店早餐品种丰富，价格适中，全家用餐都比较满意，孩子吃住玩很开心，适合周末亲子游。', '短评打分': 5}
{'短评内容': '早餐还不错，可以免费停车，消费实惠，服务态度也不错，。温泉票单独买，但24小时内都有效可以多泡几次。', '短评打分': 5}
{'短评内容': '不错，还送了苹果和矿泉水，保安很好指挥停车，总体都不错。', '短评打分': 5}
{'短评内容': '值得休闲度假。不错的酒店，很好，体验很，不错的，早晚都很舒服，早餐，很好，房间。干净，整洁，很多吃的，很喜欢，。', '短评打分': 5}
{'短评内容': '酒店还可以，肚子很差', '短评打分': 3}
{'短评内容': '感觉不错。回头点评有点忘了', '短评打分': 4}
{'短评内容': '交通便捷，服务良好，环境不错', '短评打分': 5}
{'短评内容': '房间设计很不错', '短评打分': 5}
{'短评内容': '很好，孩子喜欢', '短评打分': 5}
{'短评内容': '总体来说不错！早餐可圈可点，也可能是和我口味！', '短评打分': 4}
{'短评内容': '总体不错，玩得很好，就是吃的东西差点，没啥可吃的！', '短评打分': 4}
{'短评内容': '这个价格也就是在温泉度假村里，没办法，没得选择，五百多元真不值！房间小，房间里的设施陈旧，不推荐', '短评打分': 3}
{'短评内容': '环境不错！就是阴面有火车声。服务员告诉说预定时可以说明要阳面就不会感觉吵了。服务态度都不错挺好的。晚餐自助28一位也不错，有好多可以下酒的小菜，下次温泉就是这里了！嘿嘿', '短评打分': 5}
{'短评内容': '感觉还行，周围没有什么吃的，餐厅饭菜还算可口，住得还不错', '短评打分': 4}
{'短评内容': '在温泉里算比较好的酒店比周围的别的地方好', '短评打分': 5}
{'短评内容': '加我以予6月18日入住怡馨园会馆，今日退房，什么时候给我返消费券，我怎么才能收到。', '短评打分': 3}
{'短评内容': '酒店硬件设施很好，酒店有温泉，只是面积太小，节假日人太多。', '短评打分': 5}
{'短评内容': '温泉宫不错，如果住店可以包含温泉宫门票就更好了。人很多，清明小长假去的连鞋柜都没有了，排队一个多小时，期间各种人各种找关系插队，连泡温泉都得走后门了。按摩技师水平有待提高。', '短评打分': 5}
{'短评内容': '酒店不错,就是床小了点.', '短评打分': 3}
{'短评内容': '酒店不算大，房间偏小。假日温泉人多，晚上好点，办理入住服务人员应该多点，提高效率。', '短评打分': 5}
{'短评内容': '酒店的温泉很不错，位置在怀来县城与桑园镇中间，周围还有其他几家温泉可选。\n酒店附近不远的沙营村可以采摘葡萄，呵呵', '短评打分': 5}
{'短评内容': '附近三家温泉宾馆中这家是装修最好的。但这家宾馆离火车道太近，只有二十来米，大多数房间都是这样。而且酒店总台服务态度一般，不怎么热情。', '短评打分': 5}
{'短评内容': '房间及其贵，对于住宿的客人还没有优惠！慎重', '短评打分': 1}
{'短评内容': '设施及其简陋，价格还很高，有的温泉流通性不好。三思', '短评打分': 1}
{'短评内容': '温泉特棒!门票也不贵！\n附近的永定河河谷特田园，好多葡萄架，和那个法国的啥啥啥谷地挺像的！\n挺美！', '短评打分': 5}
{'短评内容': '温泉很不错！门票只有58，价格也比较合适！\n宾馆就在火车道边，过火车的声音听的很清，睡觉怕吵的人感觉会很不舒服！\n小时候家离火车道比较近，听惯火车声音的人，感觉是一种享受，很怀旧的那种味道！', '短评打分': 5}
{'短评内容': '性价比高  酒店很新  游泳馆值得去  就是离火车道太近', '短评打分': 3}
{'短评内容': '服务员的素质很差！前台的服务员整天在那看电视，客人喊都没人理你！\n早餐不是差，是很差！稀的只有小米粥和冲的奶粉！奶粉倒是好长时间没喝过啦！记忆中超市里好像婴幼儿和老年人奶粉多一些，成年人喝的奶粉确实没有喝过！', '短评打分': 1}
{'短评内容': '周围都是大片大片的葡萄园，远处是群山，官厅水库，风力发电机高高的架子。。。很田园的！', '短评打分': 5}
{'短评内容': '服务还好', '短评打分': 3}
{'短评内容': '硬件设施一般，不过也许在当地已经不错了，服务态度一般。。。', '短评打分': 5}
{'短评内容': '酒店很不错  离温泉很近  设施还不错 三人间赠三个早餐很给力!!!\n\n就是离火车道近了点 但是睡着的时候神马都听不见了 ~~~\n\n下次还会住!', '短评打分': 5}
{'短评内容': '服务员死板，上午11点打电话问是否要退房，我说是否可以延时到14:00，他说不可以，我说找你们大堂副理，前台人员说没有，我说找你们前厅部经理，他说也没有。说只有2个领班，结果退房过了7分钟，愣是多收了我半日房费。穷山恶水出刁民啊！', '短评打分': 1}
{'短评内容': '酒店环境和设施还不错，就是温泉宫有点小,人一多就没什么可泡的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '＋标准房间少', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '这里能泡温泉，感觉挺不错，价格也挺合理，还是值得推荐的。', '短评打分': 5}
{'短评内容': '卫生方面还不错，房间打扫的挺干净，床单被子弄也挺整洁，这点很满意。', '短评打分': 5}
{'短评内容': '酒店感觉挺正规，管理挺好，安全性很高，服务卫生也不错，主要是泡温泉挺实惠的。', '短评打分': 5}
{'短评内容': '酒店还不错，房间挺干净，热水质量也挺好，服务人员态度也很好，很热情，感觉很亲切。', '短评打分': 5}
{'短评内容': '最负责的是保安，指车辆很负责。', '短评打分': 3}
{'短评内容': '住处后面火车，住宿内噪声卡太大，严重影响休息。', '短评打分': 1}
{'短评内容': '不错的温泉，不错的酒店，早点品种偏少，床有点小', '短评打分': 5}
{'短评内容': '不错的，温泉挺干净 比北京其他地方好~', '短评打分': 5}
{'短评内容': '酒店环境很舒适,当时去就主要是为了泡温泉,所以整体感觉还是比较满意的,要是酒店能提供有烤鱼的地方就好了.', '短评打分': 3}
{'短评内容': '酒店不错 ，挺新的 ，也很干净，就是床小了点儿。呵呵！', '短评打分': 5}
