{'短评内容': '挺好的。。。。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '这酒店网络一团糟 强烈建议 携程把网络网速放到评价星际上。强烈建议。网络慢还没法解决。退房还不能退。非常糟糕', '短评打分': 4}
{'短评内容': '哎！', '短评打分': 1}
{'短评内容': '如果出来玩的话不建议推荐，离市区真是相当远了，坐公交车最快得一个小时四十分钟， 但是如果在武清的话，还是值得推荐的。  订单上面没有写有没有窗，客服说特价房无窗，因为我们去的比较早大概八点多就到了，看手机发现两点之后才可以入住，但是我们早上去了就安排入住了，这一点真的非常棒了，有没有窗也没有什么大碍，睡觉很方便，有点黑。  卫生很干净， 照片的话忘记拍了 。哈哈哈哈哈', '短评打分': 5}
{'短评内容': 'Wi-Fi信号不好、一般吧.也就那样', '短评打分': 3}
{'短评内容': '还不错，比较卫生，窗户很大，早上阳光明媚', '短评打分': 5}
{'短评内容': '舒适不错，价格优惠。下次还去', '短评打分': 5}
{'短评内容': '环境可以，价格稍贵。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店设施有点差，卫生很一般。', '短评打分': 4}
{'短评内容': '酒店设施有点差，卫生很一般。', '短评打分': 4}
{'短评内容': '酒店设施有点差，卫生很一般。', '短评打分': 4}
{'短评内容': '环境不错，也很干净', '短评打分': 5}
{'短评内容': '酒店还是挺好的，本以为会很乱，但是没有失望。出行方便，距离我要去的地方只是几步', '短评打分': 5}
{'短评内容': '交通位置好，卫生好，房间很大，电梯1台不太方便。', '短评打分': 5}
{'短评内容': '酒店周围及晚上休息环境不好，卫生间、房间装修也不好。', '短评打分': 1}
{'短评内容': '很好的酒店，服务周到，设施齐全，房间很大，很温馨，值得推荐！', '短评打分': 5}
{'短评内容': '酒店整洁,服务态度好.下次还会入住.', '短评打分': 3}
{'短评内容': '很好，干净卫生', '短评打分': 3}
{'短评内容': '房间还行，就是没窗，有停车场，卫生间设施差点，房间隔音效果不好，早上很早就被吵醒了', '短评打分': 3}
{'短评内容': '这个速8酒店太差了，在网上预订的客房到了给安排的都是最最不好的房间，没有窗户，墙皮都脱略了。当时定了两间都是如此。那天孩子考试有的家长没有预订房间，价钱还不贵房间很好，窗户特别大。这个后悔.....最可气的是退房走的时候把我们6人捆在电梯里面长达15分钟，电梯里特别热 差点出事。', '短评打分': 1}
{'短评内容': '交通方便，其他没什么可说的~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '环境不错，也很干净，性价比高，就是上下楼不太方便。', '短评打分': 5}
{'短评内容': ' 经济方便', '短评打分': 3}
{'短评内容': ' 前台服务很好，房间卫生一般，网速较慢', '短评打分': 3}
{'短评内容': '酒店的服务员服务态度很好，我订的是经济单人间，到店的时候没有了，免费升级成商务房，服务员也很耐心，而且有问题会及时解决，真的很好，价格经济实惠，好评。', '短评打分': 5}
{'短评内容': '特价房没有窗户，闷', '短评打分': 3}
{'短评内容': '这家宾馆服务一点都不好。。我预定了两天的特价房。。他们就只算一天，，下次在也不会住速8了', '短评打分': 1}
{'短评内容': '还不错150没有了，换198元的', '短评打分': 3}
{'短评内容': '卫生间推拉标识都会弄错', '短评打分': 3}
{'短评内容': '浴室排水有问题，易滑倒', '短评打分': 3}
