{'短评内容': '房间上面有老鼠。除了这个基本都好', '短评打分': 5}
{'短评内容': '什么都好 就前台让人烧脑，大早上跟其他客人吵起来，开个票开半小时，慢……', '短评打分': 4}
{'短评内容': '干净清爽舒适的宾馆，还会继续预定', '短评打分': 5}
{'短评内容': '网速快点就更好了', '短评打分': 5}
{'短评内容': '环境服务都挺不错的', '短评打分': 5}
{'短评内容': '继续续住，出差就是考虑方便安全，房间干净，每天打扫很积极。晚上背对马路房间还是很安静的。房间大小觉得还可以。', '短评打分': 4}
{'短评内容': '在这家酒店续住，换了一个标间，和单人间价格一样。空间还算可以，卫生很好很干净。周围小吃挺多的，交通有点不方便，附近好像没公交车站。', '短评打分': 4}
{'短评内容': '在这个酒店住过一次了。这是第二次入住，价格优惠，房间挺干净。周边感觉倒是没什么逛的，可能要去远一点。', '短评打分': 4}
{'短评内容': '没有吹分机，刚进门时发现好几只蟑螂在爬', '短评打分': 4}
{'短评内容': 'too old ,just so so', '短评打分': 2}
{'短评内容': '感觉还一般般，酒店里的陈设有点旧了，估计是装修比较久的缘故。其他觉得还可以的吧。毕竟价格也还可以的。', '短评打分': 5}
{'短评内容': '酒店较陈旧，房价有异味，空调噪音厉害 不过这价格也就这样了!', '短评打分': 3}
{'短评内容': '还行吧，武义没有什么好的就酒店，附近吃饭方便！', '短评打分': 4}
{'短评内容': '安静舒适干净，早餐清口美味', '短评打分': 5}
{'短评内容': '安静舒适干净，早餐清口美味', '短评打分': 5}
{'短评内容': '交通便利，停车安全，酒店设施服务与价格对等', '短评打分': 4}
{'短评内容': '酒店很新，比较干净、床、被的感觉很舒服，服务员的态度很好。价格很实惠，值得再次入住！麻将很大很新，不过麻将桌子受潮，开始不够灵光，折腾了20来分钟才搞定。以后要注意防潮。', '短评打分': 5}
{'短评内容': '酒店很新，比较干净、床、被的感觉很舒服，服务员的态度很好。价格很实惠，值得再次入住！', '短评打分': 5}
