{'短评内容': '非常的不错！！！', '短评打分': 5}
{'短评内容': '还可以还行', '短评打分': 5}
{'短评内容': '房间干净卫生面积宽敞，淋浴水很大爽', '短评打分': 5}
{'短评内容': '就在步行街门口，交通等都很方便。', '短评打分': 4}
{'短评内容': '还行！', '短评打分': 4}
{'短评内容': '隔音不好！有股味道！', '短评打分': 5}
{'短评内容': '一直住这家，不错', '短评打分': 5}
{'短评内容': '服务不错的！', '短评打分': 5}
{'短评内容': '下水道堵塞，装修时间久了', '短评打分': 4}
{'短评内容': '酒店地理位置挺好 离步行街很近 走去逛逛挺方便 房间很小空调声音太大了 影响睡觉 房间内设施太差了 洗手水龙头漏水 淋雨的喷头也漏水 卫生间的门手 一碰就掉了 酒店太老旧 目前大堂正在装修呢 ', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '因为堵车无法到达目的地，中途落脚驻扎。酒店位置就在闹市区步行街。很便利。酒店设施很一般。一般干净程度。房间偏小。', '短评打分': 4}
{'短评内容': '地理位置不错，出行方便。周围餐饮很多。下次还会入住。', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '还可以，逛街比较方便。', '短评打分': 4}
{'短评内容': '服务还好，房间有点小，但还算值得这个价。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间小，隔音效果不好，但还算干净。地理位置方便。', '短评打分': 3}
{'短评内容': '服务不杂的，卫生还好，房间较小，上电梯要刷房卡相对较安全。', '短评打分': 3}
{'短评内容': '性价比不错，原以为那么中心地段，停车肯定不方便。哪知道后面有停车场，很方便停', '短评打分': 5}
{'短评内容': '很乾淨舒適且很新的的一家快捷酒店,缺點是隔音比較不好!!性价比佳!!', '短评打分': 5}
{'短评内容': '房间超级大vv，不过紧临马路，隔音效果差一点，上网是有线的。', '短评打分': 5}
