{'短评内容': '房间设施有点老了，其他都可以', '短评打分': 5}
{'短评内容': '早餐丰富，服务态度好，位置好，酒店设施也很不错', '短评打分': 5}
{'短评内容': '房间干净 ，很暖和， 热水充足， 下了火车站就能看见  。位置好找，周边也不乱，晚上很安静。很好的', '短评打分': 5}
{'短评内容': '房间干净，服务好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错不错很好不错', '短评打分': 5}
{'短评内容': '不错不错很好', '短评打分': 5}
{'短评内容': '京东服务好，京东服务好', '短评打分': 5}
{'短评内容': '只要去哈密我就一直住这个酒店，性价比高，离火车站很近，交通也方便，房间的软硬件设施完事', '短评打分': 5}
{'短评内容': '很好很满意，住的很舒服，赞一个，有需要还会再来的！', '短评打分': 5}
{'短评内容': '舒服的不得了耶~大床，电脑桌，小冰箱，超级舒服咯', '短评打分': 5}
{'短评内容': '这是我住过最烂的酒店。订单的时候我看是4星啊，这怎么连别家2星级的都不如？\n厕所脏，马桶摇晃\n进门地板空心，一踩就量墙壁下角灯\n冬天还没结束，房间不热，中央空调开了一个小时还是冷风', '短评打分': 1}
{'短评内容': '火车站边环境不好。性价比还行', '短评打分': 3}
{'短评内容': '還可以...房間設備略微陳舊了........其他還好啦！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '位置方便，房间还行，离火车站近', '短评打分': 4}
{'短评内容': '离火车站比较近，位置还算方便', '短评打分': 4}
{'短评内容': '酒店还可以，还给送了两水果', '短评打分': 4}
{'短评内容': '靠近火车站，位置不错，这样的价格非常实惠，', '短评打分': 4}
{'短评内容': '靠近火车站，位置不错，这样的价格非常实惠，', '短评打分': 4}
{'短评内容': '靠近火车站，位置不错，这样的价格非常实惠，', '短评打分': 4}
{'短评内容': '银好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '早餐很不错，卫生间干净，房间稍微有点小，不过还可以', '短评打分': 5}
{'短评内容': ' 酒店还行，价格有点高，网络不太好', '短评打分': 3}
{'短评内容': '哈密禾禾酒店服务很好，房间设施很新，不错！', '短评打分': 3}
{'短评内容': '在哈密算是很数一数二的酒店，就在火车站对面，但是不嘈杂，还不错，推荐。一楼西餐自助，二楼火锅，3楼有点菜，比较方便。就是自助太贵了，98一位', '短评打分': 5}
{'短评内容': '服务态度好，干净', '短评打分': 3}
{'短评内容': '服务周到，硬件设施一般，房间有点小，价格高', '短评打分': 5}
{'短评内容': '这是标准的商务酒店，靠近火车站，开车 出行和停车也方便。但不感觉周围很乱。房间很大，也很干净。早餐不错，特色是新疆酸奶。周围各种快餐很多，但要吃炒菜就要走很远的路。有个豆捞在同一个楼里，味道不错', '短评打分': 3}
{'短评内容': '酒店一般，但位置很好。酒店也很诚信。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '酒店安全、舒适、服务一般，价格太贵，而且信用卡不能刷预授权只能刷消费。不太合理。整体达不到4星酒店标准，希望能改善。', '短评打分': 1}
{'短评内容': '来回住了两次，下次有机会一定换个酒店试试。印象最好就是早餐咯。还有面档可以吃面。', '短评打分': 5}
{'短评内容': '在哈密没有更多的选择咯！细节有待改善。早餐不错', '短评打分': 5}
{'短评内容': '酒店品质不错，早餐还可以。但是入住时前台男服务员态度稍差。', '短评打分': 5}
{'短评内容': '正对火车站，酒店的硬件不错，达到四星酒店的水平，自助早餐也很好。', '短评打分': 5}
{'短评内容': '价不符实，硬件和装潢更象快捷酒店。', '短评打分': 3}
{'短评内容': '在哈密这就是很不错的酒店了，不想换地方了，所以又住了一天。', '短评打分': 5}
{'短评内容': '房间设置不合理，洗脸池不在卫生间而在客房。餐厅（二楼豆捞）服务极差，20点前点的套餐，为的就是上菜快点，结果到21点都没上一个菜；饭没吃完，服务员，吧台，后厨，结账就轮番撵人，这顿饭吃的那个腻味。', '短评打分': 1}
{'短评内容': '酒店还行，就是不要住低楼层，这里的三楼是一个ktv，晚上10点多开始就有人开始嚎叫了。', '短评打分': 5}
{'短评内容': '很不错的酒店，服务态度，客房设施，舒适度一流。', '短评打分': 5}
{'短评内容': '非常舒服，服务一流。哈密禾禾商务酒店好极了。', '短评打分': 3}
{'短评内容': '整体还可以，就是网络要密码，因为是凌晨到原故，服务员也不懂，最终还是登录不上，有点遗憾', '短评打分': 3}
{'短评内容': '房间设施，服务都不错，就是对面火车老是鸣笛叫早！', '短评打分': 3}
{'短评内容': '不错 电脑是一体机 房间虽然小但是设计的还不错', '短评打分': 5}
{'短评内容': '总体来说还行', '短评打分': 3}
{'短评内容': '房间有股霉味！', '短评打分': 3}
