{'短评内容': '挺好的，下次继续', '短评打分': 5}
{'短评内容': '酒店服务很好，房间设施好，早餐丰富。', '短评打分': 5}
{'短评内容': '酒店房间很大，设施不错，早餐丰富。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错，下次出差还住这儿！', '短评打分': 5}
{'短评内容': '还不错，就是房间电子秤是坏的，', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '很好，也不贵，四星级酒店，房间很大也很舒适', '短评打分': 3}
{'短评内容': '服务及差，无动于衷，客户的问题好服务员无关的状态，慎住！', '短评打分': 3}
{'短评内容': '当地企业的协议价比携程低多了', '短评打分': 5}
{'短评内容': '赉', '短评打分': 3}
{'短评内容': '设施环境都不错，干净卫生，下次还住这里。', '短评打分': 3}
