{'短评内容': '酒店停车场出来居然没有保安，车辆识别不了，服务不太好', '短评打分': 1}
{'短评内容': '去朋友那边玩，住了几天，非常好，前台服务也好。', '短评打分': 5}
{'短评内容': '网络很差，环境也不怎么样', '短评打分': 3}
{'短评内容': '中规中矩的一家酒店', '短评打分': 5}
{'短评内容': '酒店早餐不错！房间很大！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '住着还算满意，就是没什么优惠。', '短评打分': 5}
{'短评内容': '还可以还可以还可以还可以还可以还可以', '短评打分': 5}
{'短评内容': '总体还行，设施可以，房间也可以，价格划算。给朋友订的。唯一一点，早餐厅服务员不够认真，朋友付了钱的，我进去时也没提醒', '短评打分': 4}
{'短评内容': '服务很及时。', '短评打分': 4}
{'短评内容': '出差首选，入住多次，t挺好', '短评打分': 5}
{'短评内容': '不错，一直住着个酒店，第一次用京东定，优惠大', '短评打分': 5}
{'短评内容': '不错，一直住着个酒店，第一次用京东定，优惠大', '短评打分': 5}
{'短评内容': '不错的酒店，非常舒适。', '短评打分': 5}
{'短评内容': '酒店一般般，服务态度一般般', '短评打分': 5}
{'短评内容': '环境很不错，还会再过来的。', '短评打分': 5}
{'短评内容': '酒店很好，第一次在网上订酒店，很满意', '短评打分': 5}
{'短评内容': '服务很不错', '短评打分': 5}
{'短评内容': '位置还不错。', '短评打分': 5}
{'短评内容': '酒店的软硬件设施都不错，推荐！下次还会入住。', '短评打分': 4}
{'短评内容': '环境不错，周围吃饭的地方挺多，离高铁站很近', '短评打分': 5}
{'短评内容': '离武汉车站 欢乐谷比较近 周围环境也不错 酒店装修不错 干净 服务也很好 满意 因为在市区 周围没有什么好逛的 适合商务出行', '短评打分': 5}
{'短评内容': '还行吧，周边没其它同档酒店，只能选这家。', '短评打分': 4}
{'短评内容': '条件不错，性价比也很高，环境舒适', '短评打分': 5}
{'短评内容': '#ud83d#udc4d#ud83c#udffb该区最好的酒店吧！', '短评打分': 5}
{'短评内容': '已经第三次短时间入住了，感觉不错，服务周到细心！', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '太偏僻，服務不怎樣', '短评打分': 3}
{'短评内容': '该酒店 房费在该地区最高,但进入酒店 没有任何星级标注.前台服务的男员工服务态度和质量极差,客人问,你们这个酒店应该有个收押金的标准,有个姓谭的男主管,我们没有标准,想怎么收就怎么收,还恶很很地说,你可以不来住,没有 人请你来住! 我不知道,现在服务业竞争如此激烈,还有这种低素质的员工!有这样员工的酒店,垮台估计不远了....,原来叫万豪,现在改名丽豪,以后估计叫泪豪了...', '短评打分': 2}
{'短评内容': '该酒店 房费在该地区最高,但进入酒店 没有任何星级标注.前台服务的男员工服务态度和质量极差,客人问,你们这个酒店应该有个收押金的标准,有个姓谭的男主管,我们没有标准,想怎么收就怎么收,还恶很很地说,你可以不来住,没有 人请你来住! 我不知道,现在服务业竞争如此激烈,还有这种低素质的员工!有这样员工的酒店,垮台估计不远了....,原来叫万豪,现在改名丽豪,以后估计叫泪豪了...', '短评打分': 1}
{'短评内容': '服务好的超过五星级饭店  反正都特别赞', '短评打分': 5}
{'短评内容': '酒店很给力，有机会去武汉还会入住！', '短评打分': 5}
{'短评内容': '代朋友订购的，评价极好。以后有机会争取亲自来住感受一下。', '短评打分': 5}
{'短评内容': '酒店的硬件设施一流，软件服务也很好。小提示，在武汉高铁站下车后，可以先联系预约酒店接送，这项服务超好啊。', '短评打分': 5}
{'短评内容': '酒店设施很新，中央空调全部覆盖，服务生很热情，自助餐很不错。就是地址比较偏僻', '短评打分': 5}
{'短评内容': "地理位置偏僻了一点'不过'在青山区来讲硬件设施不错。服务生也很热情。", '短评打分': 5}
{'短评内容': '1.酒店新开张，外观很气派，设施物品崭新。\n2.服务生非常热情好客，令人有宾至如归之感。\n3.地段不错，近武汉火车站和欢乐谷，乘坐高铁便利。\n4.早餐环境佳，品种多，味道好。\n5.房间遮光布不够遮光，可考虑改进。\n总之，不错，值得推荐。', '短评打分': 5}
{'短评内容': '豪华房为什么早餐是一份呢？窗帘透光~\n其它还可以', '短评打分': 5}
{'短评内容': '新酒店，干净舒适，服务态度好，窗帘的遮光力度不强，总之住起来还是很舒服的！', '短评打分': 3}
{'短评内容': '该酒店地理位置，到武钢办事方便。\n房间整洁优雅，3月份刚开张，设施较新，但可能由于通风少的原因，室内空气较差，要自己开窗或空调换气。\n同样是高级大床房，我住的六楼房间比四楼同事的至少要宽一米（床头至电视墙方向）。另外，窗帘没有遮光层，早上因为阳光，让人很早醒来，想多睡会都难哦！强烈建议，更换窗帘。\n其他都还不错，下次还会再来。当然，下次窗帘已经更换或增加了遮光层，就更好了！\n感谢酒店工作人员的热情', '短评打分': 5}
{'短评内容': ' 不错，天际万豪的床很舒服！', '短评打分': 3}
{'短评内容': '青山地区最好的酒店，设施按五星标准，较高。服务规范。房间略有新装修的气味，房门隔音不是太好。。', '短评打分': 5}
{'短评内容': '最便宜的高级间，图片与实际不符。而且实际非常小，根本没有25平米，和7天酒店的房间差不多，非常不满意。订了两间，另外一间升级到豪华房。高级与豪华的差价非常小，但是房间差距太大。而且每层才一间高级间,实为犄角旮旯。建议店方不要把这个房间拿出来卖，不如作为工作间。酒店设施较新，早餐中规中矩，餐厅价格和味道尚可。离欢乐谷非常近。另外，房间里有蚊子。', '短评打分': 5}
{'短评内容': '新开业的酒店，性价比极高。设施新，床品卫浴品质，服务也可以，早餐简陋了些。交通方便。', '短评打分': 5}
{'短评内容': '感觉很一般，特别是早餐，和门面根本不配。另外这个店的房卡超贵，搞丢了的话要一百元。入住后一定要保存好自己的房卡。', '短评打分': 3}
{'短评内容': '总体不错  服务很好  需注意细节  如浴室内无搁物架  再来首选', '短评打分': 3}
{'短评内容': '新开不久 还有点味道 地方也有点偏 离欢乐谷很近 在青山办事情 很方便  酒店服务不错 早餐也是很赞的 和5星级酒店媲美 我住的房间没有浴缸 没有咖啡 酒店也没有游泳池\n总体评价4星半  刚刚开 价格很优惠 总体比较赞', '短评打分': 5}
{'短评内容': '武汉天际万豪大酒店不错，近高铁站，方便干净，价格适中。', '短评打分': 3}
{'短评内容': '服务相当好，新装修，稍微有点味道。其他都还可以', '短评打分': 5}
{'短评内容': '2012年3月份新开的酒店，准五星级，网速超快，装修豪华，值得来住。', '短评打分': 5}
{'短评内容': '此酒店设施好，服务好，早餐丰盛，交通便利，价格适中，值得一住。', '短评打分': 3}
{'短评内容': '酒店服务还过的去，房间味道有点大，门锁的保险失灵，酒店的洗脸毛巾会掉毛，酒店提供的早餐还是很好的。', '短评打分': 3}
{'短评内容': '青山区实在没有什么其他更好的选择，正好看见这家，还新开张，决定试试。\n就住一晚，高级间大床。门口的仁和路正在翻天覆地的修，尘土飞扬啊！\n房间大，设施新，灯光漂亮，床不是一般的大，被子枕头都很舒服，我178的个头只睡了床的一个角落。\n网速快，电视机大（三星）。硬件都不错，就是这个天气空调没有一点效果，晚上有点凉。\n再说早饭，环境和服务都不错。和欧洲一样，引导员从门口会陪着你来到就餐的位置上，并问你需', '短评打分': 5}
