{'descr': '好', 'star': 5}
{'descr': '环境还不错，没有早餐，这次住是在14楼，床铺还挺大的，卫生也不错，停车位没注意不清楚，送的小礼品不好。', 'star': 5}
{'descr': '唯一一点不满意，是室内只有浴巾没有洗脸帕', 'star': 4}
{'descr': '酒店位置比较方便', 'star': 4}
{'descr': '干净，服务好，房间大', 'star': 5}
{'descr': '房间挺大的，进去也没有太大的味道，很宽敞，很舒心', 'star': 5}
{'descr': '南京不大，其实只要是城中间地带靠近地铁的都很方便，这家店从大路进来店标被其他遮挡严重，整栋楼貌似只有四层是他家的，房间内部环境还可以，服务也还行，整体满意！', 'star': 5}
{'descr': '京东自营品质值得信赖 优惠多多 感谢京东小哥！赞一个?', 'star': 5}
{'descr': '环境优雅，室内卫生条件好。设备齐全。7天的品质有保证', 'star': 5}
{'descr': '那么破的小房间收两百多还不是旅游旺季简直是有毒，服务也很一般很一般，遇到的两个前台都是给人映像不好的。', 'star': 2}
{'descr': '房间很一般，所以145这个价钱也就勉强可以接受，但是服务真的很一般，感觉很不好，和同类型酒店的服务一对比，差价马上就出来了。', 'star': 3}
{'descr': '还行吧 正常酒店的样子咯 这个价格就是这个样子的咯没有太好没有太坏正常样子的啊 还可以吧 凑活可以住', 'star': 4}
{'descr': '位置不错，周末订的话还有点紧张。但是房间实在太小了，浴室尤其小，水龙头的水还忽冷忽热，勉强算是凑合吧。', 'star': 4}
{'descr': '地理位置不错，离地铁站比较近。环境还可以。', 'star': 4}
{'descr': '房间不大，有蚊子，到店比较晚，没送睡前牛奶。', 'star': 5}
{'descr': '总体还行吧，下次还会选择', 'star': 4}
{'descr': '服务还好，性价比较高', 'star': 3}
{'descr': '服务还好，性价比较好', 'star': 3}
{'descr': '地理位置很好，距离新街口走过去就几分钟的路，房间有点陈旧了，不过新街口这边大多宾馆都比较陈旧，前台是位帅哥，服务态度很好', 'star': 5}
