{'descr': '精力实惠  随便住住还是可以接受的', 'star': 5}
{'descr': '这个高低铺很有意思，挺好玩的，电视在下铺，不看也罢，不能加床，早饭没在宾馆吃，总体来说还行，没窗户比较闷，空调只有热风', 'star': 5}
{'descr': '还可以吧', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '非常好的体验，谢谢京东，给这么完美的东西', 'star': 5}
{'descr': '房间漏水。。', 'star': 1}
{'descr': '环境很好，价格适中。', 'star': 5}
{'descr': '这个怎么说呢  睡觉还行  东西有点老旧  外面灯光昏暗', 'star': 5}
{'descr': '很好，5分  很好，5分', 'star': 5}
{'descr': '屋里好几个虫子', 'star': 3}
{'descr': '一般般啦一般般', 'star': 5}
{'descr': '集中供暖？房间温度不好调，热的根本没发喘气', 'star': 4}
{'descr': '位置比较好，旁边就是玄武湖，前面还有一个小商圈，就是没有地方吃早餐，而且没有电梯，走廊里的吹风机也不好使，总体还可以！', 'star': 5}
{'descr': '位置比较好找，离地铁站10分钟就到了，旁边就是玄武湖，缺点是没有电梯，走廊里的吹风机也没有好使的，多亏不是冬天来住！！', 'star': 5}
{'descr': '很差，不值得推荐，找个房间跟迷宫一样', 'star': 3}
{'descr': '房间很小真的只有十平左右。没有电梯，只能自己拎着箱子上楼。位置还可以，在玄武湖和鼓楼两站地铁中间。去玄武湖，和逛湖南路小吃街都还挺方便的，可以步行到达。楼道和房间内的有几米的绘画涂鸦，感觉还不错。', 'star': 4}
{'descr': '性价比很高，基本每次出差都是住这，离地铁站走路15分钟路程', 'star': 5}
{'descr': '房间很小，但是上下铺很有特色，住三个人都没有任何问题。周边设施还可以，什么都有，就是距离两边地铁站都远了一点。', 'star': 5}
{'descr': '房间太小了点 马马虎虎', 'star': 4}
{'descr': '性价比很高 每次来南京都住这里。不过相隔一周，这次的返现比上周少了4元，不知道为何', 'star': 5}
{'descr': '性价比不错，离玄武湖公园很近，周边吃饭很方便', 'star': 4}
{'descr': '不错~还会来~不错~还会来~不错~还会来~不错~还会来~不错~还会来~不错~还会来~不错~还会来~不错~还会来~', 'star': 5}
{'descr': '汉庭也就那样。。。。。睡觉还行。其他就不说了。市区的酒店这个价格也就这样。', 'star': 5}
{'descr': '汉庭也就那样。。。地方太小。不过市区也就那个价格了，就是老旧了点。。', 'star': 5}
{'descr': '很不错。房间有无线网和有线网。比较赶紧。舒适。大厅娱乐设施丰富。', 'star': 5}
{'descr': '很不错的一家客栈，住过两次了。真正的物美价廉，特价大床房才79元，不是特价也不过129元，在市区里汉庭旗下算很便宜的了。大堂让你有特别温馨的感觉，房间也很整洁干净，交通发达，旁边就是湖南路。推荐推荐！！！', 'star': 5}
{'descr': '很有爱的客栈，在大厅很舒服的感觉，累了一天，是一个很好的休息地，特别适合晚上下雨不知道到哪里去的时候，就是床有点小，如果需要大床，睡相不好的人，这个床有点小的，本人还是很喜欢！', 'star': 5}
{'descr': '舒适干净，环境挺好,服务好，交通方便，设施较齐全', 'star': 5}
{'descr': '位置不错，有点小贵，要是可以用优惠券就好了，客栈还是实惠点比较好哈', 'star': 5}
{'descr': '旅店环境非常好，工作人员的服务态度也很好，我非常满意。\n喜欢南京，喜欢汉庭海友客栈，对于青年旅客，尤其是学生，这是个不错的选择！！', 'star': 5}
{'descr': '不错，干净，就是空间小了点，价格还是不错的，性价比高', 'star': 5}
{'descr': '主要还是便宜啊，在南京接近闹市的地方有这种价格的房间很不容易了，汉庭旗下的，服务卫生什么的都不错', 'star': 5}
{'descr': '环境不错，就是房间味道有点大', 'star': 3}
