{'短评内容': '房间很干净，前天服务也很好', '短评打分': 5}
{'短评内容': '不错，便宜，房间设备应该有的都有，空调热水器都比较给力，离地铁站步行可达。缺点是电视可以收看到的频道太少了，不过在现在这样一个网络发达的时代也无所谓了。WIFI还不错。', '短评打分': 5}
{'短评内容': '不错不错，房间很暖和，窗子关上就很安静，适合单身狗，隔壁搞事情的能不能关窗户，能不能不吵架，能不能不抽烟', '短评打分': 5}
{'短评内容': '还不错，便宜又实惠，普通快捷酒店有的他都有，麻雀虽小五脏俱全，空间比较小，累了睡一觉还是美问题，要不要再住一晚', '短评打分': 5}
{'短评内容': '房间太小，卫生间没有插座，吹风机为何不放卫生间呢，吹头发没法照镜子啊，谁家吹头发不照镜子？', '短评打分': 4}
{'短评内容': '给我的712客房，临街。晚上有车经过的话非常的吵。感受非常的差。不会在住了。', '短评打分': 3}
{'短评内容': '便宜，实惠，交通便利，不错！', '短评打分': 5}
{'短评内容': '很好的环境很好的服务！', '短评打分': 5}
{'短评内容': '干净舒适。。。', '短评打分': 5}
{'短评内容': '很好，性价比很高', '短评打分': 5}
{'短评内容': '环境很好，这个价位已经是很不错了，服务态度也不错，还回来', '短评打分': 5}
{'短评内容': '还不错，可以的', '短评打分': 5}
{'短评内容': '房间小到不行，床直接顶住强，细细的窗户关不严，漏冷风，隔音差...不会再住了……酒店床上用品不干净，被罩有污迹！', '短评打分': 2}
{'短评内容': '房间灯光比较暗 麻雀虽小 五脏俱全  就是周围吃得没几家 出门不好打的 以后不会选这家 ', '短评打分': 5}
{'短评内容': '干净，被子很舒服', '短评打分': 5}
{'短评内容': '一个人住，很不错！', '短评打分': 5}
{'短评内容': '酒店在主路上，晚上就算关了窗户也比较乱，噪音大，影响睡眠。房价面积拥挤，根本没有活动空间，大床房竟然是没有洗漱用品的，也是醉了。床还是比较舒服的', '短评打分': 3}
{'短评内容': '差死了', '短评打分': 2}
{'短评内容': '唉，将就了一晚', '短评打分': 1}
{'短评内容': '不', '短评打分': 1}
{'短评内容': '交通方便，就是有点吵。没办法！实惠', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间太小，太潮湿，太吵，以后不会住了', '短评打分': 2}
{'短评内容': '不是一般的好,前台有个最漂亮的女生对人态度超好,以后来这边首选这里.', '短评打分': 5}
{'短评内容': '还行.真的还行,...............', '短评打分': 1}
{'短评内容': '给人感觉还是挺温馨舒服的，房间租的时候没有押金，当然没有可以播出外线的电话。房间的电话只能拨内线。另外卫生间的布帘子如果可以的话就换掉，有些不方便，水会弄出来。另外厕所最好有一个门可以关上的，直接打开不太方便', '短评打分': 5}
{'短评内容': '房间紧凑适中，不错，性价比在同经济型酒店中算高', '短评打分': 5}
{'短评内容': '宾馆实在太小了，宾馆什么也没有了 刷牙杯子没有', '短评打分': 3}
{'短评内容': '很新  很不错，门面有点小，在如家旁边，比较哪发现', '短评打分': 5}
{'短评内容': '前台的小姑娘挺热情的，入住的感觉不错，他们家的淋浴感觉不错。', '短评打分': 5}
{'短评内容': '房间有点小.但是很便宜，适合旅行居住。坐车到火车站不是很方便', '短评打分': 3}
{'短评内容': '很卫生，服务态度很好，无论客房还是前台，另淋浴设备较好，都是乐家的，就是衣架太少，只有三个，不过要求多加后，服务员马上多加了。实话实说，房间比较迷你，空间较小。', '短评打分': 5}
{'短评内容': '还可以  房间比较小 可能就如名字一样吧  ', '短评打分': 1}
{'短评内容': '环境还可以房间比较小，如果洗手间有个移门就好了，洗手间的水就不会到房间里了', '短评打分': 3}
{'短评内容': '一个人住还不错，房间不大，价格还算合理！', '短评打分': 5}
{'短评内容': '干净，但太迷你了，服务态度很好，就是靠近高架有点吵，是新装修的，还有些味道', '短评打分': 5}
{'短评内容': '房间比较小，但是很温馨，这是布丁的特色。喜欢那种信仰的颜色，喜欢这种活力，继续支持。', '短评打分': 5}
{'短评内容': '靠近立交桥 靠近马路的一边价格便宜 比较吵 后来升级了房型（大床房C） 安静了好多 但是房间真的是很小  袖珍型的  卫生间连门都没有的  交通比较方便   ', '短评打分': 1}
{'短评内容': '房间太小了，卫生间竟然没门，听不方便的，而且不提供一次性洗漱用品，不是很合理', '短评打分': 1}
{'短评内容': '很不错的酒店，装饰温馨，服务态度也好\n就是地方有点偏，空间比较小，不过觉得对得起价格', '短评打分': 5}
{'短评内容': '房间较小，但总体还是不错的，看着挺干净的，下次还会去', '短评打分': 5}
{'短评内容': '0还好，就是迷你了点', '短评打分': 3}
{'短评内容': '酒店环境不错，服务态度很好，交通方便，就在东站附近，性价比很高，值得推荐给朋友。', '短评打分': 5}
{'短评内容': '  这家布丁在高架旁边，还是很吵的，所以又加了些钱换了房间，感觉性价比很低，而且房间很小。', '短评打分': 3}
{'短评内容': '房间很好很干净，很喜欢，性价比很高。年轻人的最爱，房间不用太大，但足够温馨', '短评打分': 5}
{'短评内容': '房间小了些，干净。', '短评打分': 3}
{'短评内容': '装饰简单大方，虽然地方有点小，但的确不错。', '短评打分': 5}
{'短评内容': '新来的吧。干净，隔音不好，', '短评打分': 3}
{'短评内容': '酒店位置有点远，对于我们两个外地人来说找的真不容易啊，走了好多路才发现坐车可以到闸弄新村那往前走一点就是了，走好多冤枉路。酒店环境是很不错的，同样是大床A，相比西湖店的大很多，住的也舒服。还有服务态度也不错。', '短评打分': 3}
{'短评内容': '房间较小，很吵…配套基本为零…', '短评打分': 3}
{'短评内容': '酒店很温馨，图案很好看', '短评打分': 3}
{'短评内容': '布丁酒店很迷你，环境不错，住着还可以', '短评打分': 3}
