{'短评内容': '早餐付费，停车场在宾馆对面，方便，不收费。', '短评打分': 5}
{'短评内容': '早餐付费', '短评打分': 5}
{'短评内容': '离景区近，就歺方便，晚上可以停车，白天不行。老板服务态度好，很晚都有饭吃，周围环境很好，酒店还比较好找。', '短评打分': 3}
{'短评内容': '早餐挺好吃！位置不错，网上订价格更高！', '短评打分': 4}
{'短评内容': '预定的标间，到店后，老板一看我们四个人，直接给我们一个三人间，太好了，房间很大，干净，离小七孔景区很近，步行几分钟，赞', '短评打分': 5}
{'短评内容': '酒店就在镇上，是街边的餐馆 客栈型家庭式宾馆，楼下吃饭楼上住人，四周很多类似的宾馆，选择不多。房间设施一般但面积够大，作为短暂的旅游落脚处是不错的选择。', '短评打分': 3}
{'短评内容': '房间很大很干净，基本设施都有。老板人超级好，有求必应！最重要的是性价比很好！', '短评打分': 5}
{'短评内容': '房间很干净，也挺舒适的。老板的服务态度很好，因为有个地方修路，导航找不到，给老板打电话他开车过来带我们去的！店里面还可以吃饭，推荐竹笋回锅肉，好吃！', '短评打分': 5}
{'短评内容': '很近大七孔，离小七孔要步行半个小时，宾馆在街上所以很窄。', '短评打分': 3}
{'短评内容': '很不错，住的很舒服，干净舒适，热水很热，各方面都不错，楼下还可以吃饭，不用跑很远，以后来玩还会住这里。', '短评打分': 5}
{'短评内容': '家庭式酒店350太贵', '短评打分': 3}
{'短评内容': '交通方便，离大小景区很近。房间比较干净。', '短评打分': 3}
{'短评内容': '酒店位处小七孔与大七孔之间的王蒙街距小七孔约3km距大七孔约1km.能搭路过的车子去大七孔或小七孔景区很方便.我住的301房是三人间面积超大非常干净房内还有个麻将桌约上几人正好一桌麻将.酒店设施很齐全称得上是豪华房.来大七孔小七孔旅游这里是不错的落脚点向推荐大家.', '短评打分': 3}
{'短评内容': '在小镇上，这样的条件算不错了。值得推荐。', '短评打分': 3}
{'短评内容': '288的房间。没桌子没椅子。床咯吱咯吱的。枕头是黄的。厕所洗澡没地方站。第一天去前台说家里有面包车可以接送。从酒店走到小七孔要半个小时吧至少。最后一天我们早上着急赶车开车五分钟就能到老板以忙为由也没送。除了接我们到宾馆没享受到一次接送服务。主要住的环境也差。', '短评打分': 3}
{'短评内容': '用网络做生意的酒店老板，生意忙得要死！由于景区附近的酒店菜价都是统一价，所以都换不了价钱。每一家都很遵守规则。至于男老板，倒是蛮热情的。女老板娘，抠门吧，想要了她的钱刮了她的肉一样，急躁的很。没什么更多的而选择，有住的就不错了，赶紧下单，订购吧！', '短评打分': 5}
{'短评内容': '房间大，干净，农家乐那种，就是被子厚，老板热情，还开车送我们去小七孔。', '短评打分': 5}
{'短评内容': '风景秀丽，景色宜人，干净整洁，设施齐全，服务周到，态度热情。', '短评打分': 5}
