{'短评内容': '一般般 空调声音很响', '短评打分': 3}
{'短评内容': '还不错，环境很好', '短评打分': 5}
{'短评内容': '总体一般般', '短评打分': 3}
{'短评内容': '总体一般，早餐差，前台服务一般', '短评打分': 3}
{'短评内容': '早餐不错，环境也好，唯一不足浴缸没清洗', '短评打分': 5}
{'短评内容': '酒店花园式的，有车还好，酒店花园式的，有车还好，酒店花园式的，有车还好，酒店花园式的，有车还好，酒店花园式的，有车还好，', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境超好，性价比高', '短评打分': 5}
{'短评内容': '房子地理位置极好，傍边就是大禹林，房子内部的格局也挺好，感觉非常空旷，酒店在山脚下，环境非常优美！服务也不错！', '短评打分': 5}
{'短评内容': '酒店很偏僻，但风景不错，比较清净', '短评打分': 5}
{'短评内容': '很好，不错。环境幽雅。服务质量与菜肴质量都不错。是休闲好地方', '短评打分': 5}
{'短评内容': '价格不便宜，其他也真不行。。尤其吃的，。。', '短评打分': 3}
{'短评内容': '位置偏；吃的差，服务不行，设施还可以。。。', '短评打分': 2}
{'短评内容': '酒店环境很好，适合居住', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店不错，干净，空气不错', '短评打分': 4}
{'短评内容': '酒店位于绍兴城东南，对外地游客来说，比较适合自驾游，否则交通可能不便。\n我带孩子自驾住了一宿，感觉还比较满意，酒店的环境一流，硬件也很好，服务也够专业。稍微需要改进的是早餐，品种单一，连咖啡都没有。', '短评打分': 5}
{'短评内容': '酒店离开市区比较远，但环境还是可以的。比较适合自驾游的！', '短评打分': 5}
{'短评内容': '很不错的房间，不错的服务，就是因为人少，早餐不够丰富', '短评打分': 5}
{'短评内容': '酒店位置偏了点，但好在幽静，旁边是党校，是很多ZF部门的定点宾馆，所以品质不会差，大家懂的。今年刚造好，里面的环境还不错，有亭台楼阁，就是小了点。订了2间房，都是豪华型的，1间是单号，是园景房。另一间是双号，就不灵了，面对酒店的后山。\n豪华型的房间多了间衣帽间，形同鸡肋，没啥用处，除非长住。房间蛮大，但是房型不好，门开进去，床就一览无余⋯⋯，没任何阻隔，设计的不好。书台在靠门那里，电脑上不了网，直', '短评打分': 5}
