{'短评内容': '还可以接受', '短评打分': 4}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '物美价廉', '短评打分': 4}
{'短评内容': '态度差!', '短评打分': 3}
{'短评内容': '每年清明必去的酒店，是周边最干净、服务最好的了，而且价格也不贵，假如能做好设施的提升就能好了，每次都有一些设施有毛病，有待改进，建议提高早餐质量，吸引更多人食用。', '短评打分': 4}
{'短评内容': '环境一般，房间比较大，但是感觉装修稍微有点时间了', '短评打分': 3}
{'短评内容': '环境 设备设施各方面都不错、房间也听干净', '短评打分': 5}
{'短评内容': '床垫舒适度', '短评打分': 4}
{'短评内容': '不错、服务和环境很好！', '短评打分': 3}
{'短评内容': '住了几次这家店，相对还是可以，早餐要是可以改变一些就更好了！', '短评打分': 3}
{'短评内容': '房间挺大，早餐很差，而且不准时，入住两天都不能上网，说是故障在修', '短评打分': 3}
{'短评内容': '住了一星期', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
