{'短评内容': '室内条件还可以', '短评打分': 5}
{'短评内容': '房间一般', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '条件不错', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '酒店位置不错的啊，很方便的，楼下就有如海超市嗨，想去唱歌的话，楼下还有一个ktv可以去，量贩式的，价钱也不错。', '短评打分': 3}
{'短评内容': '不错的酒店，性价比很高，为了积分，不得不写满15个字！！！', '短评打分': 4}
{'短评内容': '不错的酒店，性价比很高，为了积分，不得不写满15个字！！！', '短评打分': 4}
{'短评内容': '不错的酒店，性价比很高，为了积分，不得不写满15个字！！！', '短评打分': 4}
{'短评内容': '还可以，离机场近………………………', '短评打分': 5}
{'短评内容': '小房间整洁、安静，电梯刷卡才能上去，安全有保障，经济实惠，提供简易早餐，亲朋好友过来再也不用为住宿发愁了', '短评打分': 5}
