{'短评内容': '只能说一般化，一般化。楼下是酒吧，太吵了，适合年轻人。', '短评打分': 3}
{'短评内容': '酒店位于古城内，出行非常方便，店家推荐靠沱江的房间特别棒有阳台看古城夜景太棒！古城内没有停车位酒店更没有，停车费太贵50一个车', '短评打分': 5}
{'短评内容': '客栈地理位置很好，在中游，环境不错，出门方便，离虹桥很近，就是厕所有点小……不过，古城里面的厕所估计都这个样子，所以可以接受……老板人很好，还帮忙拿行李，虽在酒吧街上，但是古城有规定晚上11点30准时噤声……所以并不打扰休息，总体不错，就是黄金周性价比低的可怜……', '短评打分': 5}
{'短评内容': '没有洗漱用品浴巾什么的，电视看不到，房间倒是干净。', '短评打分': 3}
{'短评内容': '老板人不错', '短评打分': 5}
{'短评内容': '  酒店周围环境好，外面就是河。房间也干净卫生。老板很热情。下次来就住这家', '短评打分': 0}
{'短评内容': '酒店位置很好，对面就是江，出行也很方便，就是房间陈旧，设施比较简单，一楼是老板开的银器店，他们一家人都很好，下次来凤凰还住这家。', '短评打分': 5}
{'短评内容': '还不错，就是没有洗漱用品。', '短评打分': 3}
{'短评内容': '酒店很好！环境很好！可以看江景', '短评打分': 5}
{'短评内容': '很好，位置就在古城中，而且坐落在酒吧一条街上。距离虹桥或是其他景点也很方便！老板也热情。十一出行定的，所以只订了普通大床。如果在淡季推荐江景房！！', '短评打分': 3}
{'短评内容': '价格不便宜，单间280元，窗子不是朝外的，是朝天厅的，所以透气的话，必须要开空调，而空调费要另算约', '短评打分': 3}
{'短评内容': '可以，挺好的风景不错，虽然窗户外边很多电线，但不影响欣赏美景', '短评打分': 3}
{'短评内容': '  老板很热情,位置很好,在景区江边中心位置视野很开阔,四楼有花园大阳台,房间干净整洁,下次去凤凰还住江北客栈', '短评打分': 3}
