{'短评内容': '还可以吧，然后在公园附近嗯，房间一般', '短评打分': 4}
{'短评内容': '可以的！价格实惠！', '短评打分': 4}
{'短评内容': '位置不错，但酒店比较旧，房间还算干净', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好非常满意。交通方便。洋气的设计。出乎意料的想象。早点方便。房间大，干净，卫生，整洁。', '短评打分': 5}
{'短评内容': '超级差，房间窗外有个水泵，无法入睡。', '短评打分': 3}
{'短评内容': '还可以吧，性价比还是不错的', '短评打分': 3}
{'短评内容': '在闹市区，闹中取静，挺好', '短评打分': 3}
{'短评内容': '不错，环境很好，特别公共区域', '短评打分': 3}
{'短评内容': '还可以，比外面小旅馆干净多了。', '短评打分': 3}
{'短评内容': '从街道上看上去吓了一跳，如此陈旧的房子，后悔到了极点！\n结果一进大堂美女接待员的热情让我打消了顾虑，check in手续结束进入住宿区可以用惊艳来形容我的心情，设计得太有感觉了。\n房间虽然面积小但是很温馨，房间设施也非常的齐全和别具匠心。\n唯一的缺点就是卫生间面积大了点点~~o(∩_∩)o ', '短评打分': 5}
{'短评内容': '很不错，值得一住。', '短评打分': 3}
