{'短评内容': '服务热情，房间干净整洁', '短评打分': 5}
{'短评内容': '房间太小 蚊子好几只 房间内4G信号几乎没有，但是很有特色 一半吧 不好不坏', '短评打分': 4}
{'短评内容': '位置难找，打车不方便', '短评打分': 4}
{'短评内容': '除了远没有其他的毛病，小院很温馨，服务好', '短评打分': 5}
{'短评内容': '在别墅区里面，有点难找，不过环境很好，早上起来到海边走走很惬意，早餐的话就太简单了点，适合带家人休闲度假', '短评打分': 4}
{'短评内容': '早餐一般，环境很不错，就是交通不方便，自驾车停车不是太方便，酒店是别墅型的，很有特色！非常适合家庭自驾游的朋友。推荐一下', '短评打分': 5}
{'短评内容': '环境好，交通方便！', '短评打分': 5}
{'短评内容': '环境好，交通方便！', '短评打分': 5}
{'短评内容': '环境好，交通方便！', '短评打分': 5}
{'短评内容': '环境不错，海边别墅区内的民宿酒店。服务也热情，含早餐。聊天得知这是老板的副业，所以不以盈利为主要目的，客房用品和食材都是零售渠道采购的品牌产品，用着放心。只是社区管理严格，住客进出需要等酒店接送。', '短评打分': 5}
{'短评内容': '整体感觉很不错', '短评打分': 5}
{'短评内容': '酒店温泉应该说直接可以打消泡澡的念头，因为只有一个小水池，如果里面有一个人泡着你估计就不会想下去泡了，标价房间还比较正常，大床房的话房间很小。总体来说280这个价位只能说一般吧。而且酒店进出都要坐电瓶车不是很方便。', '短评打分': 5}
{'短评内容': '除了交通不是很方便，其他都是满分，环境特好', '短评打分': 5}
{'短评内容': '酒店在小区里面，别墅改造而成。酒店提供电瓶车免费接送到小区大门口。如果自己走还是比较远。房间不大，比较干净。除了洗漱用品外，其他设施都比较普通。江南风格的庭院很不错。介绍中说到的自行车已经生锈就不要指望了。', '短评打分': 5}
{'短评内容': '太偏僻了，在里面绕了半个小时才找到', '短评打分': 3}
{'短评内容': '光环境很好，清净，可以借自行车?去海边逛逛。服务员少了些星级酒店统一培训的呆板，多了些随性的亲切。出入必有微笑和问候。温泉泡池虽小却也因为人少比较干净。藏身别墅小区内，交通方便，随时可以找前台要电瓶车接送。出小区后交通也便利。', '短评打分': 5}
{'短评内容': '在江南城小区里，卫生不错，环境也好，就是离大门远，还好，店家会用电瓶车接送', '短评打分': 5}
{'短评内容': '环境服务都不错', '短评打分': 5}
{'短评内容': '环境好，安静，干净整洁，洗漱用品全是正规商品，很好！', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店很好，环境不错，而且房间里装修得很有感觉，酒店餐厅里的家常菜也很合我们的胃口', '短评打分': 5}
{'短评内容': '来到酒店，第一感觉就是环境特幽静，房间的布置也特别古色古香，既舒适又温馨。虽然离市区较远，但餐馆的家常小菜给了我们家的温馨!下一次入住是什么时候呢?好期待!!', '短评打分': 5}
{'短评内容': '昨天下午住进来，现在在酒店花园中的长廊下上网。廊桥是架空在水面上的，左边是一池碧水，养了许多漂亮的锦鲤，右侧有假山流瀑，水声潺潺更显得花园的幽静。\n酒店位于海口最好的豪华花园社区‘宝安.江南城’的深处，社区内环境极好，处处楼台亭阁，一派苏州园林气象，出门200米就是著名的白沙门海滩和南渡江入海口公园。但庭院也极幽深的，辛亏酒店有电瓶接送车往返于社区大门和酒店之间，要不就会觉得有些远。但是若是纯粹的', '短评打分': 5}
