{'短评内容': '有点旧了，房间安静，离公司近。荔枝公园，市委，城市广场就在附近。', '短评打分': 4}
{'短评内容': '一分钱一分货，周边市中心还算方便', '短评打分': 2}
{'短评内容': '公寓式酒店，可以洗衣服，房间不是很干净', '短评打分': 3}
{'短评内容': '恩', '短评打分': 3}
{'短评内容': '做为商务酒店，各方面都一般般啦，方便，快捷，简约。', '短评打分': 3}
{'短评内容': '地段好 但是房间真的不大 旧旧的里边设施 总体还行', '短评打分': 5}
{'短评内容': '很一般，房间有味道', '短评打分': 4}
{'短评内容': '相同的价格，在京基100能住更好的，还一房一厅呢', '短评打分': 2}
{'短评内容': '我的神啊！那个电视长得跟电脑屏幕一样大！设施比较旧', '短评打分': 4}
{'短评内容': '房间不错，坐电梯要刷卡，总台在25楼，要保安帮忙才行', '短评打分': 4}
{'短评内容': '装修很古董，爱干净或者喜欢时尚的人就不会喜欢这里把。', '短评打分': 1}
{'短评内容': '我訂的是高級房，房間空間還比較大，就是設施有點點舊，其他都不錯。。。', '短评打分': 5}
{'短评内容': '设计温馨 服务优秀~！因客满还免费为我升级房间，非常感谢他们！', '短评打分': 5}
{'短评内容': '不够专业', '短评打分': 3}
