{'短评内容': '离黄龙还有点距离但是演唱会结束走10分钟能到已经不错了，住宿环境一般有点小', '短评打分': 5}
{'短评内容': '演唱会定的，挺好的', '短评打分': 5}
{'短评内容': '还行，隔音差点', '短评打分': 4}
{'短评内容': '好 干净整洁', '短评打分': 5}
{'短评内容': '总体比较好', '短评打分': 4}
{'短评内容': '还行吧，没有他太深印象', '短评打分': 4}
{'短评内容': '地理位置好，周边吃饭出行都方便，环境不吵闹，下次还来', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '真心不错，整个建筑很舒心 房间高大干净还挺欧式，孩子说不亚于四星级的酒店住房，在温州大学城这边真的是很好的选择，价格还亲民 ', '短评打分': 5}
{'短评内容': '房间没热水，前台说一个小时后有等了一个晚上都没有。第二天起来打开水龙头排出来的是污水。超烂', '短评打分': 3}
{'短评内容': '点评有奖么点评有奖么点评有奖么', '短评打分': 4}
{'短评内容': '超nice，考雅思的，给了六楼的房间。安静，隔音效果不好。但是人比较少。性价比高，喜欢清净的话，艺婷和智选都不错。但是实在太超值，推介', '短评打分': 5}
{'短评内容': '就是灯光暗了点', '短评打分': 5}
{'短评内容': '我住503,酒店卫生好，服务态度也好，安排了靠小区的，就是隔音不好，隔壁说话都听得到，后来才卫生间洗手盘下水道漏水，想想都很迟了换房不方便就兼就住了', '短评打分': 5}
{'短评内容': '文三路上，交通便利，出门办事方便。环境不错。', '短评打分': 5}
