{'descr': '我觉得还可以很不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '酒店很好啦', 'star': 5}
{'descr': '给同事订的，他说找过去很方便的，旁边走过去不远就是南长街古运河景区，很多小吃，风景也不错，他很满意。', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '各方面都很好', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '还可以把，方便，退房时候直接交卡就可以，房间小点', 'star': 5}
{'descr': '空间不大', 'star': 4}
{'descr': '挺好的，可以的', 'star': 5}
{'descr': '酒店的位置不错', 'star': 5}
{'descr': '由于订错房型，酒店服务生给免费升级了大床房，很欣慰', 'star': 4}
{'descr': '这对于我来说是非常不错旅行，首先酒店位置很好找，我下了火车打电话咨询如何过去，前台很热心的介绍了公交和地铁线路，不过最后我还是选择了打车，毕竟只有十五块钱的费用.抵达酒店后先办理了入住去房间小憩.房间很精致，干净、温馨，洁白的床单和房间黄颜色为主的格调布局让我甚是喜欢，卸下了一天的劳累，酒店房间有赠送的矿泉水和小点心，稍作休息后，我准备出去逛逛，下楼时电梯里遇到打扫房间的大姐，她很热情的对我微笑打', 'star': 5}
{'descr': '一般，吵', 'star': 2}
{'descr': '房间很精致一个人住刚好，电视是老式的那种把桌子全占了，东西也只能放在床头那个小柜子上，无语的是整个房间一个挂钩都没有，衣服和包都没地放。还有就是没有拖鞋……', 'star': 3}
{'descr': '好～～～～～', 'star': 5}
{'descr': '帮朋友预定', 'star': 4}
{'descr': '地理位置挺好，靠南禅寺和南长街都近。晚上适合逛逛。', 'star': 5}
{'descr': '酒店就在古运河斜对面，离南禅寺走路五分钟，晚上游览运河非常方便。酒店前台很友善。房间不大但够用。安静干净。', 'star': 5}
{'descr': '一般般', 'star': 4}
{'descr': '房间价格蛮合理的，比较干净卫生，服务态度也好，总体很满意的', 'star': 5}
{'descr': '空调高温服务冰冷', 'star': 3}
{'descr': '干净，服务态度好，交通方便，旁边就是酒吧一条街，离南禅寺也很近的。', 'star': 5}
{'descr': '酒店地理位置很好，房间很大，很干净。', 'star': 3}
{'descr': '房间干净，舒适，安静，离南长街很近。', 'star': 3}
{'descr': '店面还可以，里面比较干净，颜色温馨，大床房面积小了点，但是桌子比较长，上网很舒服', 'star': 5}
{'descr': '总体干净、安静、舒服。\n地理位置也不错。是值得推荐的。\n唯一一个小插曲是，前台登记完了身份信息竟然没有还给我身份证，有此可见还是有点粗心大意啊。', 'star': 5}
{'descr': ' 环境不错，交通便利，就是前台服务人员态度一般。', 'star': 3}
{'descr': '房间很干净，交通便利，离步行街很近', 'star': 3}
{'descr': '地理位置很好，靠近古运河和南禅寺，运河周边夜景很美。酒店环境还行，就是空调打出来的空气不新鲜，有一股潮湿的味道。所以当天晚上没有开空调。可能是房间问题，不知道其他房间的空调怎样。', 'star': 5}
{'descr': '经济型酒店，卫生条件还可以，房间隔音不太好，离家乐福很近。前台的价格稍微高一点。', 'star': 5}
{'descr': '不错干净，安静', 'star': 3}
{'descr': '离酒吧比较近，总体还算不错，就是卫生间下水可能有点问题，有点慢。还有门锁不太好关，希望尽快维修吧。', 'star': 5}
{'descr': '感觉非常好，环境也很好，就是前台的服务员服务态度一般，有点不爱搭理人', 'star': 5}
{'descr': '比较好，就在南长街附近，公交也比较便捷，下次来无锡还来这', 'star': 5}
{'descr': '酒店餐饮等很方便，旁边就有用餐及足疗、洗浴中心等，距离酒吧一条街很近。房间面积偏小，服务态度比正常的如家服务热情上欠缺点。', 'star': 3}
{'descr': '第二次入住，地理位置不错，附近餐馆、大型超市都有，离巿中心也近。只是靠马路一侧较吵。', 'star': 3}
{'descr': '房间有些小，没有20平，服务还不错。隔音不太好，尤其是早上走廊里太吵', 'star': 3}
{'descr': '蛮好的，离市区很近！O(∩_∩)O~交通方便，吃，住，行，游，购，娱~~一体！', 'star': 5}
{'descr': '地段好，房间干净，服务周到！对面就是酒吧街。', 'star': 5}
{'descr': '住宿服务不错', 'star': 3}
{'descr': '房间较小...隔音效果不佳...不过整体还行吧...', 'star': 3}
{'descr': '在市中心，地理位置优越，环境好。服务质量很不错。', 'star': 5}
{'descr': '酒店位置不错，离南禅寺很近，环境整洁，考试去住的，很安静', 'star': 5}
{'descr': '还可以 有点吵', 'star': 3}
{'descr': '交通很方便，离我想去的地方很近，也比较安静，就是房间不是很大，总体来说还是很满意的。', 'star': 3}
{'descr': '靠近马路，有点吵，交通蛮方便的，出门吃东西也方便，靠近南长街和南禅寺，休闲好去处', 'star': 5}
{'descr': '这家酒店环境不错，设施齐全，下次还会选择\n\n', 'star': 5}
{'descr': '这家酒店环境不错，设施齐全，下次还会选择', 'star': 5}
{'descr': '标间有点挤,早餐性价比不高,基本满意', 'star': 3}
{'descr': ' 我的房间是临街的，窗户很大，但是很吵。整晚没有休息好。第二天，一早就离开，不想多住一晚。', 'star': 3}
{'descr': '  总台有一位服务员回答问题不太热情,房间里杯子不太干净.别的都不错.', 'star': 5}
{'descr': ' 涨价了。旁边休闲区很热闹', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '不错,挺温馨的', 'star': 3}
{'descr': '会员价格确实很合适，交通跟地理位置很好，靠近长南街步行过去很舒服。唯一不足的地方就是窗户密封性不好漏风。估计是我的房间是靠马路的原因。但是还是建议如家靠窗的房间隔音跟密封性可以改善一下', 'star': 5}
{'descr': '房间小小的,相当有紧凑感的同时又不乏温馨,容易入眠.酒店位置相当不错,旁边就有南禅寺,新天地.吃喝玩乐很方便的地儿.去灵山大佛也很方便,出了新天地停车场,右转,一路向前,50多公里就到了.', 'star': 5}
{'descr': '离南禅寺和家乐福近，出门有公车站，比较方便', 'star': 5}
{'descr': '房间小了点 其他都很不错 还有饮水机 不用自己烧水', 'star': 5}
{'descr': '超市离得很近，周围还有蛮多吃的地方，离南禅寺那的美食街也蛮近的，就是那边的店关门都好早的~~早上天未亮就会听到汽车声，有点吵，其他还是不错的~~', 'star': 5}
{'descr': '位置不错，旁边10分钟走路有个大超市，去市区走路半个小时，但缺点是靠窗的有点吵，不靠窗的太暗，我很喜欢室内的布置和色调，总体来说，我会再次入住。', 'star': 5}
{'descr': '如家快捷酒店（无锡永乐路店）性价比不高，地段还算不错，就是房间还是那么小，窗看不见阳光，等于没有，还有就是前台服务态度实在太差。', 'star': 1}
{'descr': '性价比不高，地段还算不错，就是房间还是那么小，窗看不见阳光，等于没有。', 'star': 1}
{'descr': '还不错，就是靠近马路隔音效果不好                        ', 'star': 5}
{'descr': '永乐路边，交通比较方便。周边还有有易买得和家乐福两家超市，距离都只有10分钟内路程，里面都有餐饮小点之类。就是有点吵，汽车喇叭不停，也只有到10点左右才会好点，不过夜半还是有不良司机会猛按喇叭，精神不好的会睡不着觉。', 'star': 5}
{'descr': '不为别的，他们的房间实在是太吵了，我感觉我就像住在十字路口中间一样，而且不止是百天，一整套包括深夜都是这样，难道他们前面的道路是国道？', 'star': 1}
