{'descr': '卫生情况一般，靠马路的房间很吵，设施不好用。', 'star': 3}
{'descr': '一进去有一点点味道，设施还齐全，总体不错。', 'star': 4}
{'descr': '性价比挺高', 'star': 5}
{'descr': '服务好，再到无锡还会住。从火车站坐5路公交5个站就到了，交通都几方便，周边走不太远就有食的地方，酒店上楼要刷卡，几安全。', 'star': 5}
{'descr': '很不错，出差无锡一直住着家', 'star': 5}
{'descr': '放假的女婿对你的建设大街', 'star': 5}
{'descr': '不错。。。。。。。', 'star': 5}
{'descr': '干净，有网络，就是网速差点，想玩游戏啥的不行', 'star': 5}
{'descr': '就那样，有点一般', 'star': 4}
{'descr': '酒店房间较小，但是环境、設施、服务都挺不错，下次有机会还住这里。', 'star': 5}
{'descr': '环境还可以', 'star': 5}
{'descr': '恩很干净卫生，不错', 'star': 5}
{'descr': '很好，挺划算', 'star': 4}
{'descr': '离崇安寺，大东方百货，三阳百盛，都很近，附近比较方便购物以及玩乐。就是房间比较挤。味道不太好。价格不算贵。', 'star': 5}
{'descr': '装修老旧，被子都是黄色的！总之这个价格凑合吧', 'star': 3}
{'descr': '挺不错 大眼睛的女生给介绍的饭店相当赞', 'star': 5}
{'descr': '环境非常干净清爽，交通也非常便利，周边设施齐全，超市餐饮很便捷，性价比超高，以后应该会一直选择入住的，哈哈', 'star': 5}
{'descr': '很一般，没什么好的印象，被子都是黄色的。给人一种不是很舒服的感觉。唯一的特点就是旁边有一条购物街。崇安寺，晚上逛逛还可以。有吃的有玩的。其他的就没什么好印象了。', 'star': 3}
{'descr': '交通方便，房价不贵，边上就是西门面馆。呵呵', 'star': 5}
{'descr': '总体满意', 'star': 3}
{'descr': '很不错，干净整洁，服务态度也挺好。地理位置好，但相对周边酒店价格不便宜。', 'star': 5}
{'descr': '很不错，干净整洁，服务态度也挺好。地理位置好，但相对周边酒店价格不便宜。', 'star': 5}
{'descr': '很不错，干净整洁，服务态度也挺好。地理位置好，但相对周边酒店价格不便宜。', 'star': 5}
{'descr': '很不错，干净整洁，服务态度也挺好。地理位置好，但相对周边酒店价格不便宜。', 'star': 5}
{'descr': '很不错，干净整洁，服务态度也挺好。地理位置好，但相对周边酒店价格不便宜。', 'star': 5}
{'descr': '酒店挺干净，整洁，挺好', 'star': 3}
{'descr': '酒店交通方便，房间很大，就在华谊兄弟影院附近，出去逛逛很方便。 \n', 'star': 5}
{'descr': '房间挺大挺干净的，而且就在新建的华谊兄弟影院附近，而且离崇安寺也不远。。下次还会来住', 'star': 5}
