{'短评内容': '作为一个招待所能有这样的条件算是不错了！早餐实在太差了！', '短评打分': 4}
{'短评内容': '性价比可以', '短评打分': 3}
{'短评内容': '舒服', '短评打分': 5}
{'短评内容': '整体不错，', '短评打分': 5}
{'短评内容': '三四十间房，在国招楼里，去二楼招标大厅十分方便。房间卫生可以，中规中矩，各方面还是满意的。就是吃不太方便，酒店位置有点偏，距离南站很近。', '短评打分': 5}
{'短评内容': '我都不知道什么时候住的了，印象不错', '短评打分': 5}
{'短评内容': '交通方便，高铁南站很近。房间设施不错。餐饮品种不足有待改善。', '短评打分': 3}
{'短评内容': '周边给人一种新区的感觉，附近没什么东西，其他的还不错～', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '不错的酒店，出差经常住', '短评打分': 5}
{'短评内容': '酒店环境挺好', '短评打分': 5}
{'短评内容': '房间大，离高铁站近，环境不错，值得推荐。', '短评打分': 5}
{'短评内容': '携程网上预订的酒店已关门歇业，到了现场入住才发现，携程居然犯这样低级错误？后来携程及时重新安排预定国招酒店。酒店位置有点偏僻，离合肥南站很近，在安徽省招标集团大楼里面，应该是招标集团下属单位，周边没有配套，吃饭要到葛大店或者市区，不方便。酒店服务很好，值得点赞，第一天入住客房门锁坏的，换了几张房卡都开不了门，后来换了一间又遇到灯不亮，床头插座也用不了，再换一间房，房间WIFI又不行，怎么都连不上，', '短评打分': 5}
{'短评内容': '很不错，第二次入住了。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
