{'短评内容': '还不错 还不错 还不错', '短评打分': 5}
{'短评内容': '详见另一条评论', '短评打分': 2}
{'短评内容': '茶包都没有 晚上加条被子也没有 ', '短评打分': 3}
{'短评内容': '房间大，空调好，环境优，设施一般，酒店周边有小餐馆吃饭方便，距南京师范大学仙林大学5分钟车程，开车带孩子去考试很便捷', '短评打分': 4}
{'短评内容': '环境好，停车方便', '短评打分': 5}
{'短评内容': '还行吧。。', '短评打分': 5}
{'短评内容': '满好的    挺干净的', '短评打分': 5}
{'短评内容': '不错可以的i', '短评打分': 5}
{'短评内容': '环境 不错    床舒服', '短评打分': 5}
{'短评内容': '就是卫生间有点小', '短评打分': 4}
{'短评内容': '感觉还好，房间挺大，卫生间比较小，周围环境一般，给爸妈定的，因为到店有点早，前台就一个服务员，等了半天。', '短评打分': 4}
{'短评内容': '挺干净，也很安静的一个酒店。服务员的态度也很好，虽然离仙林大学城得有点远了，但是下次来南京还会选择这里。', '短评打分': 5}
{'短评内容': '离客户较近，整体不错。', '短评打分': 4}
{'短评内容': '携程网比我到店多收60元。太不厚道了。', '短评打分': 5}
{'短评内容': '空间很大，但是个人觉得墙太薄了，隔音效果不好。', '短评打分': 5}
{'短评内容': '简单位置很好，周边环境安静，很适合出差休息，只是硬件设备比较一般，住下来觉得细节不方便，有可能是房间的问题属于个例吧，服务员态度挺好，需要收拾房间开门时候赶上个吓人的。。。', '短评打分': 5}
{'短评内容': '服务很好，响应时间很快。除了Wi-Fi 其他都很好。', '短评打分': 5}
{'短评内容': '空调热水都不行', '短评打分': 4}
{'短评内容': '环境卫生较好。', '短评打分': 4}
