{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '房间大小还可以，就是设施老化了，但是价格还比较优惠。', '短评打分': 4}
{'短评内容': '总体还可以，加上用券，价格上蛮经济实惠的，地理位置也算方便。房价内部卫生稍微有点差强人意，空调也固定了温度不能调节。总体3.5分左右吧。', '短评打分': 4}
{'短评内容': '不怎么滴', '短评打分': 1}
{'短评内容': '还行吧，一般般，环境不好，不是很干净！', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间比较干净', '短评打分': 5}
{'短评内容': '房间比较整洁', '短评打分': 5}
{'短评内容': '还可以………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '总体来说很不错 离吃海鲜的地方很方便 服务态度挺好的', '短评打分': 5}
{'短评内容': '酒店性价比很高的，周边交通方便', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '非常的不满意！第一个房间有虫子，直接无语了，空调不怎么管用，根本不怎么热，电视没法看，然后又调了另一个主题客房，空间小的不能再小了！', '短评打分': 3}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '酒店环境很棒，前台的服务也很到位。房间床很舒服，而且东西齐全，水温暖和，下次还会来的', '短评打分': 5}
