{'短评内容': '走几分钟就是音乐喷泉，大雁塔。房间枕头有异味，床垫坏了，凹一个大坑，睡觉难受，马桶盖是坏的，洗漱用品收费，需要自己带。这个酒店是大雁塔周边最便宜的一个。', '短评打分': 4}
{'短评内容': '没有早餐，环境不好，只是价格不高，位置很好，离大雁塔非常近，门口有吃特色小吃的地方，房间环境不要要求太高', '短评打分': 3}
{'短评内容': '大雁塔附近', '短评打分': 5}
{'短评内容': '离大雁塔特别近', '短评打分': 5}
{'短评内容': '酒店一般，感觉不怎么样，不过房间卫生还是挺可以的', '短评打分': 4}
{'短评内容': '环境不错，位置交通方便', '短评打分': 5}
{'短评内容': '环境不错，位置交通方便', '短评打分': 5}
{'短评内容': '环境不错，位置交通方便', '短评打分': 5}
{'短评内容': '总体来说还是比较满意的，毕竟距离大雁塔那么近，性价比很高。无线网太差了，', '短评打分': 5}
{'短评内容': '现在这个时代住这样的酒店，感觉就像八年前住的30-40元的酒店没什么区别。现在还有这样的酒店，真是服了。这是这几年来，住的最糟糕的一个酒店了，付过钱之后到房间里一看，要多糟心就有多糟心。下来问他们，能不能退？他们还不给退。大冬天的洗澡还没有热水。地上的长头发很多，没有打扫的 痕迹。谁住谁后悔。强烈建业不住这家。', '短评打分': 2}
{'短评内容': '房间潮湿，霉味特别重，房间看起来很压抑', '短评打分': 3}
{'短评内容': '床有些硬，位置交通方便', '短评打分': 3}
{'短评内容': '整体还可以，就是床不太软和哦！', '短评打分': 3}
{'短评内容': '酒店离大雁塔北广场步行7分钟到，去其它位置也方便。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
