{'短评内容': '酒店的位置很热闹，酒店的价格也比较经济，空调很暖和，床很舒服，总之还是不错的。', '短评打分': 5}
{'短评内容': '早餐一般的', '短评打分': 4}
{'短评内容': '一般般，卫生不好，水温低。。。', '短评打分': 4}
{'短评内容': '早餐一般，电梯布置让人迷糊。房间老旧，卫生不好。', '短评打分': 4}
{'短评内容': '很不错的酒店，服务很好，位置也很好。', '短评打分': 5}
{'短评内容': '蛮不错的，房间小点蛮干净的，一个人出差够用。有无线，速度还可以，两个手机可以用不卡。周边蛮繁华的，就是没有便利店，没有早餐小吃店。总体不错', '短评打分': 4}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '还好还好还好还好还好还好还好', '短评打分': 4}
{'短评内容': '住过很多次了', '短评打分': 5}
{'短评内容': '没有毛巾架子，毛巾不知道挂哪', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好的，在闹市区啊。不错，可以吃，可以玩。 房间干净整洁，停车也还算方便。商务及旅行都可以考虑，不错。', '短评打分': 5}
{'短评内容': '算是当地一个比较有特色的酒店吧，餐饮还可以，周边环境也不错，以后所有机会再去，还可以考虑。推荐入住！', '短评打分': 5}
{'短评内容': '朋友来金华，定的酒店，整体来说还不错，交通便利，很好找', '短评打分': 5}
{'短评内容': '朋友来金华，定的酒店，整体来说还不错，交通便利，很好找', '短评打分': 5}
{'短评内容': '朋友来金华，定的酒店，整体来说还不错，交通便利，很好找', '短评打分': 5}
{'短评内容': '每次金华必住', '短评打分': 5}
{'短评内容': '周边是商城，购物方便', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '不错，房间很干净也很舒服，布置得也很有趣味，就是一般酒店都下午两点退房，而这里12点半就催了，中午十二点房卡已经都不能用了，这点比较不舒服，其他还好', '短评打分': 5}
{'短评内容': '安排的房间不大满意', '短评打分': 3}
